"","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",4.825,8.008,3.757,6.262,10.14,-5.04,-3.693,-1.765,1.424,3.006,1.409,5.184,10.548,15.11,20.021,24.764,35.376,33.81,25.415,40.784,42.46,51.897,68.683,97.141,85.006,74.803,63.814,58.493,52.59,101.717,100.043
"B Annualized Returns",4.963,5.329,5.715,3.274,4.407,-13.494,-7.489,-7.655,-2.861,-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",-0.138,2.679,-1.958,2.988,5.733,8.454,3.796,5.89,4.285,3.49,3.148,6.895,3.646,5.376,8.334,9.53,18.285,20.726,14.596,27.413,26.365,32.562,45.713,72.906,59.385,53.853,44.382,39.309,35.032,52.669,61.846
"P Volatility",16.71,18.46,16.42,17.59,16.95,17.47,27.12,28.6,28.23,27.54,29.92,31.18,27.69,27.56,29.98,29.78,29.75,32.81,31.89,36.1,34.4,37.57,37.74,42.99,40.22,39.2,38.48,37.95,33.13,23.45,22.94
"B Volatility",13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",3.39,4.96,2.95,4.39,4.32,4.71,4.33,4.18,3.83,2.88,4.78,6.47,3.28,3.22,4.44,3.81,3.77,6.41,5.32,9.54,7.76,11.59,11.85,16.82,14.07,13.04,11.98,11.49,6.99,6.63,6.93
"P Tracking Error",11.4,11.61,11.84,12.51,9.7,9.89,9.36,10.88,11.67,10.97,9.52,11.65,9.52,10.33,10.21,10.47,10.2,11.37,12.26,16.39,15.03,19.3,19.6,27.17,23.16,22.3,21.07,18.75,15.84,15.08,15.96
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
