"","1 Y 2017-01-24 to 2018-01-25","1 Y 2017-02-27 to 2018-02-25","1 Y 2017-03-24 to 2018-03-25","1 Y 2017-04-24 to 2018-04-25","1 Y 2017-05-24 to 2018-05-25","1 Y 2017-06-27 to 2018-06-25","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",71.273,67.408,47.047,26.449,36.93,27.982,27.418,29.5,12.233,-14.475,10.198,-14.442,-4.467,4.701,16.063,3.013,-1.72,4.726,-4.262,-8.995,10.999,20.588,23.544,66.41,40.163,32.156,-7.368,-22.823,-16.621,5.558,77.629,115.341,124.582,87.6,120.216,90.888,78.442,94.022,127.946,65.442,81.616,44.23,39.062,60.773,213.914,245.633,204.569,129.088,166.019,80.795,80.446,68.064
"B Annualized Returns",31.933,16.97,12.142,15.147,12.118,12.507,10.243,15.641,9.27,-1.373,0.173,2.102,-3.831,-0.118,11.754,7.838,8.728,6.915,-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",39.34,50.438,34.905,11.302,24.812,15.475,17.175,13.859,2.963,-13.102,10.025,-16.544,-0.636,4.819,4.309,-4.825,-10.448,-2.189,-4.016,0.911000000000001,6.251,8.883,12.927,54.545,29.238,24.095,24.404,-2.185,7.011,17.961,78.35,111.303,130.219,85.307,112.263,78.164,57.97,66.714,40.516,9.34999999999999,12.291,-9.634,-6.396,15.493,147.895,188.927,169.058,104.577,142.66,72.241,61.921,45.974
"P Volatility",20.02,20.6,23.17,23.76,17.17,19.3,21.03,19.05,20.63,25.89,30.96,19.4,26.28,27.15,26.28,22.62,13.79,17.35,17.63,19.88,12.94,13.42,17.58,23.9,16.47,11.52,15.49,41.92,43.89,42.57,45.39,49.05,37.67,44.35,37.78,40.81,49.46,54.93,23.91,18.43,17.64,13.93,17.88,17.44,47.03,45.87,49.9,36.51,48.33,41.48,31.12,27.05
"B Volatility",9.87,9.88,12.06,12.72,13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",10.15,10.72,11.11,11.04,4.02,6.32,9.16,5.46,7.3,11.22,15.29,3.32,10.82,12.61,12.11,7.92,-0.940000000000001,2.82,4.82,5.87,0.699999999999999,1.6,5.93,12.18,4.88,-0.0600000000000005,4.41,12.56,11.42,10.1,11.83,14.66,3.5,10.36,3.7,4.81,12.86,18.73,7.39,1.51,1.28,-1.71,2.49,1.78,31.4,30.23,36.47,22.41,34.49,30.19,17.59,11.78
"P Tracking Error",16.51,16.87,18.07,17.05,9.46,11.43,15.56,13.72,15.48,19.13,23.35,13.59,21.07,20.34,18.96,16.83,7.68,8.83,9.25,10.37,12.48,10.4,13.91,20.39,14.98,11.35,11.13,16.26,12.77,13.49,19.85,23.7,20.24,26.75,22.45,22.29,24.35,27.24,21.81,20.38,19.46,16.66,18.51,17.99,40.24,39.59,45.13,34.37,43.69,39.44,24.24,19.49
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
