"","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-8.144,-0.84,-6.124,-9.114,-4.402,9.767,7.925,7.612,-0.5,-4.57,-18.015,-0.278,11.727,10.505,15.047,19.652,21.617,-20.693,-17.185,-22.466,-7.067,0.695,20.65,62.969,49.307,59.676,52.248,47.597,67.871,169.846,153.629,161.508,143.072,108.398,106.279,130.793,151.052,119.645,79.253,62.736,32.799,39.59,37.91
"B Annualized Returns",-1.373,0.173,2.102,-3.831,-0.118,11.754,7.838,8.728,6.915,-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",-6.771,-1.013,-8.226,-5.283,-4.284,-1.987,0.0869999999999997,-1.116,-7.415,-4.324,-8.109,-5.026,0.0220000000000002,-0.112,3.182,8.727,13.556,11.079,3.453,1.166,5.336,1.416,16.612,68.606,47.014,51.723,39.524,27.125,40.563,82.416,97.537,92.183,89.208,62.94,60.999,64.774,94.346,84.134,54.742,39.377,24.245,21.065,15.82
"P Volatility",21.04,21.59,17.87,19.28,18,17.76,17.26,17.98,16.97,17.35,16.39,12.91,13.44,17.52,17.8,17.32,17.38,19.54,34.26,41.24,40.13,43.55,45.46,51.21,48.65,46.35,51.18,51.3,45.83,25.95,26.11,26.92,24.65,22.37,25.04,22.26,28.89,28.32,27.85,22.12,22.64,19.84,19.26
"B Volatility",14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",6.37,5.92,1.79,3.82,3.46,3.59,2.56,3.25,2.44,4.54,2.38,0.67,1.62,5.87,6.08,5.73,5.8,8.46,4.9,8.77,7.66,9.98999999999999,11.07,17.04,14.66,12.27,15.18,14.7,9.63,9.43,9.19,10.56,9.01,6.98,9.38,6.63,13.25,14.89,13.75,8.28,11.35,6.31,3.99
"P Tracking Error",13.98,14.36,13.02,13.9,9.74,9.48,8.5,10.65,11.08,10.52,6.67,9.05,7.9,11.06,10.86,11.15,11.45,11.36,10.73,13.23,12.87,14.99,17.82,26.44,23.79,21.75,22.67,21.36,17.68,16.3,19.1,19.22,20.55,14.85,16.55,14.01,19.39,22.94,23.04,18.38,21.25,12.24,9.92
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.48,-0.07,-0.63,-0.38,-0.44,-0.21,0.01,-0.1,-0.67,-0.41,-1.22,-0.56,0,-0.01,0.29,0.78,1.18,0.98,0.32,0.09,0.41,0.09,0.93,2.59,1.98,2.38,1.74,1.27,2.29,5.06,5.11,4.8,4.34,4.24,3.69,4.62,4.87,3.67,2.38,2.14,1.14,1.72,1.59
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.8,0.09,-0.71,-0.32,-0.2,0.23,-0.02,0.16,-0.62,-0.32,-1.06,-0.05,-0.43,0.21,0.17,0.04,0.74,0.89,0.59,1.12,0.92,1.06,0.64,4.71,3.82,3,3.1,1.89,2.25,2.48,4.05,3.28,5.25,3.36,2.64,2.89,2.38,2.72,3.45,2.85,2.62,0.93,0.96
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
