"","2 Y 2018-01-23 to 2020-01-24","2 Y 2018-02-23 to 2020-02-24","2 Y 2018-03-23 to 2020-03-24","2 Y 2018-04-23 to 2020-04-24","2 Y 2018-05-23 to 2020-05-24","2 Y 2018-06-25 to 2020-06-24","2 Y 2018-07-23 to 2020-07-24","2 Y 2018-08-23 to 2020-08-24","2 Y 2018-09-24 to 2020-09-24","2 Y 2018-10-23 to 2020-10-24","2 Y 2018-11-26 to 2020-11-24","2 Y 2018-12-24 to 2020-12-24","2 Y 2019-01-23 to 2021-01-24","2 Y 2019-02-25 to 2021-02-24","2 Y 2019-03-25 to 2021-03-24","2 Y 2019-04-23 to 2021-04-24","2 Y 2019-05-23 to 2021-05-24","2 Y 2019-06-24 to 2021-06-24","2 Y 2019-07-23 to 2021-07-24","2 Y 2019-08-23 to 2021-08-24","2 Y 2019-09-23 to 2021-09-24","2 Y 2019-10-23 to 2021-10-24","2 Y 2019-11-25 to 2021-11-24","2 Y 2019-12-23 to 2021-12-24","2 Y 2020-01-23 to 2022-01-24","2 Y 2020-02-24 to 2022-02-24","2 Y 2020-03-23 to 2022-03-24","2 Y 2020-04-23 to 2022-04-24"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",9.989,13.234,-5.298,-4.761,-3.803,0.859,0.327,3.113,3.014,11.731,16.484,19.072,20.048,24.004,22.215,29.51,32.933,34.281,47.796,51.183,41.937,29.337,30.198,26.728,29.234,25.961,82.692,80.962
"B Annualized Returns",3.253,5.693,-14.526,-7.489,-7.332,-2.111,-0.484,-1.85,0.185,7.313,9.236,11.687,15.261,16.143,14.115,11.458,13.695,16.263,18.891,22.471,24.235,25.403,21.266,18.759,21.249,20.369,50.803,37.754
"AR DIFF(P-B)",6.736,7.541,9.228,2.728,3.529,2.97,0.811,4.963,2.829,4.418,7.248,7.385,4.787,7.861,8.1,18.052,19.238,18.018,28.905,28.712,17.702,3.934,8.932,7.969,7.985,5.592,31.889,43.208
"P Volatility",15.87,16.83,16.58,23.29,25.88,25.91,27.7,26.07,24.69,26.39,25.65,27.04,31.37,29.13,27.3,29.87,27.53,28.51,30.9,31.07,29.56,28.02,25.19,24.87,27.87,25.3,22.82,22.76
"B Volatility",13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",2.67,4.2,3.82,0.5,1.46,1.51,3.04,0.93,-0.0199999999999996,1.98,1.31,1.5,5.4,3.15,0.900000000000002,3.3,0.970000000000002,1.87,4.92,5.18,3.39,1.87,-0.969999999999999,-1.63,1.41,-0.84,6,6.75
"P Tracking Error",6.76,8.37,8.7,7.47,9.68,9.69,8.83,11.04,9.43,8.77,8.68,9.15,8.91,8.1,6.86,12.32,10.71,11.04,14.69,13.8,11.41,11.5,9.36,9.87,9.35,9.15,13.16,14.31
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
