"","2 Y 2017-04-24 to 2019-04-25","2 Y 2017-05-24 to 2019-05-25","2 Y 2017-06-27 to 2019-06-25","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",11.56,8.815,2.653,2.265,3.919,7.911,6.016,8.225,9.045,2.594,1.957,-9.729,-2.057,-5.612,-2.228,-2.111,1.639,4.15,9.655,12.889,19.035,31.53,46.695,102.238,30.662,106.333,42.793,64.343,60.606,61.801,82.212,87.407,69.113,68.682,63.785,124.471,96.175
"B Annualized Returns",11.433,10.412,9.667,4.867,2.533,6.982,4.963,5.329,5.715,3.274,4.407,-13.494,-7.489,-7.655,-2.861,-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",0.127000000000001,-1.597,-7.014,-2.602,1.386,0.928999999999999,1.053,2.896,3.33,-0.68,-2.45,3.765,5.432,2.043,0.633,-1.627,3.378,5.861,2.753,3.155,7.348,16.296,29.604,89.154,19.843,92.962,26.698,45.008,37.636,37.566,56.591,66.457,49.681,49.498,46.227,75.423,57.978
"P Volatility",21.88,19.92,20.23,21.71,22.3,22.85,21.36,20.92,18.78,16.27,18.05,20.63,24.08,29.75,28.46,29.5,27.42,30.42,28.54,26.08,29.84,30.41,32.84,42.05,34.32,47.79,46.08,40.81,38.76,40.54,41.77,43.24,39.47,38.28,36.46,30.2,24.91
"B Volatility",13.37,13.33,13.29,12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",8.51,6.59,6.94,8.96,8.64,9.22,8.04,7.42,5.31,3.07,5.42,7.87,1.29,5.33,4.06,4.84,2.28,5.71,4.13,1.74,4.3,4.44,6.86,15.65,7.75,21.23,19.44,14.83,12.87,14.37,15.62,17.08,12.97,11.82,10.32,13.38,8.9
"P Tracking Error",15.8,14.08,15.2,16.1,15.57,15.9,15.49,14.39,13.81,12.14,11.6,14.43,10.97,11.43,10.09,10.01,9.52,12.11,10.85,10.29,10.76,11.48,14.28,29.05,14.19,33.64,24.38,22.7,22.22,23.33,25.77,26.5,21.34,21.28,19.79,23.25,18.45
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.01,-0.11,-0.46,-0.16,0.09,0.06,0.07,0.2,0.24,-0.06,-0.21,0.26,0.5,0.18,0.06,-0.16,0.35,0.48,0.25,0.31,0.68,1.42,2.07,3.07,1.4,2.76,1.1,1.98,1.69,1.61,2.2,2.51,2.33,2.33,2.34,3.24,3.14
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.07,-0.17,-0.52,0.12,-0.19,0.12,-0.09,0.37,0.3,-0.18,-0.13,0.29,0.18,0.33,0.1,0.2,0.12,0.71,0.34,0.35,0.52,0.95,1.27,5.06,1.26,4.9,1.63,2.79,2.15,2.33,2.7,3,3.01,2.56,3.04,3.57,2.71
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
