"","2 Y 2016-10-24 to 2018-10-25","2 Y 2016-11-24 to 2018-11-25","2 Y 2016-12-26 to 2018-12-25","2 Y 2017-01-24 to 2019-01-25","2 Y 2017-02-27 to 2019-02-25","2 Y 2017-03-24 to 2019-03-25","2 Y 2017-04-24 to 2019-04-25","2 Y 2017-05-24 to 2019-05-25","2 Y 2017-06-27 to 2019-06-25","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",22.769,35.945,40.493,28.118,17.359,10.834,8.102,9.829,0.604,3.036,2.663,5.286,-2.115,10.259,17.259,19.372,4.349,-16.37,-5.841,-3.177,6.944,3.448,1.45,39.02,15.37,19.303,21.757,26.7,102.248,104.854,76.363,87.444,42.313,75.751,56.815,93.534,86.352,93.282,74.858,50.581,53.547,130.695,90.128
"B Annualized Returns",7.767,15.227,18.05,12.64,9.14,12.003,11.433,10.412,9.667,4.867,2.533,6.982,4.963,5.329,5.715,3.274,4.407,-13.494,-7.489,-7.655,-2.861,-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",15.002,20.718,22.443,15.478,8.219,-1.169,-3.331,-0.583,-9.063,-1.831,0.13,-1.696,-7.078,4.93,11.544,16.098,-0.0579999999999998,-2.876,1.648,4.478,9.805,3.932,3.189,40.731,8.468,9.569,10.07,11.466,85.157,91.77,65.544,74.073,26.218,56.416,33.845,69.299,60.731,72.332,55.426,31.397,35.989,81.647,51.931
"P Volatility",18.88,24.51,22.44,19.78,21.22,15.51,20.52,20.35,19.97,20.86,17.46,19.37,19.3,18.73,17.91,17.3,18.18,19.74,32,31.8,29.04,32.33,29.73,34.36,32.34,31.68,32.37,33.27,41.55,43.13,38.8,41.97,38.53,42.98,34.63,40.48,41.25,41.67,34.62,31.41,31.88,32.21,24.82
"B Volatility",13.64,13.68,13.64,13.11,12.99,12.9,13.37,13.33,13.29,12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",5.24,10.83,8.8,6.67,8.23,2.61,7.15,7.02,6.68,8.11,3.8,5.74,5.98,5.23,4.44,4.1,5.55,6.98,9.21,7.38,4.64,7.67,4.59,9.65,7.93,7.34,6.83,7.3,15.57,16.73,12.23,15.41,11.89,17,8.74,14.31,15.1,15.51,8.12,4.95,5.74,15.39,8.81
"P Tracking Error",9.37,16.51,14.76,14.3,15.11,9.05,14.16,15.52,13.19,13.76,12.45,12.18,14.66,12.25,11.18,9.01,10.84,11.36,14.46,13.49,11.69,12.84,12.17,18.71,13.29,12.43,13.81,12.12,28.55,29.01,24.38,27.1,18.22,29.33,20.77,28.66,25.28,25.13,19.1,16.3,16.51,24.29,18.17
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
