"","1 Y 2016-10-24 to 2017-10-25","1 Y 2016-11-24 to 2017-11-25","1 Y 2016-12-26 to 2017-12-25","1 Y 2017-01-24 to 2018-01-25","1 Y 2017-02-27 to 2018-02-25","1 Y 2017-03-24 to 2018-03-25","1 Y 2017-04-24 to 2018-04-25","1 Y 2017-05-24 to 2018-05-25","1 Y 2017-06-27 to 2018-06-25","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",31.677,71.847,86.94,56.766,35.22,9.094,8.64,4.71,0.525,6.654,17.304,10.272,-8.638,3.422,8.561,3.528,-16.194,-2.456,4.804,11.339,6.394,-5.712,-18.584,2.164,15.309,15.801,13.672,26.376,52.432,-2.279,4.68,3.454,-11.17,27.078,9.62,67.068,44.506,73.468,62.003,51.296,79.593,218.745,132.763,183.933,151.531,94.189,102.617,112.675,163.446,130.62,69.397,86.318,51.64,34.088,34.346
"B Annualized Returns",17.754,31.827,35.663,31.933,16.97,12.142,15.147,12.118,12.507,10.243,15.641,9.27,-1.373,0.173,2.102,-3.831,-0.118,11.754,7.838,8.728,6.915,-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",13.923,40.02,51.277,24.833,18.25,-3.048,-6.507,-7.408,-11.982,-3.589,1.663,1.002,-7.265,3.249,6.459,7.359,-16.076,-14.21,-3.034,2.611,-0.521,-5.466,-8.678,-2.584,3.604,5.184,1.807,15.451,44.371,29.493,25.318,27.086,1.233,27.799,5.582,72.705,42.213,65.515,49.279,30.824,52.285,131.315,76.671,114.608,97.667,48.731,57.337,46.656,106.74,95.109,44.886,62.959,43.086,15.563,12.256
"P Volatility",12.18,17.59,16.5,13.18,16.98,11.33,19.05,17.73,21.54,19.55,17.49,20.42,25.29,21.49,20.42,19.97,17.61,18.52,20.77,20.23,17.75,16.5,16.36,14.11,12.84,18.78,21.32,18.32,19.54,22.69,33.51,43.62,45.24,47.92,39.78,44.12,48.71,48.09,45.09,41.1,42.48,32.35,30.11,30.33,30.75,28.76,28.27,19.91,28.35,22.87,32.68,29.61,24.52,22.09,19.46
"B Volatility",12.49,11.43,10.87,9.87,9.88,12.06,12.72,13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",-0.31,6.16,5.63,3.31,7.1,-0.73,6.33,4.58,8.56,7.68,3.9,7.09,10.62,5.82,4.34,4.51,3.07,4.35,6.07,5.5,3.22,3.69,2.35,1.87,1.02,7.13,9.6,6.73,7.96,11.61,4.15,11.15,12.77,14.36,5.39,9.95,14.72,14.01,9.09,4.5,6.27999999999999,15.83,13.19,13.97,15.11,13.37,12.61,4.28,12.71,9.44,18.58,15.77,13.23,8.56,4.19
"P Tracking Error",5.41,9.59,9.55,10.06,14.17,6.91,12.8,12.27,15.15,13.95,14.44,11.98,17.6,13.69,13.23,9.34,9.07,8.65,12.43,13.02,9.7,10.53,10.35,9.04,7.48,12.1,15.42,10.43,14.5,15.4,11.33,17.2,15.26,22.25,16.51,23.13,26.16,22.15,19.36,15.51,15.94,22.52,21.1,22.59,26.28,25.76,20.24,13.2,23.09,18.69,27.31,24.84,23.33,16.51,11.14
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
