"","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",2.868,-1.128,-5.693,-0.297,-6.884,-14.861,-11.321,-6.332,-8.043,-2.049,-11.617,-3.025,-3.613,-1.641,3.566,15.976,24.971,19.269,15.319,32.037,21.809,28.39,62.279,57.852,74.599,58.546,54.325,55.818,56.793,134.721,130.388
"B Annualized Returns",4.963,5.329,5.715,3.274,4.407,-13.494,-7.489,-7.655,-2.861,-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",-2.095,-6.457,-11.408,-3.571,-11.291,-1.367,-3.832,1.323,-5.182,-1.565,-9.878,-1.314,-10.515,-11.375,-8.121,0.742000000000001,7.88,6.185,4.5,18.666,5.714,9.055,39.309,33.617,48.978,37.596,34.893,36.634,39.235,85.673,92.191
"P Volatility",18.62,18.77,16.62,19.82,17.05,18.14,23.72,31.94,33.99,31.71,35.11,35.54,35.59,35.04,37.29,40.17,40.49,41.41,45.42,49.52,41.91,45.48,49.12,47.62,45.95,42.56,45.51,41.61,37.2,31.12,32.35
"B Volatility",13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",5.3,5.27,3.15,6.62,4.42,5.38,0.93,7.52,9.59,7.05,9.97,10.83,11.18,10.7,11.75,14.2,14.51,15.01,18.85,22.96,15.27,19.5,23.23,21.45,19.8,16.4,19.01,15.15,11.06,14.3,16.34
"P Tracking Error",17.82,16.54,17.29,18.58,15.15,14.36,12.12,19.1,22.02,19.24,17.54,19.83,18.73,17.86,18.76,22.64,22.27,23.78,26.32,29.91,24.36,26.99,31.16,30.05,27.92,25.29,27.33,24.37,20.55,23.23,25.35
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.12,-0.39,-0.66,-0.19,-0.75,-0.1,-0.32,0.07,-0.24,-0.08,-0.56,-0.07,-0.56,-0.64,-0.43,0.03,0.35,0.26,0.17,0.62,0.23,0.34,1.26,1.12,1.75,1.49,1.28,1.5,1.91,3.69,3.64
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",-0.27,-0.26,-0.68,-0.2,-0.74,-0.42,-0.88,0.35,-0.24,0.17,-0.98,-0.26,-0.67,-0.73,-0.69,-0.49,0,0.42,0.3,1.24,0.2,0.8,2.49,2.1,1.54,1.98,2.2,2.37,2.85,3.96,3.69
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.58,0.72,0.44,0.64,0.69,0.88,0.9,1.05,1.06,1.02,1.23,1.21,1.27,1.27,1.3,1.32,1.35,1.32,1.47,1.6,1.32,1.49,1.58,1.5,1.47,1.36,1.44,1.31,1.2,1.26,1.29
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
