"","2 Y 2017-04-24 to 2019-04-25","2 Y 2017-05-24 to 2019-05-25","2 Y 2017-06-27 to 2019-06-25","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-4.128,-4.437,-3.531,-6.198,-3.884,-1.817,-3.774,-4.421,-6.344,-5.344,-8.962,-18.035,-11.321,-13.578,-14.607,-15.55,-10.761,-6.526,-3.301,-5.295,6.947,24.837,25.604,20.42,14.377,136.812,38.949,81.919,60.247,53.681,73.209,57.996,53.542,51.48,57.59,171.878,125.349
"B Annualized Returns",11.433,10.412,9.667,4.867,2.533,6.982,4.963,5.329,5.715,3.274,4.407,-13.494,-7.489,-7.655,-2.861,-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",-15.561,-14.849,-13.198,-11.065,-6.417,-8.799,-8.737,-9.75,-12.059,-8.618,-13.369,-4.541,-3.832,-5.923,-11.746,-15.066,-9.022,-4.815,-10.203,-15.029,-4.74,9.603,8.513,7.336,3.558,123.441,22.854,62.584,37.277,29.446,47.588,37.046,34.11,32.296,40.032,122.83,87.152
"P Volatility",19.58,18.51,19.07,21.6,20.6,20.68,19.62,20.43,17.37,18.61,16.79,21.14,23.72,34.1,32.72,36.72,34.45,37.21,36.16,38.82,40.91,38.53,38.07,38.48,34.27,55.51,54.03,44.6,46.78,43.95,44.61,41.11,41.36,42.61,40.76,40.4,36.15
"B Volatility",13.37,13.33,13.29,12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",6.21,5.18,5.78,8.85,6.94,7.05,6.3,6.93,3.9,5.41,4.16,8.38,0.93,9.68,8.32,12.06,9.31,12.5,11.75,14.48,15.37,12.56,12.09,12.08,7.7,28.95,27.39,18.62,20.89,17.78,18.46,14.95,14.86,16.15,14.62,23.58,20.14
"P Tracking Error",16.78,15.71,17.26,19.7,19.27,17.08,17.71,16.97,16.92,16.42,11.53,17.93,12.12,18.42,16.12,19.16,15.12,18.87,17.96,20.78,21.34,18.21,22.99,23.73,20.03,45.93,33.61,29.51,28.58,26.63,26.53,23.84,24.36,25.59,25.53,32.41,28.57
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
