"","1 Y 2016-10-24 to 2017-10-25","1 Y 2016-11-24 to 2017-11-25","1 Y 2016-12-26 to 2017-12-25","1 Y 2017-01-24 to 2018-01-25","1 Y 2017-02-27 to 2018-02-25","1 Y 2017-03-24 to 2018-03-25","1 Y 2017-04-24 to 2018-04-25","1 Y 2017-05-24 to 2018-05-25","1 Y 2017-06-27 to 2018-06-25","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",39.006,20.508,27.337,20.689,29.092,27.915,25.979,26.817,28.162,15.924,23.248,12.517,1.149,-3.394,-5.64,-8.289,4.693,9.705,1.27,4.298,3.581,0.608,-5.676,7.92,27.189,16.371,27.009,40.507,21.467,-17.343,-10.05,-8.198,45.118,15.708,58.087,7.278,14.889,14.726,21.885,29.739,53.288,125.867,176.293,169.345,110.093,128.285,98.597,132.025,83.944,56.717,52.674,34.646,6.478,27.494,23.41
"B Annualized Returns",17.754,31.827,35.663,31.933,16.97,12.142,15.147,12.118,12.507,10.243,15.641,9.27,-1.373,0.173,2.102,-3.831,-0.118,11.754,7.838,8.728,6.915,-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",21.252,-11.319,-8.326,-11.244,12.122,15.773,10.832,14.699,15.655,5.681,7.607,3.247,2.522,-3.567,-7.742,-4.458,4.811,-2.049,-6.568,-4.43,-3.334,0.854,4.23,3.172,15.484,5.754,15.144,29.582,13.406,14.429,10.588,15.434,57.521,16.429,54.049,12.915,12.596,6.773,9.161,9.267,25.98,38.437,120.201,100.02,56.229,82.827,53.317,66.006,27.238,21.206,28.163,11.287,-2.076,8.969,1.32
"P Volatility",14.99,9.72,12.82,12.89,11.67,16.84,13.32,15.41,14.15,13.06,17.8,15.68,18.62,18.78,18,17.82,19.75,17.8,15.92,15.91,17.14,15.94,17.59,12.02,13.19,13.83,14.73,15.04,14.39,16.66,31.58,35.46,35.53,35.38,42.77,42,37.57,34.09,41.44,43.65,40.86,22.12,27.66,25.02,17.48,25.46,23.43,32.91,25.01,18.74,11.49,12.56,12.13,11.96,14.42
"B Volatility",12.49,11.43,10.87,9.87,9.88,12.06,12.72,13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",2.5,-1.71,1.95,3.02,1.79,4.78,0.6,2.26,1.17,1.19,4.21,2.35,3.95,3.11,1.92,2.36,5.21,3.63,1.22,1.18,2.61,3.13,3.58,-0.220000000000001,1.37,2.18,3.01,3.45,2.81,5.58,2.22,2.99,3.06,1.82,8.38,7.83,3.58,0.0100000000000051,5.44,7.05,4.66,5.6,10.74,8.66,1.84,10.07,7.77,17.28,9.37,5.31,-2.61,-1.28,0.840000000000002,-1.57,-0.85
"P Tracking Error",9.77,6.74,7.74,7.5,6.98,12.59,9.75,9.2,8.93,8.12,9.06,10.94,10.24,11.67,9.72,9.94,10.36,9.65,7.87,6.51,8.65,5.86,6.24,7.36,6.5,7.86,8.76,11.18,9.56,9.57,10.38,11.94,14.67,8.71,15.88,11.8,9.73,9.29,10,12.94,12.73,9.23,25.92,23.59,13.76,18.08,18.71,26.38,16.36,15.29,11.97,11.71,13.05,5.64,9.41
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
