"","3 Y 2016-10-24 to 2019-10-25","3 Y 2016-11-24 to 2019-11-25","3 Y 2016-12-26 to 2019-12-25","3 Y 2017-01-24 to 2020-01-25","3 Y 2017-02-27 to 2020-02-25","3 Y 2017-03-24 to 2020-03-25","3 Y 2017-04-24 to 2020-04-25","3 Y 2017-05-24 to 2020-05-25","3 Y 2017-06-27 to 2020-06-25","3 Y 2017-07-24 to 2020-07-25","3 Y 2017-08-24 to 2020-08-25","3 Y 2017-09-25 to 2020-09-25","3 Y 2017-10-24 to 2020-10-25","3 Y 2017-11-24 to 2020-11-25","3 Y 2017-12-26 to 2020-12-25","3 Y 2018-01-24 to 2021-01-25","3 Y 2018-02-26 to 2021-02-25","3 Y 2018-03-26 to 2021-03-25","3 Y 2018-04-24 to 2021-04-25","3 Y 2018-05-24 to 2021-05-25","3 Y 2018-06-25 to 2021-06-25","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",20.086,23.34,38.381,35.695,29.958,3.535,4.367,6.286,7.969,8.091,2.663,2.858,-0.952,27.059,30.912,29.368,30.863,40.13,24.646,23.333,21.553,44.226,52.57,85.79,41.334,60.447,57.904,34.692,19.237,49.207,118.27
"B Annualized Returns",9.064,13.68,15.048,12.067,9.104,-5.654,-0.487,-1.474,1.992,2.97,4.007,2.131,4.067,6.514,7.622,8.48,11.426,11.964,9.815,12.639,13.234,12.408,11.968,17.366,20.791,17.737,16.43,16.135,14.173,14.869,14.585
"AR DIFF(P-B)",11.022,9.66,23.333,23.628,20.854,9.189,4.854,7.76,5.977,5.121,-1.344,0.727,-5.019,20.545,23.29,20.888,19.437,28.166,14.831,10.694,8.319,31.818,40.602,68.424,20.543,42.71,41.474,18.557,5.064,34.338,103.685
"P Volatility",21.31,23.34,26.77,25.57,22.56,21.48,33.42,30.2,27.15,28.87,32.08,31.22,27.69,34.54,36.53,29.34,29.4,32.01,28.38,26.41,23.3,30.15,35.14,38.58,32.77,33.03,33.74,36.12,27.43,44.9,48.67
"B Volatility",13.17,12.84,12.71,12.33,12.23,12.41,19.95,21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",8.14,10.5,14.06,13.24,10.33,9.07,13.47,9.19,6.15,7.58,10.4,9.54,6.27,13.07,14.18,6.67,6.97,9.21,5.54,3.57,0.420000000000002,7.54,12.56,16.15,10.66,10.96,11.42,13.85,5.19,22.3,25.75
"P Tracking Error",13.39,16.45,21.28,20.58,15.76,13.42,18.21,17.77,17.57,16.23,14.34,13.29,16.08,20.73,20.57,13.78,14.25,15.68,13.13,12.76,11.78,16.52,23.28,29.71,23.35,22.8,23.77,25.21,16.67,32.93,38.29
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
