"","1 Y 2016-10-24 to 2017-10-25","1 Y 2016-11-24 to 2017-11-25","1 Y 2016-12-26 to 2017-12-25","1 Y 2017-01-24 to 2018-01-25","1 Y 2017-02-27 to 2018-02-25","1 Y 2017-03-24 to 2018-03-25","1 Y 2017-04-24 to 2018-04-25","1 Y 2017-05-24 to 2018-05-25","1 Y 2017-06-27 to 2018-06-25","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",33.137,61.694,75.065,49.586,34.002,12.87,12.116,9.139,6.046,8.521,18.51,10.715,-6.732,2.074,5.727,1.159,-12.031,-0.016,4.1,9.934,5.828,-4.454,-16.051,3.316,17.686,15.915,16.359,29.195,46.218,-5.277,1.725,1.134,0.231,24.806,19.231,55.095,38.579,61.612,53.95,46.987,74.337,200.168,141.499,181.026,143.298,101.044,101.818,116.509,147.418,115.847,66.059,75.926,42.587,32.767,32.17
"B Annualized Returns",17.754,31.827,35.663,31.933,16.97,12.142,15.147,12.118,12.507,10.243,15.641,9.27,-1.373,0.173,2.102,-3.831,-0.118,11.754,7.838,8.728,6.915,-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",15.383,29.867,39.402,17.653,17.032,0.728,-3.031,-2.979,-6.461,-1.722,2.869,1.445,-5.359,1.901,3.625,4.99,-11.913,-11.77,-3.738,1.206,-1.087,-4.208,-6.145,-1.432,5.981,5.298,4.494,18.27,38.157,26.495,22.363,24.766,12.634,25.527,15.193,60.732,36.286,53.659,41.226,26.515,47.029,112.738,85.407,111.701,89.434,55.586,56.538,50.49,90.712,80.336,41.548,52.567,34.033,14.242,10.08
"P Volatility",12.04,15.97,15.54,12.88,15.61,12.12,17.45,16.83,19.44,17.98,16.9,19.17,22.85,20.5,19.67,19.26,17.54,18.13,19.46,19.1,17.25,16.17,16.14,13.26,12.64,17.65,19.33,17.25,17.94,21.37,33.05,41.75,42.77,44.81,40.04,43.17,45.67,44.95,44.16,41.43,41.68,30.15,27.82,28,27.74,27.07,27.08,21.42,27.37,21.51,27.87,26.11,20.81,19.26,17.72
"B Volatility",12.49,11.43,10.87,9.87,9.88,12.06,12.72,13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",-0.450000000000001,4.54,4.67,3.01,5.73,0.0599999999999987,4.73,3.68,6.46,6.11,3.31,5.84,8.18,4.83,3.59,3.8,3,3.96,4.76,4.37,2.72,3.36,2.13,1.02,0.82,6,7.61,5.66,6.36,10.29,3.69,9.28,10.3,11.25,5.65,9,11.68,10.87,8.16,4.83,5.48,13.63,10.9,11.64,12.1,11.68,11.42,5.79,11.73,8.08,13.77,12.27,9.52,5.73,2.45
"P Tracking Error",4.94,8.3,8.72,9.29,12.47,7.54,11.38,11.02,12.96,12.34,12.66,11.14,14.48,12.55,12.17,8.84,8.21,8.32,10.89,11.45,8.77,9.4,8.81,8,6.8,10.97,13.19,9.8,12.7,13.99,10.9,15.31,13.79,18.31,15.21,20.25,21.75,18.74,17.15,14.55,14.23,19.88,19.63,20.79,23.28,23.14,19.51,14.23,21.5,17.33,22.75,21.59,19.82,13.32,9.27
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",3.11,3.6,4.52,1.9,1.37,0.1,-0.27,-0.27,-0.5,-0.14,0.23,0.13,-0.37,0.15,0.3,0.56,-1.45,-1.41,-0.34,0.11,-0.12,-0.45,-0.7,-0.18,0.88,0.48,0.34,1.86,3,1.89,2.05,1.62,0.92,1.39,1,3,1.67,2.86,2.4,1.82,3.3,5.67,4.35,5.37,3.84,2.4,2.9,3.55,4.22,4.64,1.83,2.43,1.72,1.07,1.09
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.93,1.78,1.28,1.69,1.03,0.75,0.14,0.12,-0.82,-0.14,-0.03,-0.1,-0.87,0.39,0.34,0.64,-1.02,-0.69,-0.36,0.23,-0.24,-0.05,-0.97,0.33,-0.1,0.44,0.15,0.85,2.59,2.14,2.01,2.8,1.37,3.23,0.74,3.98,3.13,3.15,3.01,1.88,2.6,2.14,3.36,4.02,5.09,3.63,2.47,2.64,3.68,3.53,2.65,3.28,3.34,0.65,0.76
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.89,1.21,1.2,0.91,0.95,0.81,1.04,0.97,1.12,1.11,0.84,1.18,1.23,1.03,0.96,1.11,1.07,1.15,1.1,1.04,1.02,1.03,0.97,0.87,0.91,1.2,1.23,1.25,1.1,1.56,1.06,1.22,1.28,1.24,1.08,1.12,1.2,1.22,1.14,1.06,1.09,1.44,1.18,1.16,0.96,0.92,1.22,1.02,1.09,0.95,1.15,1.06,0.66,1.03,0.99
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",82.84,72.57,67.19,42.71,29.16,60.96,52.82,52.4,51.36,48.2,39.51,64.31,57.73,58.43,57.59,77.5,76.02,78.01,65.85,60.21,71.33,62.54,67.04,61.09,68.67,59.13,50.43,67.34,44.7,61.78,88.28,88.19,93.38,85.13,84.5,76.6,77.22,83.75,84.68,86.63,87.67,58.23,45.97,39.65,21.74,19.1,44.12,51.01,31.71,28.02,26.58,24.17,3.02,46.9,69.59
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-7.663,-7.4244,-6.4199,-6.3191,-8.9805,-11.1345,-12.7832,-13.8735,-14.7286,-14.0031,-10.8554,-13.3005,-15.5167,-15.8982,-15.6544,-17.432,-17.4056,-19.0329,-18.0193,-17.1826,-18.1407,-17.0196,-17.336,-12.2375,-12.2738,-13.0963,-14.317,-13.0715,-10.7964,-38.42,-36.9173,-38.1272,-40.6683,-39.1105,-39.2888,-37.646,-41.1586,-39.3246,-37.73,-36.9376,-34.1241,-8.0577,-8.7242,-8.691,-8.3087,-14.4569,-11.4742,-7.9685,-13.3316,-11.8566,-13.3942,-13.2734,-11.2995,-12.5646,-10.9965
"B Max Drawdown",-10.1571,-4.7705,-4.4894,-4.4894,-6.9982,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-13.7493,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-12.5,-14.3334,-14.3333
"MD DIFF(P-B)",2.4941,-2.6539,-1.9305,-1.8297,-1.9823,-1.7662,-3.4149,-4.5052,-5.3603,-4.6348,-1.4871,-3.9322,-1.7674,-1.9193,-1.6755,-3.4531,-3.4267,-5.054,-4.0404,-3.2037,-4.1618,-3.0407,-3.3571,-0.960000000000001,-0.9963,-1.8188,-3.0395,-1.794,0.4811,-0.1145,1.3882,0.1783,-2.3628,-0.805,-0.9833,0.659500000000001,-2.8531,-1.01909999999999,0.575500000000005,0.669199999999996,1.3284,-0.7106,-1.3771,-1.7892,-1.4069,-7.5551,-4.5724,-1.631,-6.9941,-5.5191,-3.152,-3.0312,1.2005,1.7688,3.3368
