"","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",14.268,26.071,15.372,3.456,3.154,5.421,-1.326,-5.475,2.248,1.118,8.576,7.735,-1.244,-8.463,12.15,22.879,15.431,19.083,24.351,23.607,-22.251,-5.997,-8.786,4.283,35.516,54.301,52.256,11.377,24.752,25.413,25.482,38.292,163.535,173.16,192.725,144.454,92.249,106.318,95.999,101.332,61.101,42.511,52.817,4.423,18.569,18.432
"B Annualized Returns",10.243,15.641,9.27,-1.373,0.173,2.102,-3.831,-0.118,11.754,7.838,8.728,6.915,-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",4.025,10.43,6.102,4.829,2.981,3.319,2.505,-5.357,-9.506,-6.72,-0.151999999999999,0.82,-0.998,1.443,7.402,11.174,4.814,7.218,13.426,15.546,9.521,14.641,14.846,16.686,36.237,50.263,57.893,9.084,16.799,12.689,5.01,10.984,76.105,117.068,123.4,90.59,46.791,61.038,29.98,44.626,25.59,18,29.458,-4.131,0.0440000000000005,-3.658
"P Volatility",15.13,16.93,13.19,17.37,18.61,17.29,18.45,19.28,17.95,18.53,20.23,18.24,19.05,16.38,13.01,12.27,12.54,12.69,11.74,15,15.32,30.36,33.2,32.6,37.69,38.08,40.47,35.11,33.88,38.1,38.81,32.89,27.35,28.86,26.71,25.8,30.51,28.89,20.17,19.79,10.35,17.8,16.45,11.76,14.08,13.56
"B Volatility",11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",3.26,3.34,-0.140000000000001,2.7,2.94,1.21,2.99,4.74,3.78,3.83,5.5,3.71,6.24,2.37,0.77,0.449999999999999,0.889999999999999,0.969999999999999,0.15,3.42,4.24,1,0.730000000000004,0.130000000000003,4.13,3.69,6.3,1.12,-0.199999999999996,2.1,2.21,-3.31,10.83,11.94,10.35,10.16,15.12,13.23,4.54,4.15,-3.08,3.7,2.61,0.470000000000001,0.550000000000001,-1.71
"P Tracking Error",8.91,6.35,7.12,8.88,9.73,8.46,9.19,9,6.84,9.55,11.5,9.41,9.42,7.65,7.31,7.13,7.65,8.4,8.8,10.18,8.91,8.43,8.67,8.01,9.5,12.69,15.36,8.66,8.58,8.59,7.7,9,14.07,25.32,26.05,22.61,26.19,24,15.19,13.2,11.43,13.22,12.92,13.89,9.43,8.95
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
