"","3 Y 2016-10-24 to 2019-10-25","3 Y 2016-11-24 to 2019-11-25","3 Y 2016-12-26 to 2019-12-25","3 Y 2017-01-24 to 2020-01-25","3 Y 2017-02-27 to 2020-02-25","3 Y 2017-03-24 to 2020-03-25","3 Y 2017-04-24 to 2020-04-25","3 Y 2017-05-24 to 2020-05-25","3 Y 2017-06-27 to 2020-06-25","3 Y 2017-07-24 to 2020-07-25","3 Y 2017-08-24 to 2020-08-25","3 Y 2017-09-25 to 2020-09-25","3 Y 2017-10-24 to 2020-10-25","3 Y 2017-11-24 to 2020-11-25","3 Y 2017-12-26 to 2020-12-25","3 Y 2018-01-24 to 2021-01-25","3 Y 2018-02-26 to 2021-02-25","3 Y 2018-03-26 to 2021-03-25","3 Y 2018-04-24 to 2021-04-25","3 Y 2018-05-24 to 2021-05-25","3 Y 2018-06-25 to 2021-06-25","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",26.126,39.508,34.392,29.774,14.489,-8.975,-13.302,-1.888,-7.604,6.117,17.742,14.835,14.384,1.579,19.514,17.661,6.065,2.207,52.954,71.884,35.755,28.942,4.94,12.964,29.691,32.075,31.024,54.722,126.246,113.789,27.243
"B Annualized Returns",9.064,13.68,15.048,12.067,9.104,-5.654,-0.487,-1.474,1.992,2.97,4.007,2.131,4.067,6.514,7.622,8.48,11.426,11.964,9.815,12.639,13.234,12.408,11.968,17.366,20.791,17.737,16.43,16.135,14.173,14.869,14.585
"AR DIFF(P-B)",17.062,25.828,19.344,17.707,5.385,-3.321,-12.815,-0.414,-9.596,3.147,13.735,12.704,10.317,-4.935,11.892,9.181,-5.361,-9.757,43.139,59.245,22.521,16.534,-7.028,-4.402,8.9,14.338,14.594,38.587,112.073,98.92,12.658
"P Volatility",18.95,24.63,21.74,17.58,24.04,15.73,24.21,25.64,33.25,32.48,29.5,33.55,34.55,25.09,23.71,29.25,33.66,36.42,50.76,49,36.59,35.96,31.36,32.1,33.19,39.94,37.17,37.87,50.26,45.2,20.93
"B Volatility",13.17,12.84,12.71,12.33,12.23,12.41,19.95,21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",5.78,11.79,9.03,5.25,11.81,3.32,4.26,4.63,12.25,11.19,7.82,11.87,13.13,3.62,1.36,6.58,11.23,13.62,27.92,26.16,13.71,13.35,8.78,9.67,11.08,17.87,14.85,15.6,28.02,22.6,-1.99
"P Tracking Error",14.59,17.16,14.45,13.24,21.12,15.59,17.77,18.26,19.34,17.29,19.52,21.68,23.48,11.65,9.36,12.25,15.85,19.02,37.18,35.94,23.15,19.98,17.62,16,16.23,23.49,24.37,25.12,42.07,38.25,14.1
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
