"","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-10.909,-1.194,-9.585,-12.221,-4.76,12.188,10.892,8.269,-2.681,-5.313,-20.54,-2.079,9.408,10.381,16.054,17.674,21.331,-21.004,-19.496,-26.486,-9.845,-2.461,23.064,77.932,60.094,70.769,59.983,52.53,69.249,172.771,151.176,154.5,150.891,104.009,108.318,133.805,167.485,136.402,89.304,65.577,36.598,44.603,43.208
"B Annualized Returns",-1.373,0.173,2.102,-3.831,-0.118,11.754,7.838,8.728,6.915,-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",-9.536,-1.367,-11.687,-8.39,-4.642,0.434000000000001,3.054,-0.459,-9.596,-5.067,-10.634,-6.827,-2.297,-0.236000000000001,4.189,6.749,13.27,10.768,1.142,-2.854,2.558,-1.74,19.026,83.569,57.801,62.816,47.259,32.058,41.941,85.341,95.084,85.175,97.027,58.551,63.038,67.786,110.779,100.891,64.793,42.218,28.044,26.078,21.118
"P Volatility",22.26,23.45,18.44,21.12,18.43,18.16,17.51,18.97,17.89,18.8,16.52,13.6,14.1,19,19.23,19,19.34,21.42,35.4,43.22,41.27,46.57,48.5,56.01,52.82,50.37,55.99,56.27,48.53,26.34,27.26,28.92,26.04,21.77,25.73,21.19,30.8,32.82,32.38,23.55,26.91,23.18,21.61
"B Volatility",14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",7.59,7.78,2.36,5.66,3.89,3.99,2.81,4.24,3.36,5.99,2.51,1.36,2.28,7.35,7.51,7.41,7.76,10.34,6.04,10.75,8.8,13.01,14.11,21.84,18.83,16.29,19.99,19.67,12.33,9.82,10.34,12.56,10.4,6.38,10.07,5.56,15.16,19.39,18.28,9.71,15.62,9.65,6.34
"P Tracking Error",16.14,16.57,15.33,17.68,11.27,10.42,8.85,12.43,13.54,12.83,7.41,10.65,9.38,12.87,12.43,13.02,13.34,13.03,12.43,15.48,14.15,18.46,21.26,31.94,28.66,26.65,28.04,26.36,20.76,17.61,19.77,20.36,22.12,13.84,16.84,12.72,20.46,27.07,27.43,19.89,25.25,15.59,12.06
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
