"","1 Y 2017-01-24 to 2018-01-25","1 Y 2017-02-27 to 2018-02-25","1 Y 2017-03-24 to 2018-03-25","1 Y 2017-04-24 to 2018-04-25","1 Y 2017-05-24 to 2018-05-25","1 Y 2017-06-27 to 2018-06-25","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",40.937,38.831,21.053,8.854,13.435,10.822,2.068,13.737,-0.437,-8.29,-3.233,-15.41,-12.212,-0.328,-0.598,-3.778,2.676,-2.708,-12.404,-19.627,-0.417,16.67,11.892,43.956,59.403,43.667,-2.931,-26.167,-25.255,-4.058,36.935,59.306,63.395,46.637,63.23,48.361,47.839,79.374,181.986,130.958,145.844,110.336,116.334,86.76,138.663,131.431,110.37,68.599,89.083,38.456,36.616,32.894
"B Annualized Returns",31.933,16.97,12.142,15.147,12.118,12.507,10.243,15.641,9.27,-1.373,0.173,2.102,-3.831,-0.118,11.754,7.838,8.728,6.915,-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",9.004,21.861,8.911,-6.293,1.317,-1.685,-8.175,-1.904,-9.707,-6.917,-3.406,-17.512,-8.381,-0.21,-12.352,-11.616,-6.052,-9.623,-12.158,-9.721,-5.165,4.965,1.275,32.091,48.478,35.606,28.841,-5.529,-1.623,8.345,37.656,55.268,69.032,44.344,55.277,35.637,27.367,52.066,94.556,74.866,76.519,56.472,70.876,41.48,72.644,74.725,74.859,44.088,65.724,29.902,18.091,10.804
"P Volatility",16.1,16.09,17.69,18.02,16.77,18.38,19.97,18.62,20.48,25.93,26.62,18.02,22.26,19.23,18.23,18.66,18.36,17.58,14.81,19.36,11.45,15.56,16.98,21.53,22.08,21.51,28.38,40.37,45.8,38.61,42.56,50.49,44.18,48.25,42.54,45.82,47.34,49.46,26.61,31.14,29.44,26.13,27.95,25.47,32.64,30.1,31.74,22.66,31.54,25.9,20.33,17.88
"B Volatility",9.87,9.88,12.06,12.72,13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",6.23,6.21,5.63,5.3,3.62,5.4,8.1,5.03,7.15,11.26,10.95,1.94,6.8,4.69,4.06,3.96,3.63,3.05,2,5.35,-0.790000000000001,3.74,5.33,9.81,10.49,9.93,17.3,11.01,13.33,6.14,9,16.1,10.01,14.26,8.46,9.82,10.74,13.26,10.09,14.22,13.08,10.49,12.56,9.81,17.01,14.46,18.31,8.56,17.7,14.61,6.8,2.61
"P Tracking Error",12.81,12.41,14.07,14.21,10.43,12.12,15.07,15.79,16.04,17.52,19.98,15.6,17.44,10.31,12.2,10.89,8.27,7.31,7.39,8.07,9.56,9.84,12.4,15.7,18.48,17.76,21.56,14.94,16.52,11.51,17.91,23.6,20.5,24.7,20.29,21.3,19.6,20.52,17.62,22.11,19.84,18.2,20.98,16.46,25.21,25.23,27.34,21.21,26.73,23.95,12.52,9.58
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.7,1.76,0.63,-0.44,0.13,-0.14,-0.54,-0.12,-0.61,-0.39,-0.17,-1.12,-0.48,-0.02,-1.01,-1.07,-0.73,-1.32,-1.65,-1.2,-0.54,0.5,0.1,2.04,2.62,2,1.34,-0.37,-0.1,0.73,2.1,2.34,3.37,1.8,2.72,1.67,1.4,2.54,5.37,3.39,3.86,3.1,3.38,2.52,2.88,2.96,2.74,2.08,2.46,1.25,1.44,1.13
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.28,1.04,1.45,-0.03,0.28,-0.68,-0.64,-0.42,-0.33,-1.27,0.12,-1.59,-0.59,0.05,-0.52,-1.07,-0.64,-0.84,-0.88,-0.99,-0.2,-0.07,0.34,2.02,2.7,2.84,2.09,0.62,1.04,0.97,4.05,3.36,4.38,3.77,3.26,2.76,2,2.38,3.13,2.45,2.02,2.33,3.43,1.49,2.38,3.18,2.55,3.55,3.43,2.89,0.77,0.78
