"","1 Y 2016-10-24 to 2017-10-25","1 Y 2016-11-24 to 2017-11-25","1 Y 2016-12-26 to 2017-12-25","1 Y 2017-01-24 to 2018-01-25","1 Y 2017-02-27 to 2018-02-25","1 Y 2017-03-24 to 2018-03-25","1 Y 2017-04-24 to 2018-04-25","1 Y 2017-05-24 to 2018-05-25","1 Y 2017-06-27 to 2018-06-25","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",25.625,68.032,63.827,22.58,28.571,-6.5,-9.482,-9.656,-11.237,-4.581,20.335,6.747,-2.361,-6.027,7.994,-2.789,-24.314,-14.75,2.464,7.491,0.691,-6.464,-31.312,-3.689,22.141,9.41,-1.108,21.207,68.447,19.904,-7.197,-25.737,-17.984,-18.78,1.664,10.009,1.987,35.228,21.646,12.561,47.864,314.446,200.796,298.131,165.865,31.609,16.951,73.562,83.362,86.872,-1.459,5.782,10.086,-6.1,5.547
"B Annualized Returns",17.754,31.827,35.663,31.933,16.97,12.142,15.147,12.118,12.507,10.243,15.641,9.27,-1.373,0.173,2.102,-3.831,-0.118,11.754,7.838,8.728,6.915,-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",7.871,36.205,28.164,-9.353,11.601,-18.642,-24.629,-21.774,-23.744,-14.824,4.694,-2.523,-0.988,-6.2,5.892,1.042,-24.196,-26.504,-5.374,-1.237,-6.224,-6.218,-21.406,-8.437,10.436,-1.207,-12.973,10.282,60.386,51.676,13.441,-2.105,-5.581,-18.059,-2.374,15.646,-0.306,27.275,8.922,-7.911,20.556,227.016,144.704,228.806,112.001,-13.849,-28.329,7.54299999999999,26.656,51.361,-25.97,-17.577,1.532,-24.625,-16.543
"P Volatility",9.05,18.96,20.17,11.38,25.22,13.53,19.95,18.5,23.72,22.06,19.17,25.94,27.96,16.12,18.06,20.85,18.67,19.23,24.77,25.41,19.89,17.75,15.32,16.39,17.7,25.58,32.04,22.29,30.02,29.09,24.74,35.8,43.77,54.2,57.66,57.98,55.04,43.89,36.42,27.98,35.08,49.43,49.06,43.45,30.27,15.72,12.81,19.5,18.25,15.48,12.63,15.38,17.08,26.03,15.89
"B Volatility",12.49,11.43,10.87,9.87,9.88,12.06,12.72,13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",-3.44,7.53,9.3,1.51,15.34,1.47,7.23,5.35,10.74,10.19,5.58,12.61,13.29,0.450000000000001,1.98,5.39,4.13,5.06,10.07,10.68,5.36,4.94,1.31,4.15,5.88,13.93,20.32,10.7,18.44,18.01,-4.62,3.33,11.3,20.64,23.27,23.81,21.05,9.81,0.420000000000002,-8.62,-1.12,32.91,32.14,27.09,14.63,0.33,-2.85,3.87,2.61,2.05,-1.47,1.54,5.79,12.5,0.620000000000001
"P Tracking Error",9.8,11.07,15.35,9.85,23.48,14.57,16,15.06,17.88,14.67,19,16.97,18.9,9.75,11.96,12.27,10.43,10.16,16.06,20.8,14.47,13.04,10.01,10.33,9.71,17.75,26.49,15.33,25.17,22.53,12.17,13.13,19.17,25.61,29.72,31.24,28.04,18.04,12.69,15.67,18.97,38.48,38.02,33.82,23.66,21.16,9.68,12.95,9.29,9.97,13.05,13.46,15.15,23.3,10.67
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
