"","2 Y 2016-10-24 to 2018-10-25","2 Y 2016-11-24 to 2018-11-25","2 Y 2016-12-26 to 2018-12-25","2 Y 2017-01-24 to 2019-01-25","2 Y 2017-02-27 to 2019-02-25","2 Y 2017-03-24 to 2019-03-25","2 Y 2017-04-24 to 2019-04-25","2 Y 2017-05-24 to 2019-05-25","2 Y 2017-06-27 to 2019-06-25","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",20.154,31.296,35.318,24.23,16.338,12.411,9.051,10.87,4.236,3.576,3.598,6.327,1.013,9.168,13.794,16.424,6.535,-12.96,-4.972,-2.823,5.811,3.536,2.217,32.963,21.263,25.602,28.815,34.718,90.237,91.858,69.585,79.895,50.964,70.837,61.504,86.575,79.065,83.135,67.546,51.119,53.394,121.579,94.216
"B Annualized Returns",7.767,15.227,18.05,12.64,9.14,12.003,11.433,10.412,9.667,4.867,2.533,6.982,4.963,5.329,5.715,3.274,4.407,-13.494,-7.489,-7.655,-2.861,-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",12.387,16.069,17.268,11.59,7.198,0.407999999999999,-2.382,0.457999999999998,-5.431,-1.291,1.065,-0.655,-3.95,3.839,8.079,13.15,2.128,0.533999999999999,2.517,4.832,8.672,4.02,3.956,34.674,14.361,15.868,17.128,19.484,73.146,78.774,58.766,66.524,34.869,51.502,38.534,62.34,53.444,62.185,48.114,31.935,35.836,72.531,56.019
"P Volatility",18.48,22.27,20.87,18.57,19.5,15.64,18.64,18.39,18.29,18.79,16.88,18.42,17.67,17.84,17.17,16.69,17.02,18.24,29.62,30.55,28.64,30.95,29.06,32.34,31.07,30.74,32.18,32.48,39.14,40.41,36.82,39.06,36.46,39.72,34.28,38.9,38.85,39.09,33.95,31.67,31.46,30.1,23.95
"B Volatility",13.64,13.68,13.64,13.11,12.99,12.9,13.37,13.33,13.29,12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",4.84,8.59,7.23,5.46,6.51,2.74,5.27,5.06,5,6.04,3.22,4.79,4.35,4.34,3.7,3.49,4.39,5.48,6.83,6.13,4.24,6.29,3.92,7.63,6.66,6.4,6.64,6.51,13.16,14.01,10.25,12.5,9.82,13.74,8.39,12.73,12.7,12.93,7.45,5.21,5.32,13.28,7.94
"P Tracking Error",8.94,14.29,13.14,12.66,13,8.66,11.96,12.8,11.26,11.68,10.63,11.01,12.19,11.07,10.22,8.44,9.44,9.98,12.16,11.92,10.79,11.42,10.84,16.08,12.66,12.14,13.45,12.11,25.35,25.55,21.69,23.78,16.91,25.46,19.24,25.73,22.38,22.51,17.96,15.83,15.58,22.09,16.45
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
