"","2 Y 2017-04-24 to 2019-04-25","2 Y 2017-05-24 to 2019-05-25","2 Y 2017-06-27 to 2019-06-25","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",11.309,10.246,5.562,3.024,4.287,7.956,6.15,7.75,8.151,4.999,4.582,-8.737,-2.707,-4.787,-0.673,-0.265,2.383,4.766,10.916,13.549,19.22,29.267,42.288,88.751,38.218,93.224,49.456,63.047,63.913,65.629,76.329,78.894,63.825,63.23,60.302,117.379,98.16
"B Annualized Returns",11.433,10.412,9.667,4.867,2.533,6.982,4.963,5.329,5.715,3.274,4.407,-13.494,-7.489,-7.655,-2.861,-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",-0.124000000000001,-0.166,-4.105,-1.843,1.754,0.974,1.187,2.421,2.436,1.725,0.175,4.757,4.782,2.868,2.188,0.219,4.122,6.477,4.014,3.815,7.533,14.033,25.197,75.667,27.399,79.853,33.361,43.712,40.943,41.394,50.708,57.944,44.393,44.046,42.744,68.331,59.963
"P Volatility",19.57,18.27,18.19,19.11,20.16,20.53,19.02,19.18,17.57,15.69,16.91,18.82,24.39,29.24,28.41,28.97,27.54,29.07,27.96,26.29,29.6,30.1,31.62,39.53,33.45,43.26,40.65,37.37,36.76,38.14,39.34,39.96,37.12,36.35,34.42,28.71,23.98
"B Volatility",13.37,13.33,13.29,12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",6.2,4.94,4.9,6.36,6.5,6.9,5.7,5.68,4.1,2.49,4.28,6.06,1.6,4.82,4.01,4.31,2.4,4.36,3.55,1.95,4.06,4.13,5.64,13.13,6.88,16.7,14.01,11.39,10.87,11.97,13.19,13.8,10.62,9.89,8.28,11.89,7.97
"P Tracking Error",13.12,11.96,12.36,13.09,12.97,13.29,12.78,12.39,11.93,10.12,9.88,12.12,9.82,10.5,9.6,9.21,8.84,10.26,9.49,9.01,9.9,10.38,12.27,25.53,13.93,28.6,19.61,19.25,19.99,20.69,23.01,23.16,19.27,19.34,17.53,21.37,16.62
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
