"","2 Y 2016-10-24 to 2018-10-25","2 Y 2016-11-24 to 2018-11-25","2 Y 2016-12-26 to 2018-12-25","2 Y 2017-01-24 to 2019-01-25","2 Y 2017-02-27 to 2019-02-25","2 Y 2017-03-24 to 2019-03-25","2 Y 2017-04-24 to 2019-04-25","2 Y 2017-05-24 to 2019-05-25","2 Y 2017-06-27 to 2019-06-25","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",11.238,27.623,46.123,34.562,19.343,22.668,23.747,23.363,9.633,5.616,-1.76,7.167,-6.429,17.857,19.645,23.651,8.94,-6.008,1.23,2.8,10.671,8.723,15.151,72.068,25.301,31.553,34.686,22.432,29.448,45.742,117.841,136.211,53.908,105.882,55.897,91.151,102.206,96.46,104.807,84.36,76.332,72.757,62.268
"B Annualized Returns",7.767,15.227,18.05,12.64,9.14,12.003,11.433,10.412,9.667,4.867,2.533,6.982,4.963,5.329,5.715,3.274,4.407,-13.494,-7.489,-7.655,-2.861,-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",3.471,12.396,28.073,21.922,10.203,10.665,12.314,12.951,-0.0340000000000007,0.749,-4.293,0.185,-11.392,12.528,13.93,20.377,4.533,7.486,8.719,10.455,13.532,9.207,16.89,73.779,18.399,21.819,22.999,7.198,12.357,32.658,107.022,122.84,37.813,86.547,32.927,66.916,76.585,75.51,85.375,65.176,58.774,23.709,24.071
"P Volatility",21.84,25.4,26.98,25.44,23.13,22.39,25.4,24.45,23.41,22.35,19.64,18.15,18.84,27.24,26.09,21.2,19.73,20.92,28.01,27.83,25.42,29.08,30.87,36.26,32.18,27.13,27.83,30.59,29.93,42.06,50.19,50.28,43.84,45.34,30.87,41.1,44.71,46.1,43.14,43.8,40.71,25.25,23.24
"B Volatility",13.64,13.68,13.64,13.11,12.99,12.9,13.37,13.33,13.29,12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",8.2,11.72,13.34,12.33,10.14,9.49,12.03,11.12,10.12,9.6,5.98,4.52,5.52,13.74,12.62,8,7.1,8.16,5.22,3.41,1.02,4.42,5.73,11.55,7.77,2.79,2.29,4.62,3.95,15.66,23.62,23.72,17.2,19.36,4.98,14.93,18.56,19.94,16.64,17.34,14.57,8.43,7.23
"P Tracking Error",13.1,18.69,21.15,20.45,16.79,14.81,17.63,18.3,16.54,16.04,12.35,10.61,14.04,21.49,20.15,14.81,14.08,14.16,11.47,10.37,9.48,11.59,15.05,24.35,18.38,13.48,12.54,12.43,10.91,21.31,35.73,36.31,24.91,35.95,28.18,35.61,33.79,30.12,28.65,27.74,24.83,22.72,23.72
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
