"","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-13.691,8.336,-6.719,-20.955,-16.042,-16.369,-21.265,-17.507,-6.132,-3.576,-5.895,-14.662,-8.295,-28.472,-20.735,1.093,1.671,5.296,15.502,6.977,-32.571,-35.86,-29.364,-23.104,-11.003,3.542,-5.877,11.783,7.095,16.075,22.671,74.834,213.209,205.933,214.428,177.076,163.569,100.978,135.976,134.278,77.511,74.418,33.793,8.457,2.823,1.264
"B Annualized Returns",10.243,15.641,9.27,-1.373,0.173,2.102,-3.831,-0.118,11.754,7.838,8.728,6.915,-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",-23.934,-7.305,-15.989,-19.582,-16.215,-18.471,-17.434,-17.389,-17.886,-11.414,-14.623,-21.577,-8.049,-18.566,-25.483,-10.612,-8.946,-6.569,4.577,-1.084,-0.798999999999999,-15.222,-5.732,-10.701,-10.282,-0.496,-0.24,9.49,-0.858000000000001,3.351,2.199,47.526,125.779,149.841,145.103,123.212,118.111,55.698,69.957,77.572,42,49.907,10.434,-0.0969999999999995,-15.702,-20.826
"P Volatility",16.7,18.65,24.76,24.03,19.38,18.85,17.8,17.32,19.48,14.76,18.29,22.05,18.72,20.36,18.03,20.1,23.2,23.57,28.9,25.77,28.38,38.59,51.83,52.79,47.86,56.06,61.98,63.48,57.9,53.11,49.22,55.58,36.56,38.8,48.2,36.15,35.54,33.41,36.36,34.51,20.48,26.52,23.96,14.8,16.35,15.86
"B Volatility",11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",4.83,5.06,11.43,9.36,3.71,2.77,2.34,2.78,5.31,0.0600000000000005,3.56,7.52,5.91,6.35,5.79,8.28,11.55,11.85,17.31,14.19,17.3,9.23,19.36,20.32,14.3,21.67,27.81,29.49,23.82,17.11,12.62,19.38,20.04,21.88,31.84,20.51,20.15,17.75,20.73,18.87,7.05,12.42,10.12,3.51,2.82,0.59
"P Tracking Error",14.71,19.74,24.11,20.5,20.34,19.62,16.12,14.04,18.05,10.18,17.25,19.26,16.47,10.79,12.47,12.81,15.24,15.71,22.36,21.58,21.87,20.37,26.98,27.4,24.81,29.98,34.83,37.27,31.27,26.2,27.72,27.89,28.55,29.7,37.6,28.78,27.44,22.72,24.1,22.46,11.74,19.79,16.13,12.76,11.02,10.55
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
