"","2 Y 2017-04-24 to 2019-04-25","2 Y 2017-05-24 to 2019-05-25","2 Y 2017-06-27 to 2019-06-25","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.2,0.44,-0.17,0.63,0.27,0.62,0.65,1.27,1.25,0.33,0.68,1.12,1.07,1.23,0.78,1.09,0.94,1.29,1.21,1.57,1.4,1.71,2.15,7.43,1.99,3.19,2.11,1.4,2.18,2.93,4.07,4.18,3.81,3.25,3.35,2.32,1.99
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.4,1.28,1.26,1.47,1.6,1.52,1.48,1.35,1.26,0.93,1.24,1.42,0.98,1.12,1.05,1.04,0.86,0.98,0.9,0.72,0.84,0.87,1.12,1.13,1.29,1.49,1.44,1.38,1.01,1.23,1.17,1.35,1.27,1.13,1.13,0.69,0.51
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",46.57,43.37,41.16,50.81,60.39,52.11,48.86,45.9,45.38,48.17,41.84,55.04,67.16,72.03,79.57,78.67,71.24,79.78,79.43,72.33,75.29,77.37,82.8,39.79,84.7,70.69,81.42,73.77,45.18,45.85,39.96,49.03,57.3,50.8,53.06,16.55,6.57
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-23.5682,-21.5418,-24.7803,-22.3504,-20.6445,-22.3358,-22.1784,-21.108,-19.9968,-19.5293,-19.1493,-43.9631,-35.8889,-37.8262,-35.4789,-35.1983,-31.0882,-34.9807,-31.594,-28.1052,-30.363,-31.32,-37.1349,-36.5743,-39.1458,-43.0316,-41.7159,-41.2393,-37.199,-40.2691,-37.6634,-41.1933,-40.4174,-36.3542,-34.3514,-13.2546,-19.4816
"B Max Drawdown",-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-14.3334,-14.3334
"MD DIFF(P-B)",-9.5893,-7.5629,-10.8014,-8.3715,-6.6656,-8.3569,-8.1995,-7.1291,-6.0179,-5.5504,-5.1704,-5.6576,2.4166,0.479300000000002,2.8266,3.1072,7.2173,3.3248,6.7115,10.2003,7.9425,6.9855,1.1706,1.7312,-0.840299999999999,-4.7261,-3.4104,-2.9338,1.1065,-1.9636,0.642099999999999,-2.8878,-2.1119,1.2526,1.1011,1.0788,-5.1482
