"","2 Y 2018-01-23 to 2020-01-24","2 Y 2018-02-23 to 2020-02-24","2 Y 2018-03-23 to 2020-03-24","2 Y 2018-04-23 to 2020-04-24","2 Y 2018-05-23 to 2020-05-24","2 Y 2018-06-25 to 2020-06-24","2 Y 2018-07-23 to 2020-07-24","2 Y 2018-08-23 to 2020-08-24","2 Y 2018-09-24 to 2020-09-24","2 Y 2018-10-23 to 2020-10-24","2 Y 2018-11-26 to 2020-11-24","2 Y 2018-12-24 to 2020-12-24","2 Y 2019-01-23 to 2021-01-24","2 Y 2019-02-25 to 2021-02-24","2 Y 2019-03-25 to 2021-03-24","2 Y 2019-04-23 to 2021-04-24","2 Y 2019-05-23 to 2021-05-24","2 Y 2019-06-24 to 2021-06-24","2 Y 2019-07-23 to 2021-07-24","2 Y 2019-08-23 to 2021-08-24","2 Y 2019-09-23 to 2021-09-24","2 Y 2019-10-23 to 2021-10-24","2 Y 2019-11-25 to 2021-11-24","2 Y 2019-12-23 to 2021-12-24","2 Y 2020-01-23 to 2022-01-24","2 Y 2020-02-24 to 2022-02-24","2 Y 2020-03-23 to 2022-03-24","2 Y 2020-04-23 to 2022-04-24"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",14.597,15.874,-9.256,3.287,5.171,11.196,12.896,10.735,12.954,23.595,29.532,36.521,38.858,59.936,65.197,59.393,57.795,67.652,41.573,37.217,73.49,76.685,71.175,90.382,96.868,85.622,79.184,68.941
"B Annualized Returns",3.253,5.693,-14.526,-7.489,-7.332,-2.111,-0.484,-1.85,0.185,7.313,9.236,11.687,15.261,16.143,14.115,11.458,13.695,16.263,18.891,22.471,24.235,25.403,21.266,18.759,21.249,20.369,50.803,37.754
"AR DIFF(P-B)",11.344,10.181,5.27,10.776,12.503,13.307,13.38,12.585,12.769,16.282,20.296,24.834,23.597,43.793,51.082,47.935,44.1,51.389,22.682,14.746,49.255,51.282,49.909,71.623,75.619,65.253,28.381,31.187
"P Volatility",24.58,23.11,24.2,32.85,35.73,35.25,32.46,34.99,30.19,28.38,28.43,32.71,28.56,31.25,38.46,33.59,32.18,33.16,26.1,25.7,32.72,41.66,43.92,48.3,43.15,47.56,30.22,26.36
"B Volatility",13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",11.38,10.48,11.44,10.06,11.31,10.85,7.8,9.85,5.48,3.97,4.09,7.17,2.59,5.27,12.06,7.02,5.62,6.52,0.120000000000001,-0.190000000000001,6.55,15.51,17.76,21.8,16.69,21.42,13.4,10.35
"P Tracking Error",18.17,16.55,17.28,17.69,17.95,17.26,16.13,16.21,14.6,12.95,12.63,13.87,13.13,13.27,16.64,16.73,15.78,16.6,14.04,13.47,17.62,28.55,29.5,34.44,31.42,34.06,27.54,25.9
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.62,0.62,0.3,0.61,0.7,0.77,0.83,0.78,0.87,1.26,1.61,1.79,1.8,3.3,3.07,2.87,2.79,3.1,1.62,1.09,2.8,1.8,1.69,2.08,2.41,1.92,1.03,1.2
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.8,0.73,0.7,1.62,1.64,1.25,1.57,0.83,1.5,1.22,1.36,1.58,1.69,2.16,2.54,3.13,2.77,3.06,1.54,1.03,3.16,2.97,2.47,4.14,3.96,4.33,2.98,2.15
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.29,1.32,1.38,1.24,1.3,1.29,1.15,1.26,1.07,1.04,1.05,1.17,0.98,1.09,1.36,1.1,1.06,1.08,0.86,0.86,1.05,1.17,1.27,1.32,1.13,1.31,0.77,0.55
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",45.21,49.39,50.85,72.45,77.97,79.19,75.52,81.18,75.86,78.29,79.49,83.08,77.91,81.75,86.9,74.68,75.05,74.17,71.77,73.37,69.81,52,55.5,49.89,45.09,49.22,14.68,6.8
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-18.0231,-15.9258,-44.9507,-40.7901,-41.6393,-41.203,-37.1544,-40.6077,-36.6058,-35.2446,-35.1871,-36.8003,-33.0596,-34.4089,-38.8964,-36.3363,-35.648,-35.8558,-32.0081,-31.6987,-35.3026,-36.2077,-40.2146,-41.6864,-36.5882,-38.3081,-18.9899,-19.2305
"B Max Drawdown",-13.9789,-13.9789,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.6583,-14.3334,-14.3334
"MD DIFF(P-B)",-4.0442,-1.9469,-6.6452,-2.4846,-3.3338,-2.8975,1.1511,-2.3022,1.6997,3.0609,3.1184,1.5052,5.2459,3.8966,-0.590899999999998,1.9692,2.6575,2.4497,6.2974,6.6068,3.0029,2.0978,-1.9091,-3.3809,1.0186,-2.64980000000001,-4.6565,-4.8971
