"","2 Y 2018-01-23 to 2020-01-24","2 Y 2018-02-23 to 2020-02-24","2 Y 2018-03-23 to 2020-03-24","2 Y 2018-04-23 to 2020-04-24","2 Y 2018-05-23 to 2020-05-24","2 Y 2018-06-25 to 2020-06-24","2 Y 2018-07-23 to 2020-07-24","2 Y 2018-08-23 to 2020-08-24","2 Y 2018-09-24 to 2020-09-24","2 Y 2018-10-23 to 2020-10-24","2 Y 2018-11-26 to 2020-11-24","2 Y 2018-12-24 to 2020-12-24","2 Y 2019-01-23 to 2021-01-24","2 Y 2019-02-25 to 2021-02-24","2 Y 2019-03-25 to 2021-03-24","2 Y 2019-04-23 to 2021-04-24","2 Y 2019-05-23 to 2021-05-24","2 Y 2019-06-24 to 2021-06-24","2 Y 2019-07-23 to 2021-07-24","2 Y 2019-08-23 to 2021-08-24","2 Y 2019-09-23 to 2021-09-24","2 Y 2019-10-23 to 2021-10-24","2 Y 2019-11-25 to 2021-11-24","2 Y 2019-12-23 to 2021-12-24","2 Y 2020-01-23 to 2022-01-24","2 Y 2020-02-24 to 2022-02-24","2 Y 2020-03-23 to 2022-03-24","2 Y 2020-04-23 to 2022-04-24"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",7.785,7.571,-13.063,-1.878,1.216,4.199,5.048,3.023,4.248,11.691,12.955,18.114,27.581,42.399,42.839,37.272,43.163,48.657,38.319,45.557,62.379,74.417,67.457,73.347,68.963,66.263,109.533,103.314
"B Annualized Returns",3.253,5.693,-14.526,-7.489,-7.332,-2.111,-0.484,-1.85,0.185,7.313,9.236,11.687,15.261,16.143,14.115,11.458,13.695,16.263,18.891,22.471,24.235,25.403,21.266,18.759,21.249,20.369,50.803,37.754
"AR DIFF(P-B)",4.532,1.878,1.463,5.611,8.548,6.31,5.532,4.873,4.063,4.378,3.719,6.427,12.32,26.256,28.724,25.814,29.468,32.394,19.428,23.086,38.144,49.014,46.191,54.588,47.714,45.894,58.73,65.56
"P Volatility",18.66,16.72,19.3,27.01,31.12,30.91,29.68,32.6,32.09,29.27,30.41,33.92,30.36,33.18,38.59,33.7,37.1,35.84,31.93,34.05,36.51,39.89,41.58,43.96,39.13,39.42,24.42,22.06
"B Volatility",13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",5.46,4.09,6.54,4.22,6.7,6.51,5.02,7.46,7.38,4.86,6.07,8.38,4.39,7.2,12.19,7.13,10.54,9.2,5.95,8.16,10.34,13.74,15.42,17.46,12.67,13.28,7.6,6.05
"P Tracking Error",13.75,11.97,13.89,12.25,12.36,11.61,12.12,12.19,13.12,10.95,12.18,14.29,12.61,13.79,17.44,13.97,17.73,16.34,13.09,15.43,18.2,22.05,23.25,26.93,24.36,23.48,16.98,16.65
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
