"","2 Y 2017-01-24 to 2019-01-25","2 Y 2017-02-27 to 2019-02-25","2 Y 2017-03-24 to 2019-03-25","2 Y 2017-04-24 to 2019-04-25","2 Y 2017-05-24 to 2019-05-25","2 Y 2017-06-27 to 2019-06-25","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",16.667,14.361,14.126,9.725,14.115,11.411,2.811,3.509,4.276,4.273,4.479,0.975,5.614,13.292,-11.277,-4.521,-1.158,3.183,-0.391,-0.565,5.456,13.354,17.491,65.766,81.336,89.274,87.93,50.649,51.585,47.26,66.75,83.382,78.29,74.918,69.881,60.356,59.185,55.5,104.078,96.342
"B Annualized Returns",12.64,9.14,12.003,11.433,10.412,9.667,4.867,2.533,6.982,4.963,5.329,5.715,3.274,4.407,-13.494,-7.489,-7.655,-2.861,-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",4.027,5.221,2.123,-1.708,3.703,1.744,-2.056,0.976,-2.706,-0.69,-0.85,-4.74,2.34,8.885,2.217,2.968,6.497,6.044,0.093,1.174,7.167,6.452,7.757,54.079,66.102,72.183,74.846,39.83,38.214,31.165,47.415,60.412,54.055,49.297,48.931,40.924,40.001,37.942,55.03,58.145
"P Volatility",18.27,19.24,19.91,18.89,17.05,18.1,18.41,19.25,18.59,18.28,19.79,15.77,18.15,17.57,18.29,26.56,27.44,28.36,27.98,29.14,27.25,28.4,30.85,36.48,37.98,38.4,41.01,38.39,37.53,33.88,37.38,41.37,36.88,37.05,33.81,35.18,35.83,34.65,24.04,24.67
"B Volatility",13.11,12.99,12.9,13.37,13.33,13.29,12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",5.16,6.25,7.01,5.52,3.72,4.81,5.66,5.59,4.96,4.96,6.29,2.3,4.95,4.94,5.53,3.77,3.02,3.96,3.32,4,2.54,3.99,6.51,10.94,12.01,12.42,14.61,11.82,10.97,7.24,11.4,15.48,10.71,10.9,7.65,8.68,9.37,8.51,7.22,8.66
"P Tracking Error",12.35,12.69,14.38,12.87,10.19,10.47,11.41,12.45,11.99,12.65,13.4,11.03,12.71,9.51,11.3,11.2,10.66,10.31,8.35,9.46,8.77,9.58,11.12,20.74,25.84,28.25,27.87,19.09,19.44,17,24.22,26.21,21.81,20.05,17.23,19.4,19.07,17.17,15.39,16.99
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
