"","3 Y 2016-10-24 to 2019-10-25","3 Y 2016-11-24 to 2019-11-25","3 Y 2016-12-26 to 2019-12-25","3 Y 2017-01-24 to 2020-01-25","3 Y 2017-02-27 to 2020-02-25","3 Y 2017-03-24 to 2020-03-25","3 Y 2017-04-24 to 2020-04-25","3 Y 2017-05-24 to 2020-05-25","3 Y 2017-06-27 to 2020-06-25","3 Y 2017-07-24 to 2020-07-25","3 Y 2017-08-24 to 2020-08-25","3 Y 2017-09-25 to 2020-09-25","3 Y 2017-10-24 to 2020-10-25","3 Y 2017-11-24 to 2020-11-25","3 Y 2017-12-26 to 2020-12-25","3 Y 2018-01-24 to 2021-01-25","3 Y 2018-02-26 to 2021-02-25","3 Y 2018-03-26 to 2021-03-25","3 Y 2018-04-24 to 2021-04-25","3 Y 2018-05-24 to 2021-05-25","3 Y 2018-06-25 to 2021-06-25","3 Y 2018-07-24 to 2021-07-25","3 Y 2018-08-24 to 2021-08-25","3 Y 2018-09-24 to 2021-09-25","3 Y 2018-10-24 to 2021-10-25","3 Y 2018-11-26 to 2021-11-25","3 Y 2018-12-24 to 2021-12-25","3 Y 2019-01-24 to 2022-01-25","3 Y 2019-02-25 to 2022-02-25","3 Y 2019-03-25 to 2022-03-25","3 Y 2019-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",23.181,31.937,36.417,32.774,22.743,-2.344,-3.603,2.419,0.77,7.117,10.699,9.124,7.397,15.697,25.465,23.775,19.796,24.04,40.078,51.692,29.023,37.038,33.566,57.533,35.806,47.718,45.707,45.359,87.772,86.986,84.073
"B Annualized Returns",9.064,13.68,15.048,12.067,9.104,-5.654,-0.487,-1.474,1.992,2.97,4.007,2.131,4.067,6.514,7.622,8.48,11.426,11.964,9.815,12.639,13.234,12.408,11.968,17.366,20.791,17.737,16.43,16.135,14.173,14.869,14.585
"AR DIFF(P-B)",14.117,18.257,21.369,20.707,13.639,3.31,-3.116,3.893,-1.222,4.147,6.692,6.993,3.33,9.183,17.843,15.295,8.37,12.076,30.263,39.053,15.789,24.63,21.598,40.167,15.015,29.981,29.277,29.224,73.599,72.117,69.488
"P Volatility",17.75,22.93,21.27,19.14,19.71,16.07,28.67,26.74,26.88,29.06,29.07,30.66,29.98,28.44,28.98,27.66,29.8,32.58,36.51,35.1,27.89,30.89,32.33,35.36,30.76,33.02,31.52,33.27,39.58,41.25,37.47
"B Volatility",13.17,12.84,12.71,12.33,12.23,12.41,19.95,21.01,21,21.29,21.68,21.68,21.42,21.47,22.35,22.67,22.43,22.8,22.84,22.84,22.88,22.61,22.58,22.43,22.11,22.07,22.32,22.27,22.24,22.6,22.92
"V DIFF(P-B)",4.58,10.09,8.56,6.81,7.48,3.66,8.72,5.73,5.88,7.77,7.39,8.98,8.56,6.97,6.63,4.99,7.37,9.78,13.67,12.26,5.01,8.28,9.75,12.93,8.65,10.95,9.2,11,17.34,18.65,14.55
"P Tracking Error",10.58,15.24,13.75,13.46,13.74,9.53,14.54,14.85,13.73,13.73,14.1,14.75,17.83,12.69,11.7,9.09,11.2,14.56,20.88,20.29,13.61,14.44,18.81,23.57,16.43,17.72,18.18,19.81,29.95,31.38,27.27
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
