"","1 Y 2017-04-24 to 2018-04-25","1 Y 2017-05-24 to 2018-05-25","1 Y 2017-06-27 to 2018-06-25","1 Y 2017-07-24 to 2018-07-25","1 Y 2017-08-24 to 2018-08-25","1 Y 2017-09-25 to 2018-09-25","1 Y 2017-10-24 to 2018-10-25","1 Y 2017-11-24 to 2018-11-25","1 Y 2017-12-26 to 2018-12-25","1 Y 2018-01-24 to 2019-01-25","1 Y 2018-02-26 to 2019-02-25","1 Y 2018-03-26 to 2019-03-25","1 Y 2018-04-24 to 2019-04-25","1 Y 2018-05-24 to 2019-05-25","1 Y 2018-06-25 to 2019-06-25","1 Y 2018-07-24 to 2019-07-25","1 Y 2018-08-24 to 2019-08-25","1 Y 2018-09-24 to 2019-09-25","1 Y 2018-10-24 to 2019-10-25","1 Y 2018-11-26 to 2019-11-25","1 Y 2018-12-24 to 2019-12-25","1 Y 2019-01-24 to 2020-01-25","1 Y 2019-02-25 to 2020-02-25","1 Y 2019-03-25 to 2020-03-25","1 Y 2019-04-24 to 2020-04-25","1 Y 2019-05-24 to 2020-05-25","1 Y 2019-06-24 to 2020-06-25","1 Y 2019-07-24 to 2020-07-25","1 Y 2019-08-26 to 2020-08-25","1 Y 2019-09-24 to 2020-09-25","1 Y 2019-10-24 to 2020-10-25","1 Y 2019-11-25 to 2020-11-25","1 Y 2019-12-24 to 2020-12-25","1 Y 2020-01-24 to 2021-01-25","1 Y 2020-02-24 to 2021-02-25","1 Y 2020-03-24 to 2021-03-25","1 Y 2020-04-24 to 2021-04-25","1 Y 2020-05-26 to 2021-05-25","1 Y 2020-06-24 to 2021-06-25","1 Y 2020-07-24 to 2021-07-25","1 Y 2020-08-24 to 2021-08-25","1 Y 2020-09-24 to 2021-09-25","1 Y 2020-10-26 to 2021-10-25","1 Y 2020-11-24 to 2021-11-25","1 Y 2020-12-24 to 2021-12-25","1 Y 2021-01-25 to 2022-01-25","1 Y 2021-02-24 to 2022-02-25","1 Y 2021-03-24 to 2022-03-25","1 Y 2021-04-26 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",30.69,20.014,10.173,23.725,37.133,19.89,4.685,17.887,15.334,0.325,-3.503,19.036,7.442,12.805,9.974,-4.746,-10.402,5.909,21.364,24.832,20.406,34.596,54.249,39.031,-4.926,-21.591,-6.142,6.244,18.899,4.188,86.449,125.902,91.356,80.746,100.563,109.403,64.826,81.616,120.834,56.51,90.48,105.923,72.215,121.455,137.448,147.778,80.032,87.057,79.568
"B Annualized Returns",15.147,12.118,12.507,10.243,15.641,9.27,-1.373,0.173,2.102,-3.831,-0.118,11.754,7.838,8.728,6.915,-0.246,-9.906,4.748,11.705,10.617,11.865,10.925,8.061,-31.772,-20.638,-23.632,-12.403,-0.721,4.038,-5.637,2.293,7.953,12.724,20.472,27.308,87.43,56.092,69.325,53.864,45.458,45.28,66.019,56.706,35.511,24.511,23.359,8.554,18.525,22.09
"AR DIFF(P-B)",15.543,7.896,-2.334,13.482,21.492,10.62,6.058,17.714,13.232,4.156,-3.385,7.282,-0.396,4.077,3.059,-4.5,-0.495999999999999,1.161,9.659,14.215,8.541,23.671,46.188,70.803,15.712,2.041,6.261,6.965,14.861,9.825,84.156,117.949,78.632,60.274,73.255,21.973,8.73399999999999,12.291,66.97,11.052,45.2,39.904,15.509,85.944,112.937,124.419,71.478,68.532,57.478
"P Volatility",23.16,22.18,26.95,23.27,26.94,29.57,34.47,31.74,28.05,17.69,24.39,24.02,21.44,21.08,21.6,18.45,18.67,14.59,14.49,14.72,16.53,18.1,15.82,31.76,38.35,46.64,46.8,46.58,36.51,40.42,45.1,49.09,50.59,44.72,48.41,23.56,19.4,17.64,27.97,17.2,20.16,18.36,26.59,34.69,35.31,35.62,42.35,36.38,31.12
"B Volatility",12.72,13.15,12.98,11.87,13.59,13.33,14.67,15.67,16.08,15.46,14.54,14.17,14.7,14.73,14.53,12.81,14.01,12.24,11.82,11.65,11.72,11.59,11.58,11.08,29.36,32.47,32.47,33.56,34.39,34.17,33.99,34.08,36,36.6,36.2,16.52,16.92,16.36,15.64,15.39,15.66,15.63,15.64,13.43,14.1,13.84,11.29,13.53,15.27
"V DIFF(P-B)",10.44,9.03,13.97,11.4,13.35,16.24,19.8,16.07,11.97,2.23,9.85,9.85,6.74,6.35,7.07,5.64,4.66,2.35,2.67,3.07,4.81,6.51,4.24,20.68,8.99,14.17,14.33,13.02,2.12,6.25,11.11,15.01,14.59,8.12,12.21,7.04,2.48,1.28,12.33,1.81,4.5,2.73,10.95,21.26,21.21,21.78,31.06,22.85,15.85
"P Tracking Error",16.42,16.06,20.99,17.75,17.76,20.95,23.58,23.77,20.38,11.22,17.65,16.09,14.81,15.77,13.42,13.09,12.97,12.61,11.25,11.92,14.88,14.31,13.92,24.64,12.39,17.37,19.45,16.3,11.37,11.8,24.96,25.33,22.94,21.06,23.95,22.49,21.17,19.46,32.29,16.58,17.39,13.64,22.58,34.72,32.44,33.39,40,29.75,23.67
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.95,0.49,-0.11,0.76,1.21,0.51,0.26,0.75,0.65,0.37,-0.19,0.45,-0.03,0.26,0.23,-0.34,-0.04,0.09,0.86,1.19,0.57,1.65,3.32,2.87,1.27,0.12,0.32,0.43,1.31,0.83,3.37,4.66,3.43,2.86,3.06,0.98,0.41,0.63,2.07,0.67,2.6,2.93,0.69,2.48,3.48,3.73,1.79,2.3,2.43
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.74,1.1,-0.77,0.27,0.36,0.27,-0.35,1.92,1.22,0.44,0.04,0.97,0.12,0.17,0.14,0.38,-0.47,0.25,0.34,1.5,1.23,1.19,2.94,5.25,2.17,1.85,0.91,1.64,0.93,0.76,6.63,5.67,5.44,3.96,3.8,3.16,3.43,3.02,8.95,2.03,3.45,3.07,1.43,5.38,6.17,6.71,5.15,3.03,2.62
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.32,1.18,1.35,1.3,1.61,1.73,1.97,1.4,1.22,0.89,1.17,1.29,1.06,0.95,1.18,1.02,0.96,0.68,0.8,0.77,0.69,0.96,0.71,2.13,1.26,1.39,1.36,1.35,1.01,1.14,1.11,1.26,1.28,1.08,1.18,0.59,0.37,0.37,-0.03,0.54,0.71,0.81,0.9,0.49,0.99,0.9,1.26,1.7,1.38
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",47.67,42.98,35.71,38.01,62.27,56.07,66.92,42.05,43.09,56.28,42.94,53.48,47.18,37.97,58.67,44.08,46.44,24.98,36.07,30.68,15.36,30.67,18.94,50.53,92.93,92.74,87.71,93.29,89.23,92.09,66.76,74.07,81.72,75.86,74.71,7.94,0.75,2.23,-11.08,15.26,22.89,41.59,20.24,-7.03,6.2,2.54,1.39,33.18,39.51
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-13.098,-21.5418,-24.5456,-16.2578,-17.7814,-19.4767,-22.1784,-21.108,-19.9968,-15.4667,-15.9508,-17.1665,-18.7006,-16.1037,-19.7333,-18.3708,-18.0865,-11.4869,-9.2917,-8.2805,-10.6439,-7.699,-7.7114,-36.5743,-39.1458,-43.0316,-41.7159,-41.2393,-37.199,-40.2691,-37.6634,-41.1933,-40.4174,-36.3542,-34.3514,-7.5945,-7.4607,-7.8175,-13.2712,-8.428,-10.534,-7.7106,-14.1463,-18.0516,-20.0135,-20.6267,-25.2276,-21.8502,-20.4876
"B Max Drawdown",-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-9.3683,-13.7493,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-13.9789,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-11.2775,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-38.3055,-37.6068,-35.4525,-7.3471,-7.3471,-6.9018,-6.9018,-6.9018,-6.9018,-6.3375,-6.3375,-6.3375,-10.2422,-10.2422,-12.5,-14.3334,-14.3333
"MD DIFF(P-B)",-3.7297,-12.1735,-15.1773,-6.8895,-8.4131,-10.1084,-8.4291,-7.1291,-6.0179,-1.4878,-1.9719,-3.1876,-4.7217,-2.1248,-5.7544,-4.3919,-4.1076,-0.2094,1.9858,2.997,0.633599999999999,3.5785,3.5661,1.7312,-0.840299999999999,-4.7261,-3.4104,-2.9338,1.1065,-1.9636,0.642099999999999,-2.8878,-2.1119,1.2526,1.1011,-0.2474,-0.1136,-0.9157,-6.3694,-1.5262,-3.6322,-1.3731,-7.8088,-11.7141,-9.7713,-10.3845,-12.7276,-7.5168,-6.1543
