"","2 Y 2016-10-24 to 2018-10-25","2 Y 2016-11-24 to 2018-11-25","2 Y 2016-12-26 to 2018-12-25","2 Y 2017-01-24 to 2019-01-25","2 Y 2017-02-27 to 2019-02-25","2 Y 2017-03-24 to 2019-03-25","2 Y 2017-04-24 to 2019-04-25","2 Y 2017-05-24 to 2019-05-25","2 Y 2017-06-27 to 2019-06-25","2 Y 2017-07-24 to 2019-07-25","2 Y 2017-08-24 to 2019-08-25","2 Y 2017-09-25 to 2019-09-25","2 Y 2017-10-24 to 2019-10-25","2 Y 2017-11-24 to 2019-11-25","2 Y 2017-12-26 to 2019-12-25","2 Y 2018-01-24 to 2020-01-25","2 Y 2018-02-26 to 2020-02-25","2 Y 2018-03-26 to 2020-03-25","2 Y 2018-04-24 to 2020-04-25","2 Y 2018-05-24 to 2020-05-25","2 Y 2018-06-25 to 2020-06-25","2 Y 2018-07-24 to 2020-07-25","2 Y 2018-08-24 to 2020-08-25","2 Y 2018-09-24 to 2020-09-25","2 Y 2018-10-24 to 2020-10-25","2 Y 2018-11-26 to 2020-11-25","2 Y 2018-12-24 to 2020-12-25","2 Y 2019-01-24 to 2021-01-25","2 Y 2019-02-25 to 2021-02-25","2 Y 2019-03-25 to 2021-03-25","2 Y 2019-04-24 to 2021-04-25","2 Y 2019-05-24 to 2021-05-25","2 Y 2019-06-24 to 2021-06-25","2 Y 2019-07-24 to 2021-07-25","2 Y 2019-08-26 to 2021-08-25","2 Y 2019-09-24 to 2021-09-25","2 Y 2019-10-24 to 2021-10-25","2 Y 2019-11-25 to 2021-11-25","2 Y 2019-12-24 to 2021-12-25","2 Y 2020-01-24 to 2022-01-25","2 Y 2020-02-24 to 2022-02-25","2 Y 2020-03-24 to 2022-03-25","2 Y 2020-04-24 to 2022-04-25"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",9.017,10.461,12.116,7.166,12.131,18.485,12.755,14.932,17.653,5.691,7.193,10.457,13.036,4.627,-1.328,3.842,14.89,-0.541,-1.555,-1.415,1.182,3.888,5.297,5.364,42.416,48.185,53.642,62.982,31.947,26.718,39.337,45.628,81.052,49.552,79.208,55.803,46.373,35.775,34.545,53.256,52.779,80.575,109.704
"B Annualized Returns",7.767,15.227,18.05,12.64,9.14,12.003,11.433,10.412,9.667,4.867,2.533,6.982,4.963,5.329,5.715,3.274,4.407,-13.494,-7.489,-7.655,-2.861,-0.484,-1.739,-1.711,6.902,9.734,11.687,15.234,17.091,13.084,10.819,13.371,16.095,19.335,22.97,24.235,25.621,20.95,19.432,19.184,17.558,49.048,38.197
"AR DIFF(P-B)",1.25,-4.766,-5.934,-5.474,2.991,6.482,1.322,4.52,7.986,0.824,4.66,3.475,8.073,-0.702,-7.043,0.568,10.483,12.953,5.934,6.24,4.043,4.372,7.036,7.075,35.514,38.451,41.955,47.748,14.856,13.634,28.518,32.257,64.957,30.217,56.238,31.568,20.752,14.825,15.113,34.072,35.221,31.527,71.507
"P Volatility",21.04,13.35,15.06,16.04,15.16,18.96,14.69,15.23,14.33,12.56,19.33,17.05,16.11,16.25,16.05,15.49,15.58,14.76,20.91,26.54,27.8,26.24,27.84,25.49,29.49,28.48,33.55,34.16,28.67,28.28,30.97,28.76,33.82,29.44,38.56,35.28,32.47,29.54,34.17,36.01,34.35,22.27,30.09
"B Volatility",13.64,13.68,13.64,13.11,12.99,12.9,13.37,13.33,13.29,12.75,13.66,13.63,13.32,13.5,13.47,13.2,12.63,12.76,22.79,24.42,24.4,24.66,25.14,24.71,24.41,24.34,25.54,25.97,25.98,26.4,26.57,26.56,26.64,25.98,25.89,26.17,26.15,26.16,26.5,26.46,26.14,16.82,16.01
"V DIFF(P-B)",7.4,-0.33,1.42,2.93,2.17,6.06,1.32,1.9,1.04,-0.19,5.67,3.42,2.79,2.75,2.58,2.29,2.95,2,-1.88,2.12,3.4,1.58,2.7,0.779999999999998,5.08,4.14,8.01,8.19,2.69,1.88,4.4,2.2,7.18,3.46,12.67,9.11,6.32,3.38,7.67,9.55,8.21,5.45,14.08
"P Tracking Error",14.39,7.85,8.63,8.76,7.9,12.15,8.46,7.47,7.61,7.18,10.93,10.15,8.96,9.38,9.61,8.76,9.13,8.82,8.66,10.08,8.93,8.5,8.68,7.7,16.48,14.4,17.38,20.98,8.87,7.93,14.36,13.24,21.7,13.72,23.92,15.6,17.57,14.92,19.21,20.46,20.25,14.08,23.62
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
