"","3 Y 2015-11-30 to 2018-12-05","3 Y 2015-12-30 to 2019-01-04","3 Y 2016-02-01 to 2019-02-04","3 Y 2016-03-01 to 2019-03-06","3 Y 2016-03-30 to 2019-04-04","3 Y 2016-05-02 to 2019-05-05","3 Y 2016-05-30 to 2019-06-04","3 Y 2016-06-30 to 2019-07-05","3 Y 2016-08-02 to 2019-08-04","3 Y 2016-08-30 to 2019-09-04","3 Y 2016-09-30 to 2019-10-05","3 Y 2016-10-31 to 2019-11-04","3 Y 2016-11-30 to 2019-12-05","3 Y 2016-12-30 to 2020-01-04","3 Y 2017-01-30 to 2020-02-04","3 Y 2017-03-02 to 2020-03-07","3 Y 2017-03-30 to 2020-04-04","3 Y 2017-05-01 to 2020-05-05","3 Y 2017-05-30 to 2020-06-04","3 Y 2017-06-30 to 2020-07-05","3 Y 2017-07-31 to 2020-08-04","3 Y 2017-08-30 to 2020-09-04","3 Y 2017-10-02 to 2020-10-05","3 Y 2017-10-30 to 2020-11-04","3 Y 2017-11-30 to 2020-12-05","3 Y 2018-01-02 to 2021-01-04","3 Y 2018-01-30 to 2021-02-04","3 Y 2018-03-02 to 2021-03-07","3 Y 2018-04-02 to 2021-04-04","3 Y 2018-04-30 to 2021-05-05","3 Y 2018-05-30 to 2021-06-04","3 Y 2018-07-03 to 2021-07-05","3 Y 2018-07-30 to 2021-08-04","3 Y 2018-08-30 to 2021-09-04","3 Y 2018-10-01 to 2021-10-05","3 Y 2018-10-30 to 2021-11-04","3 Y 2018-11-30 to 2021-12-05","3 Y 2018-12-31 to 2022-01-04","3 Y 2019-01-30 to 2022-02-04","3 Y 2019-03-04 to 2022-03-07","3 Y 2019-04-01 to 2022-04-04","3 Y 2019-04-30 to 2022-05-05","3 Y 2019-05-30 to 2022-06-04","3 Y 2019-07-02 to 2022-07-05","3 Y 2019-07-30 to 2022-08-04","3 Y 2019-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",16.032,17.929,27.479,29.656,31.995,28.872,24.099,23.764,22.123,18.53,17.439,15.121,15.799,16.477,16.324,12.293,4.383,12.743,10.58,13.911,16.918,14.928,13.563,13.333,8.305,12.039,16.372,15.832,12.284,15.973,16.84,16.745,18.17,14.188,16.942,14.59,14.452,15.933,14.352,13.693,14.198,8.612,11.715,6.055,8.199,7.424
"B Annualized Returns",4.921,3.935,7.619,7.667,7.542,6.765,5.122,6.192,5.153,4.589,4.534,4.337,4.356,3.913,4.47,2.211,-4.458,-0.594,1.184,1.868,3.158,3.745,1.557,0.072,2.986,2.577,5.375,5.489,7.515,7.424,7.941,7.956,7.771,9.056,8.167,12.186,11.076,14.582,11.231,10.418,10.978,8.941,9.825,5.188,7.125,5.739
"AR DIFF(P-B)",11.111,13.994,19.86,21.989,24.453,22.107,18.977,17.572,16.97,13.941,12.905,10.784,11.443,12.564,11.854,10.082,8.841,13.337,9.396,12.043,13.76,11.183,12.006,13.261,5.319,9.462,10.997,10.343,4.769,8.549,8.899,8.789,10.399,5.132,8.775,2.404,3.376,1.351,3.121,3.275,3.22,-0.329000000000001,1.89,0.867,1.074,1.685
"P Volatility",12.11,12.8,13.81,21.68,23.71,24.36,25.52,24.94,22.82,21.39,20.96,16.48,13.26,14.35,13.94,13.61,17.79,24.06,25.51,25.37,24.02,24.23,20.59,20.52,18.34,20.13,18.13,19.37,19.55,19.28,19.06,19.35,20.04,19.78,20.97,20.64,20.77,18.69,19.56,19.47,19.92,20.17,21.39,19.84,22.54,23.27
"B Volatility",8.13,8.77,8.86,9.85,9.77,9.89,10.08,9.9,9.9,9.9,9.93,9.93,10.05,10.07,10.15,10.54,14.95,15.84,15.95,15.94,15.94,16.15,16.15,16.28,17.18,17.4,17.02,17.05,17.26,17.05,17.09,17.33,17.09,17.05,16.5,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,16.46,16.47,16.47
"V DIFF(P-B)",3.98,4.03,4.95,11.83,13.94,14.47,15.44,15.04,12.92,11.49,11.03,6.55,3.21,4.28,3.79,3.07,2.84,8.22,9.56,9.43,8.08,8.08,4.44,4.24,1.16,2.73,1.11,2.32,2.29,2.23,1.97,2.02,2.95,2.73,4.47,3.9,4.59,2.97,4,3.89,4.17,4.53,5.67,3.38,6.07,6.8
"P Tracking Error",10.46,10.76,11.59,16.69,19.08,19.39,20.35,19.73,17.72,15.95,16.07,11.77,9.02,10.11,9.64,8.5,8.91,13.78,14.36,13.79,13.05,13.12,10.97,9.99,8.03,8.49,7.29,10.26,7.05,7.21,8.22,7.39,9.22,12.45,13.31,9.97,9.74,6.53,7.81,10.71,10.2,8.59,9.94,6.46,10.03,10.63
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
