"","2 Y 2016-11-29 to 2018-12-04","2 Y 2016-12-29 to 2019-01-03","2 Y 2017-01-30 to 2019-02-03","2 Y 2017-03-01 to 2019-03-06","2 Y 2017-03-29 to 2019-04-03","2 Y 2017-05-01 to 2019-05-04","2 Y 2017-05-29 to 2019-06-03","2 Y 2017-06-29 to 2019-07-04","2 Y 2017-07-31 to 2019-08-03","2 Y 2017-08-29 to 2019-09-03","2 Y 2017-09-29 to 2019-10-04","2 Y 2017-10-30 to 2019-11-03","2 Y 2017-11-29 to 2019-12-04","2 Y 2017-12-29 to 2020-01-03","2 Y 2018-01-29 to 2020-02-03","2 Y 2018-03-01 to 2020-03-06","2 Y 2018-03-29 to 2020-04-03","2 Y 2018-04-30 to 2020-05-04","2 Y 2018-05-29 to 2020-06-03","2 Y 2018-06-29 to 2020-07-04","2 Y 2018-07-30 to 2020-08-03","2 Y 2018-08-29 to 2020-09-03","2 Y 2018-10-01 to 2020-10-04","2 Y 2018-10-29 to 2020-11-03","2 Y 2018-11-29 to 2020-12-04","2 Y 2018-12-31 to 2021-01-03","2 Y 2019-01-29 to 2021-02-03","2 Y 2019-03-01 to 2021-03-06","2 Y 2019-03-29 to 2021-04-03","2 Y 2019-04-29 to 2021-05-04","2 Y 2019-05-29 to 2021-06-03","2 Y 2019-07-02 to 2021-07-04","2 Y 2019-07-29 to 2021-08-03","2 Y 2019-08-29 to 2021-09-03","2 Y 2019-09-30 to 2021-10-04","2 Y 2019-10-29 to 2021-11-03","2 Y 2019-11-29 to 2021-12-04","2 Y 2019-12-30 to 2022-01-03","2 Y 2020-01-29 to 2022-02-03","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-03","2 Y 2020-04-29 to 2022-05-04","2 Y 2020-05-29 to 2022-06-03","2 Y 2020-06-29 to 2022-07-04","2 Y 2020-07-29 to 2022-08-03","2 Y 2020-08-31 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",12.256,10.18,13.861,16.624,19.511,21.274,18.995,23.496,18.955,16.591,13.767,13.914,13.7,10.884,13.427,11.165,0.458,13.656,12.603,13.491,19.867,26.432,25.075,23.591,24.512,23.986,20.176,18.61,19.443,19.328,23.52,17.841,20.714,22.753,18.281,18.415,20.667,17.596,17.804,22.286,57.924,33.031,34.695,20.285,16.681,17.329
"B Annualized Returns",1.873,-2.671,1.097,1.845,2.808,3.49,3.151,5.602,4.499,5.085,2.701,2.046,3.169,2.707,5.111,3.634,-5.519,-1.692,-0.911,-1.131,-0.055,2.172,1.018,1.773,6.894,10.099,6.617,6.101,7.445,7.657,11.583,10.85,11.372,12.761,10.527,13.001,11.653,12.71,11.978,14.648,27.013,19.128,16.804,11.772,9.582,7.673
"AR DIFF(P-B)",10.383,12.851,12.764,14.779,16.703,17.784,15.844,17.894,14.456,11.506,11.066,11.868,10.531,8.177,8.316,7.531,5.977,15.348,13.514,14.622,19.922,24.26,24.057,21.818,17.618,13.887,13.559,12.509,11.998,11.671,11.937,6.991,9.342,9.992,7.754,5.414,9.014,4.886,5.826,7.638,30.911,13.903,17.891,8.513,7.099,9.656
"P Volatility",11.17,13.08,12.86,16.77,17.66,19.16,20.07,20.8,18.58,19.99,19.47,16.26,16.17,13.37,13.39,14.24,19.8,20.17,22.17,24.19,24.36,25.05,24.98,26.6,27.08,22.62,23.38,23.53,24.83,24.5,25.3,27.75,26.38,27.14,22.38,28.55,26.37,25.62,28.47,20.79,20.29,13.05,14.61,13.59,17.23,16.85
"B Volatility",8.02,9.4,9.4,11.64,11.65,11.8,11.8,11.98,11.98,11.98,11.72,11.72,12.03,11.96,11.96,12.2,17.88,18.1,19.09,19.02,19.02,19.41,18.73,18.88,19.24,18.69,18.22,18.35,18.68,18.19,18.25,18.67,18.28,18.25,18.6,18.58,18.67,18.67,18.31,11.45,11.45,10.88,11.12,11.12,12.42,12.26
"V DIFF(P-B)",3.15,3.68,3.46,5.13,6.01,7.36,8.27,8.82,6.6,8.01,7.75,4.54,4.14,1.41,1.43,2.04,1.92,2.07,3.08,5.17,5.34,5.64,6.25,7.72,7.84,3.93,5.16,5.18,6.15,6.31,7.05,9.08,8.1,8.89,3.78,9.97,7.7,6.95,10.16,9.34,8.84,2.17,3.49,2.47,4.81,4.59
"P Tracking Error",9.77,10.37,10.02,10.75,11.06,12.69,13.74,13.9,11.98,12.79,12.41,10.72,9.85,9.52,9.56,9.47,8.75,8.79,8.91,9.47,11,14.86,14.29,14.17,15.73,8.7,10.61,12.69,12.58,12.91,11.3,11.51,10.98,13.11,7.41,12.57,10.65,12.13,14.06,13.23,12.79,6.83,7.9,7.22,9.14,8.5
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
