"","1 Y 2016-05-30 to 2017-06-04","1 Y 2016-06-30 to 2017-07-05","1 Y 2016-08-02 to 2017-08-04","1 Y 2016-08-30 to 2017-09-04","1 Y 2016-09-30 to 2017-10-05","1 Y 2016-10-31 to 2017-11-04","1 Y 2016-11-30 to 2017-12-05","1 Y 2016-12-30 to 2018-01-04","1 Y 2017-01-30 to 2018-02-04","1 Y 2017-03-02 to 2018-03-07","1 Y 2017-03-30 to 2018-04-04","1 Y 2017-05-01 to 2018-05-05","1 Y 2017-05-30 to 2018-06-04","1 Y 2017-06-30 to 2018-07-05","1 Y 2017-07-31 to 2018-08-04","1 Y 2017-08-30 to 2018-09-04","1 Y 2017-10-02 to 2018-10-05","1 Y 2017-10-30 to 2018-11-04","1 Y 2017-11-30 to 2018-12-05","1 Y 2018-01-02 to 2019-01-04","1 Y 2018-01-30 to 2019-02-04","1 Y 2018-03-02 to 2019-03-07","1 Y 2018-04-02 to 2019-04-04","1 Y 2018-04-30 to 2019-05-05","1 Y 2018-05-30 to 2019-06-04","1 Y 2018-07-03 to 2019-07-05","1 Y 2018-07-30 to 2019-08-04","1 Y 2018-08-30 to 2019-09-04","1 Y 2018-10-01 to 2019-10-05","1 Y 2018-10-30 to 2019-11-04","1 Y 2018-11-30 to 2019-12-05","1 Y 2018-12-31 to 2020-01-04","1 Y 2019-01-30 to 2020-02-04","1 Y 2019-03-04 to 2020-03-07","1 Y 2019-04-01 to 2020-04-04","1 Y 2019-04-30 to 2020-05-05","1 Y 2019-05-30 to 2020-06-04","1 Y 2019-07-02 to 2020-07-05","1 Y 2019-07-30 to 2020-08-04","1 Y 2019-08-30 to 2020-09-04","1 Y 2019-09-30 to 2020-10-05","1 Y 2019-10-30 to 2020-11-04","1 Y 2019-12-02 to 2020-12-05","1 Y 2019-12-30 to 2021-01-04","1 Y 2020-01-30 to 2021-02-04","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-04","1 Y 2020-04-30 to 2021-05-05","1 Y 2020-06-01 to 2021-06-04","1 Y 2020-06-30 to 2021-07-05","1 Y 2020-07-30 to 2021-08-04","1 Y 2020-08-31 to 2021-09-04","1 Y 2020-09-30 to 2021-10-05","1 Y 2020-10-30 to 2021-11-04","1 Y 2020-11-30 to 2021-12-05","1 Y 2020-12-30 to 2022-01-04","1 Y 2021-02-01 to 2022-02-04","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-03-30 to 2022-04-04","1 Y 2021-04-30 to 2022-05-05","1 Y 2021-05-31 to 2022-06-04","1 Y 2021-06-30 to 2022-07-05","1 Y 2021-07-30 to 2022-08-04","1 Y 2021-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",11.667,5.635,24.322,1.295,2.115,7.98,12.836,9.723,-1.027,-7.137,-5.356,5.969,6.154,12.301,3.317,6.021,-2.018,8.9,-0.333,-6.145,1.798,14.703,14.285,17.867,21.508,22.255,21.646,52.703,35.885,27.199,20.46,21.863,6.48,-6.214,-23.772,-10.477,-19.443,-26.924,-16.173,-8.203,-18.356,-22.797,6.094,-1.068,14.2,43.537,124.151,96.437,58.084,70.908,50.847,52.895,78.275,84.733,41.538,47.685,51.847,31.172,23.352,9.776,6.469,-5.284,-17.725,-11.355
"B Annualized Returns",11.206,7.356,6.331,4.837,9.267,10.333,6.784,6.896,3.305,-0.576,-2.299,0.623,4.862,8.363,8.504,9.509,2.561,-4.796,-4.408,-12.237,-1.605,4.475,8.311,6.856,1.131,2.935,0.222,1.989,2.667,10.195,11.342,18.428,11.189,2.8,-17.583,-9.945,-2.763,-5.199,-0.145,0.595,-0.6,-4.948,2.624,2.414,1.49,7.844,36.256,28.093,26.722,28.898,24.729,24.224,22.484,34.803,21.595,24.073,20.919,18.085,18.397,12.025,6.391,-4.935,-3.383,-6.522
"AR DIFF(P-B)",0.461,-1.721,17.991,-3.542,-7.152,-2.353,6.052,2.827,-4.332,-6.561,-3.057,5.346,1.292,3.938,-5.187,-3.488,-4.579,13.696,4.075,6.092,3.403,10.228,5.974,11.011,20.377,19.32,21.424,50.714,33.218,17.004,9.118,3.435,-4.709,-9.014,-6.189,-0.532,-16.68,-21.725,-16.028,-8.798,-17.756,-17.849,3.47,-3.482,12.71,35.693,87.895,68.344,31.362,42.01,26.118,28.671,55.791,49.93,19.943,23.612,30.928,13.087,4.955,-2.249,0.0780000000000003,-0.349,-14.342,-4.833
"P Volatility",15.76,8.38,8.67,5.61,9.19,4.79,6.41,7.49,8.68,11.47,12.86,16.51,13.42,17.74,16.15,14.79,16.65,17.49,12.5,12.93,14.02,11.85,11.17,10.64,10.21,8.95,7.98,10.16,11.63,9.45,11.2,10.18,13.92,14.32,25.88,36.01,48.04,48.34,43.84,44.87,45.07,39.3,44.32,36.84,44.89,26.36,39.26,30.29,31.65,32.84,34.07,27.81,32.15,18.61,18.02,18.71,19.87,9.95,11.16,17.1,14.99,17.85,17.23,16.46
"B Volatility",4.75,4.03,4.17,4.17,4.99,5.31,4.94,4.94,5.42,6.49,6.75,7.31,7.31,7.64,7.76,7.76,7.06,10.28,10.57,12.45,12.45,15.74,15.58,15.59,15.97,15.85,15.83,15.77,13.41,13.41,10.7,6.92,6.93,8.86,20.42,22.97,23.32,23.32,23.32,24.01,24.12,23.95,26.16,26.16,25.51,14.1,14.1,12.19,12.09,12.18,11.63,10.62,9.98,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,12.97,13,12.83
"V DIFF(P-B)",11.01,4.35,4.5,1.44,4.2,-0.52,1.47,2.55,3.26,4.98,6.11,9.2,6.11,10.1,8.39,7.03,9.59,7.21,1.93,0.48,1.57,-3.89,-4.41,-4.95,-5.76,-6.9,-7.85,-5.61,-1.78,-3.96,0.5,3.26,6.99,5.46,5.46,13.04,24.72,25.02,20.52,20.86,20.95,15.35,18.16,10.68,19.38,12.26,25.16,18.1,19.56,20.66,22.44,17.19,22.17,11.39,9.65,10.34,11.19,1.26,2.47,7.18,4.96,4.88,4.23,3.63
"P Tracking Error",13.85,7.96,9.84,4.34,6.55,5.94,7.85,8.73,8.31,9.41,11.45,13.9,10.44,15.09,14.49,11.69,14.47,16.13,11.51,12.82,14.6,15.76,12.83,15.25,14.96,11.52,13.83,20.29,17.36,14.86,11.81,7.86,12.88,11.49,10.75,17.07,28.25,28.2,24.73,26.63,26.25,20.73,24.55,15.22,23.88,17.29,29.09,23.63,24.06,23.32,25.34,20.98,25.58,18.18,16.82,16.87,19.95,9.79,9.67,13.79,10.43,10.49,9.23,8.5
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
