"","1 Y 2015-08-28 to 2016-09-02","1 Y 2015-09-28 to 2016-10-03","1 Y 2015-10-28 to 2016-11-02","1 Y 2015-11-30 to 2016-12-03","1 Y 2015-12-29 to 2017-01-02","1 Y 2016-01-28 to 2017-02-02","1 Y 2016-02-29 to 2017-03-05","1 Y 2016-03-28 to 2017-04-02","1 Y 2016-04-28 to 2017-05-03","1 Y 2016-05-30 to 2017-06-02","1 Y 2016-06-28 to 2017-07-03","1 Y 2016-07-28 to 2017-08-02","1 Y 2016-08-29 to 2017-09-02","1 Y 2016-09-28 to 2017-10-03","1 Y 2016-10-28 to 2017-11-02","1 Y 2016-11-28 to 2017-12-03","1 Y 2016-12-28 to 2018-01-02","1 Y 2017-01-30 to 2018-02-02","1 Y 2017-02-28 to 2018-03-05","1 Y 2017-03-28 to 2018-04-02","1 Y 2017-04-28 to 2018-05-03","1 Y 2017-05-29 to 2018-06-02","1 Y 2017-06-28 to 2018-07-03","1 Y 2017-07-28 to 2018-08-02","1 Y 2017-08-28 to 2018-09-02","1 Y 2017-09-28 to 2018-10-03","1 Y 2017-10-30 to 2018-11-02","1 Y 2017-11-28 to 2018-12-03","1 Y 2017-12-28 to 2019-01-02","1 Y 2018-01-29 to 2019-02-02","1 Y 2018-02-28 to 2019-03-05","1 Y 2018-03-28 to 2019-04-02","1 Y 2018-04-30 to 2019-05-03","1 Y 2018-05-28 to 2019-06-02","1 Y 2018-06-28 to 2019-07-03","1 Y 2018-07-30 to 2019-08-02","1 Y 2018-08-28 to 2019-09-02","1 Y 2018-09-28 to 2019-10-03","1 Y 2018-10-29 to 2019-11-02","1 Y 2018-11-28 to 2019-12-03","1 Y 2018-12-28 to 2020-01-02","1 Y 2019-01-28 to 2020-02-02","1 Y 2019-02-28 to 2020-03-04","1 Y 2019-03-28 to 2020-04-02","1 Y 2019-04-29 to 2020-05-03","1 Y 2019-05-28 to 2020-06-02","1 Y 2019-06-28 to 2020-07-03","1 Y 2019-07-29 to 2020-08-02","1 Y 2019-08-28 to 2020-09-02","1 Y 2019-09-30 to 2020-10-03","1 Y 2019-10-28 to 2020-11-02","1 Y 2019-11-28 to 2020-12-03","1 Y 2019-12-30 to 2021-01-02","1 Y 2020-01-28 to 2021-02-02","1 Y 2020-02-28 to 2021-03-05","1 Y 2020-03-30 to 2021-04-02","1 Y 2020-04-28 to 2021-05-03","1 Y 2020-05-28 to 2021-06-02","1 Y 2020-06-29 to 2021-07-03","1 Y 2020-07-28 to 2021-08-02","1 Y 2020-08-28 to 2021-09-02","1 Y 2020-09-28 to 2021-10-03","1 Y 2020-10-28 to 2021-11-02","1 Y 2020-11-30 to 2021-12-03","1 Y 2020-12-29 to 2022-01-02","1 Y 2021-01-28 to 2022-02-02","1 Y 2021-03-01 to 2022-03-05","1 Y 2021-03-29 to 2022-04-02","1 Y 2021-04-28 to 2022-05-03","1 Y 2021-05-28 to 2022-06-02","1 Y 2021-06-28 to 2022-07-03","1 Y 2021-07-28 to 2022-08-02","1 Y 2021-08-30 to 2022-09-02"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",10.917,18.796,6.02,15.857,26.678,30.729,21.191,16.887,17.587,12.736,23.856,12.395,4.629,11.538,15.106,14.763,11.346,6.265,5.768,2.395,-1.802,4.443,5.501,15.905,6.691,2.293,-3.351,-1.187,-8.003,2.666,9.943,8.057,11.178,11.265,7.72,4.397,8.447,5.7,16.687,17.743,25.364,13.805,9.643,-10.919,-12.28,0.466,-9.611,-6.504,-5.345,1.159,-0.217,-1.451,-1.041,1.362,6.251,46.254,36.881,36.264,35.642,29.463,32.354,25.897,26.275,23.179,21.287,19.721,19.569,16.479,9.086,15.904,2.488,11.588,2.642
"B Annualized Returns",7.33,9.628,8.352,11.521,17.484,24.252,20.245,15.865,13.629,11.206,9.71,6.477,4.837,8.114,9.158,7.177,5.936,3.305,-0.839,-2.523,0.231,4.862,6.03,8.959,9.509,2.642,-4.796,-3.461,-11.26,-1.605,3.983,7.655,6.856,1.744,2.391,0.222,0.613,2.663,10.195,10.635,18.456,12.697,2.419,-18.804,-9.981,-4.161,-5.199,-0.145,1.964,-0.6,-5.489,2.524,2.414,0.84,7.844,36.256,24.739,30.083,30.327,24.698,24.023,24.406,36.985,21.595,24.073,23.933,18.085,18.397,9.748,4.796,-4.142,-3.167,-6.522
"AR DIFF(P-B)",3.587,9.168,-2.332,4.336,9.194,6.477,0.945999999999998,1.022,3.958,1.53,14.146,5.918,-0.208,3.424,5.948,7.586,5.41,2.96,6.607,4.918,-2.033,-0.419,-0.529,6.946,-2.818,-0.349,1.445,2.274,3.257,4.271,5.96,0.402,4.322,9.521,5.329,4.175,7.834,3.037,6.492,7.108,6.908,1.108,7.224,7.885,-2.299,4.627,-4.412,-6.359,-7.309,1.759,5.272,-3.975,-3.455,0.522,-1.593,9.998,12.142,6.181,5.315,4.765,8.331,1.491,-10.71,1.584,-2.786,-4.212,1.484,-1.918,-0.661999999999999,11.108,6.63,14.755,9.164
"P Volatility",7.95,8.72,7.9,8.79,7.51,10.59,5.35,5.38,5.89,5.35,7.2,6.35,5.3,5.43,5.19,6.1,6.67,6.33,8.65,6.27,7.17,6.34,5.92,8.66,7.54,5.91,6.8,6.36,8.51,9.56,12.68,11.08,12.93,12.88,11.48,10.63,13.34,10.93,11.56,7.26,5.46,5.65,8.39,19.75,22.38,23.51,25.52,22.83,26.28,30.02,27.7,25.08,29.23,27.69,16.35,16.35,13.69,11.38,14.13,15.07,16.97,13.9,9.37,9.11,9.9,10.88,9.03,9.28,11.27,10.38,10.05,13.66,14.38
"B Volatility",10.16,10.16,8.81,8.1,8.1,5.5,4.59,4.59,4.61,4.75,4.75,4.17,4.17,4.99,5.31,5.31,4.94,5.42,6.49,6.49,7.31,7.31,7.74,7.76,7.76,7.06,10.28,10.28,10.57,12.45,15.74,15.58,15.59,15.59,15.85,15.83,15.83,13.41,13.41,10.7,7.06,6.92,8.86,20.42,21.46,23.32,23.32,23.32,24.01,24.12,24.12,26.16,26.16,25.51,14.1,14.1,12.27,12.09,12.09,11.57,10.62,10.62,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,10.03,12.97,12.83
"V DIFF(P-B)",-2.21,-1.44,-0.91,0.69,-0.59,5.09,0.76,0.79,1.28,0.6,2.45,2.18,1.13,0.44,-0.119999999999999,0.79,1.73,0.91,2.16,-0.220000000000001,-0.14,-0.97,-1.82,0.9,-0.22,-1.15,-3.48,-3.92,-2.06,-2.89,-3.06,-4.5,-2.66,-2.71,-4.37,-5.2,-2.49,-2.48,-1.85,-3.44,-1.6,-1.27,-0.469999999999999,-0.670000000000002,0.919999999999998,0.190000000000001,2.2,-0.490000000000002,2.27,5.9,3.58,-1.08,3.07,2.18,2.25,2.25,1.42,-0.709999999999999,2.04,3.5,6.35,3.28,2.15,0.74,1.53,2.2,0.34,0.59,1.35,0.350000000000001,0.0200000000000014,0.69,1.55
"P Tracking Error",7.94,6.82,6.73,7.89,7.04,10.05,4.21,6.01,5.37,5.55,7.27,7.1,6.27,3.88,3.56,5.29,6.15,4.44,5.12,4.79,4.19,3.96,4.05,7.67,5.77,4.22,4.58,4.97,5.58,5.9,4.69,5.73,5.87,5.07,7.02,6.06,4.14,3.59,4.19,6.32,5.01,3.6,4.9,6.36,2.92,6.4,3.21,3.14,4.63,7.17,6.92,3.63,5.27,6.82,4.37,4.04,4.92,4.77,5.68,7.61,9.25,7.63,8.31,6.62,6.76,7.4,6.17,5.07,5.38,5.2,5.11,6.85,7.01
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
