"","1 Y 2017-05-30 to 2018-06-04","1 Y 2017-06-30 to 2018-07-05","1 Y 2017-07-31 to 2018-08-04","1 Y 2017-08-30 to 2018-09-04","1 Y 2017-10-02 to 2018-10-05","1 Y 2017-10-30 to 2018-11-04","1 Y 2017-11-30 to 2018-12-05","1 Y 2018-01-02 to 2019-01-04","1 Y 2018-01-30 to 2019-02-04","1 Y 2018-03-02 to 2019-03-07","1 Y 2018-04-02 to 2019-04-04","1 Y 2018-04-30 to 2019-05-05","1 Y 2018-05-30 to 2019-06-04","1 Y 2018-07-03 to 2019-07-05","1 Y 2018-07-30 to 2019-08-04","1 Y 2018-08-30 to 2019-09-04","1 Y 2018-10-01 to 2019-10-05","1 Y 2018-10-30 to 2019-11-04","1 Y 2018-11-30 to 2019-12-05","1 Y 2018-12-31 to 2020-01-04","1 Y 2019-01-30 to 2020-02-04","1 Y 2019-03-04 to 2020-03-07","1 Y 2019-04-01 to 2020-04-04","1 Y 2019-04-30 to 2020-05-05","1 Y 2019-05-30 to 2020-06-04","1 Y 2019-07-02 to 2020-07-05","1 Y 2019-07-30 to 2020-08-04","1 Y 2019-08-30 to 2020-09-04","1 Y 2019-09-30 to 2020-10-05","1 Y 2019-10-30 to 2020-11-04","1 Y 2019-12-02 to 2020-12-05","1 Y 2019-12-30 to 2021-01-04","1 Y 2020-01-30 to 2021-02-04","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-04","1 Y 2020-04-30 to 2021-05-05","1 Y 2020-06-01 to 2021-06-04","1 Y 2020-06-30 to 2021-07-05","1 Y 2020-07-30 to 2021-08-04","1 Y 2020-08-31 to 2021-09-04","1 Y 2020-09-30 to 2021-10-05","1 Y 2020-10-30 to 2021-11-04","1 Y 2020-11-30 to 2021-12-05","1 Y 2020-12-30 to 2022-01-04","1 Y 2021-02-01 to 2022-02-04","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-03-30 to 2022-04-04","1 Y 2021-04-30 to 2022-05-05","1 Y 2021-05-31 to 2022-06-04","1 Y 2021-06-30 to 2022-07-05","1 Y 2021-07-30 to 2022-08-04","1 Y 2021-08-30 to 2022-09-04"
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.82,0.82,0.64,0.65,0.62,0.83,0.69,0.55,0.74,1.04,1.12,0.93,0.95,0.89,0.84,0.75,0.62,0.61,0.77,1.04,0.74,0.88,1.29,1.32,1.48,1.35,1.25,1.43,1.4,1.37,1.49,1.31,1.47,1.45,1.7,1.19,1.22,1.2,1.32,1.14,1.2,0.74,0.98,1.02,0.9,0.79,0.87,0.91,0.92,1.28,1.2,1.12
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",26.08,31.16,6.58,6.16,5.11,33.9,32.55,34.93,59.23,74.78,79.37,68.22,74.87,87.98,82.07,69.16,31.61,36.99,32.89,49.78,39.14,58.84,93.08,78,79,90.85,89.96,88.33,89.99,90.13,90.22,93.2,93.68,76.38,74.19,75.34,79.88,83.29,72.41,63.51,57.02,20.63,47.9,55.74,42.08,45.97,53.97,50.28,64.25,91.56,80.82,84.31
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-13.0292,-12.1616,-12.0451,-12.6164,-12.2374,-12.8243,-12.8407,-11.7198,-14.3637,-13.7543,-14.4713,-14.4502,-14.6045,-13.6915,-9.329,-9.243,-6.0726,-7.2093,-6.5349,-7.6214,-5.055,-10.3939,-36.7594,-32.7419,-35.6372,-35.4727,-34.8417,-39.379,-38.3419,-38.6311,-39.703,-35.2384,-39.0488,-31.6443,-8.735,-8.8074,-7.1344,-6.977,-7.8474,-6.2347,-7.5842,-7.0997,-7.6886,-6.881,-6.2322,-7.9438,-7.173,-8.3726,-10.6941,-18.7968,-18.2125,-18.4509
"B Max Drawdown",-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-12.9881,-11.5827,-10.6565,-7.2553,-7.0974,-4.4131,-4.4131,-8.4037,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-7.7678,-7.7678,-7.7678,-7.1116,-6.0911,-3.8238,-5.1782,-5.1782,-5.1782,-5.1782,-5.1782,-6.2958,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",-4.3864,-3.5188,-3.4023,-3.9736,-3.5946,-1.9614,-1.9778,1.7248,-0.9191,-0.309700000000001,-1.0267,-1.0056,-1.1599,-0.2469,3.6591,2.3397,4.5839,0.0460000000000003,0.5625,-3.2083,-0.6419,-1.9902,-1.0329,2.9846,0.0893000000000015,0.253799999999998,0.884799999999998,-3.6525,-2.6154,-2.9046,-3.9765,0.488100000000003,-3.3223,-0.291700000000002,-0.967199999999999,-1.0396,0.6334,0.7908,-0.0796000000000001,0.8769,-1.4931,-3.2759,-2.5104,-1.7028,-1.054,-2.7656,-1.9948,-2.0768,-0.426,-4.0021,-1.4286,-1.667
