"","1 Y 2015-08-28 to 2016-09-02","1 Y 2015-09-28 to 2016-10-03","1 Y 2015-10-28 to 2016-11-02","1 Y 2015-11-30 to 2016-12-03","1 Y 2015-12-29 to 2017-01-02","1 Y 2016-01-28 to 2017-02-02","1 Y 2016-02-29 to 2017-03-05","1 Y 2016-03-28 to 2017-04-02","1 Y 2016-04-28 to 2017-05-03","1 Y 2016-05-30 to 2017-06-02","1 Y 2016-06-28 to 2017-07-03","1 Y 2016-07-28 to 2017-08-02","1 Y 2016-08-29 to 2017-09-02","1 Y 2016-09-28 to 2017-10-03","1 Y 2016-10-28 to 2017-11-02","1 Y 2016-11-28 to 2017-12-03","1 Y 2016-12-28 to 2018-01-02","1 Y 2017-01-30 to 2018-02-02","1 Y 2017-02-28 to 2018-03-05","1 Y 2017-03-28 to 2018-04-02","1 Y 2017-04-28 to 2018-05-03","1 Y 2017-05-29 to 2018-06-02","1 Y 2017-06-28 to 2018-07-03","1 Y 2017-07-28 to 2018-08-02","1 Y 2017-08-28 to 2018-09-02","1 Y 2017-09-28 to 2018-10-03","1 Y 2017-10-30 to 2018-11-02","1 Y 2017-11-28 to 2018-12-03","1 Y 2017-12-28 to 2019-01-02","1 Y 2018-01-29 to 2019-02-02","1 Y 2018-02-28 to 2019-03-05","1 Y 2018-03-28 to 2019-04-02","1 Y 2018-04-30 to 2019-05-03","1 Y 2018-05-28 to 2019-06-02","1 Y 2018-06-28 to 2019-07-03","1 Y 2018-07-30 to 2019-08-02","1 Y 2018-08-28 to 2019-09-02","1 Y 2018-09-28 to 2019-10-03","1 Y 2018-10-29 to 2019-11-02","1 Y 2018-11-28 to 2019-12-03","1 Y 2018-12-28 to 2020-01-02","1 Y 2019-01-28 to 2020-02-02","1 Y 2019-02-28 to 2020-03-04","1 Y 2019-03-28 to 2020-04-02","1 Y 2019-04-29 to 2020-05-03","1 Y 2019-05-28 to 2020-06-02","1 Y 2019-06-28 to 2020-07-03","1 Y 2019-07-29 to 2020-08-02","1 Y 2019-08-28 to 2020-09-02","1 Y 2019-09-30 to 2020-10-03","1 Y 2019-10-28 to 2020-11-02","1 Y 2019-11-28 to 2020-12-03","1 Y 2019-12-30 to 2021-01-02","1 Y 2020-01-28 to 2021-02-02","1 Y 2020-02-28 to 2021-03-05","1 Y 2020-03-30 to 2021-04-02","1 Y 2020-04-28 to 2021-05-03","1 Y 2020-05-28 to 2021-06-02","1 Y 2020-06-29 to 2021-07-03","1 Y 2020-07-28 to 2021-08-02","1 Y 2020-08-28 to 2021-09-02","1 Y 2020-09-28 to 2021-10-03","1 Y 2020-10-28 to 2021-11-02","1 Y 2020-11-30 to 2021-12-03","1 Y 2020-12-29 to 2022-01-02","1 Y 2021-01-28 to 2022-02-02","1 Y 2021-03-01 to 2022-03-05","1 Y 2021-03-29 to 2022-04-02","1 Y 2021-04-28 to 2022-05-03","1 Y 2021-05-28 to 2022-06-02","1 Y 2021-06-28 to 2022-07-03","1 Y 2021-07-28 to 2022-08-02","1 Y 2021-08-30 to 2022-09-02"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",94.012,82.971,62.387,70.951,51.201,124.037,25.78,7.594,7.428,22.552,10.811,3.224,3.129,7.284,-0.517,13.283,14.068,-2.95,5.661,-1.464,38.203,53.983,56.421,4.487,14.054,7.614,5.826,-3.583,1.001,4.935,8.396,21.878,14.732,4.71,13.129,15.257,28.635,29.4,16.686,1.811,20.244,7.483,4.514,-16.729,29.204,-8.9,-21.11,-18.616,-5.39,-9.26,-3.117,38.451,10.173,7.8,45.688,130.176,63.275,60.029,19.591,21.165,18.243,60.193,72.056,17.517,15.765,13.185,23.201,12.596,-1.42,-3.191,-23.517,-19.939,-4.18
"B Annualized Returns",7.33,9.628,8.352,11.521,17.484,24.252,20.245,15.865,13.629,11.206,9.71,6.477,4.837,8.114,9.158,7.177,5.936,3.305,-0.839,-2.523,0.231,4.862,6.03,8.959,9.509,2.642,-4.796,-3.461,-11.26,-1.605,3.983,7.655,6.856,1.744,2.391,0.222,0.613,2.663,10.195,10.635,18.456,12.697,2.419,-18.804,-9.981,-4.161,-5.199,-0.145,1.964,-0.6,-5.489,2.524,2.414,0.84,7.844,36.256,24.739,30.083,30.327,24.698,24.023,24.406,36.985,21.595,24.073,23.933,18.085,18.397,9.748,4.796,-4.142,-3.167,-6.522
"AR DIFF(P-B)",86.682,73.343,54.035,59.43,33.717,99.785,5.535,-8.271,-6.201,11.346,1.101,-3.253,-1.708,-0.830000000000001,-9.675,6.106,8.132,-6.255,6.5,1.059,37.972,49.121,50.391,-4.472,4.545,4.972,10.622,-0.122,12.261,6.54,4.413,14.223,7.876,2.966,10.738,15.035,28.022,26.737,6.491,-8.824,1.788,-5.214,2.095,2.075,39.185,-4.739,-15.911,-18.471,-7.354,-8.66,2.372,35.927,7.759,6.96,37.844,93.92,38.536,29.946,-10.736,-3.533,-5.78,35.787,35.071,-4.078,-8.308,-10.748,5.116,-5.801,-11.168,-7.987,-19.375,-16.772,2.342
"P Volatility",41.5,42.11,22.84,20.15,12.6,38.18,10.84,13.17,9.03,19.63,8.07,7.54,10.05,8.1,9.82,10.73,10.33,9.29,8.6,12.63,15.68,16.41,16.16,12.34,10.14,10.73,14.63,10.99,9.31,8.45,11.8,14.63,11.09,12.05,9.45,9.79,14.15,14.8,15.12,23.22,18.94,11.67,10.04,20.38,19.37,46.04,34.52,44.24,41.41,37.39,34.08,42.82,23.15,27.7,21.87,40.95,32.69,35.91,15.37,13.96,16.22,27.16,18.13,18.52,21.56,19.62,15.03,15.28,14.79,12.38,14.24,21.33,20.68
"B Volatility",10.16,10.16,8.81,8.1,8.1,5.5,4.59,4.59,4.61,4.75,4.75,4.17,4.17,4.99,5.31,5.31,4.94,5.42,6.49,6.49,7.31,7.31,7.74,7.76,7.76,7.06,10.28,10.28,10.57,12.45,15.74,15.58,15.59,15.59,15.85,15.83,15.83,13.41,13.41,10.7,7.06,6.92,8.86,20.42,21.46,23.32,23.32,23.32,24.01,24.12,24.12,26.16,26.16,25.51,14.1,14.1,12.27,12.09,12.09,11.57,10.62,10.62,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,10.03,12.97,12.83
"V DIFF(P-B)",31.34,31.95,14.03,12.05,4.5,32.68,6.25,8.58,4.42,14.88,3.32,3.37,5.88,3.11,4.51,5.42,5.39,3.87,2.11,6.14,8.37,9.1,8.42,4.58,2.38,3.67,4.35,0.710000000000001,-1.26,-4,-3.94,-0.949999999999999,-4.5,-3.54,-6.4,-6.04,-1.68,1.39,1.71,12.52,11.88,4.75,1.18,-0.0400000000000027,-2.09,22.72,11.2,20.92,17.4,13.27,9.96,16.66,-3.01,2.19,7.77,26.85,20.42,23.82,3.28,2.39,5.6,16.54,10.91,10.15,13.19,10.94,6.34,6.59,4.87,2.35,4.21,8.36,7.85
"P Tracking Error",37.84,38.22,19.95,17.49,10.61,37.4,9.15,10.96,7.85,19.05,8.09,6.46,7.77,8.93,12.02,12.67,12.41,8.11,7.12,8.8,13.98,14.48,14.25,10.19,6.93,8.31,15.17,13.06,9.92,10.03,17.01,10.56,8.34,5.79,8.94,10.87,18.98,20.03,12.8,13.75,14.26,8.21,6.97,8.73,15.23,28.36,15.82,25.31,24.1,18.87,13.09,29.02,7.21,9.13,11.44,31.18,24.71,27.71,15.31,7.92,14.17,20.45,16.93,15.93,20.43,16.5,12.49,12.19,11.34,7.27,7.95,10.9,10.57
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
