"","3 Y 2015-11-30 to 2018-12-05","3 Y 2015-12-30 to 2019-01-04","3 Y 2016-02-01 to 2019-02-04","3 Y 2016-03-01 to 2019-03-06","3 Y 2016-03-30 to 2019-04-04","3 Y 2016-05-02 to 2019-05-05","3 Y 2016-05-30 to 2019-06-04","3 Y 2016-06-30 to 2019-07-05","3 Y 2016-08-02 to 2019-08-04","3 Y 2016-08-30 to 2019-09-04","3 Y 2016-09-30 to 2019-10-05","3 Y 2016-10-31 to 2019-11-04","3 Y 2016-11-30 to 2019-12-05","3 Y 2016-12-30 to 2020-01-04","3 Y 2017-01-30 to 2020-02-04","3 Y 2017-03-02 to 2020-03-07","3 Y 2017-03-30 to 2020-04-04","3 Y 2017-05-01 to 2020-05-05","3 Y 2017-05-30 to 2020-06-04","3 Y 2017-06-30 to 2020-07-05","3 Y 2017-07-31 to 2020-08-04","3 Y 2017-08-30 to 2020-09-04","3 Y 2017-10-02 to 2020-10-05","3 Y 2017-10-30 to 2020-11-04","3 Y 2017-11-30 to 2020-12-05","3 Y 2018-01-02 to 2021-01-04","3 Y 2018-01-30 to 2021-02-04","3 Y 2018-03-02 to 2021-03-07","3 Y 2018-04-02 to 2021-04-04","3 Y 2018-04-30 to 2021-05-05","3 Y 2018-05-30 to 2021-06-04","3 Y 2018-07-03 to 2021-07-05","3 Y 2018-07-30 to 2021-08-04","3 Y 2018-08-30 to 2021-09-04","3 Y 2018-10-01 to 2021-10-05","3 Y 2018-10-30 to 2021-11-04","3 Y 2018-11-30 to 2021-12-05","3 Y 2018-12-31 to 2022-01-04","3 Y 2019-01-30 to 2022-02-04","3 Y 2019-03-04 to 2022-03-07","3 Y 2019-04-01 to 2022-04-04","3 Y 2019-04-30 to 2022-05-05","3 Y 2019-05-30 to 2022-06-04","3 Y 2019-07-02 to 2022-07-05","3 Y 2019-07-30 to 2022-08-04","3 Y 2019-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",24.57,22.017,31.523,11.145,9.583,15.022,14.361,15.578,8.963,8.703,9.278,6.842,7.311,5.903,9.396,5.967,-1.926,0.6,3.8,4.936,4.952,4.005,4.179,2.23,12.295,6.829,7.788,6.246,14.803,9.198,8.384,8.231,8.521,16.891,9.952,18.98,15.102,20.035,11.549,10.73,10.729,11.417,9.763,6.205,6.823,7.099
"B Annualized Returns",4.921,3.935,7.619,7.667,7.542,6.765,5.122,6.192,5.153,4.589,4.534,4.337,4.356,3.913,4.47,2.211,-4.458,-0.594,1.184,1.868,3.158,3.745,1.557,0.072,2.986,2.577,5.375,5.489,7.515,7.424,7.941,7.956,7.771,9.056,8.167,12.186,11.076,14.582,11.231,10.418,10.978,8.941,9.825,5.188,7.125,5.739
"AR DIFF(P-B)",19.649,18.082,23.904,3.478,2.041,8.257,9.239,9.386,3.81,4.114,4.744,2.505,2.955,1.99,4.926,3.756,2.532,1.194,2.616,3.068,1.794,0.26,2.622,2.158,9.309,4.252,2.413,0.757000000000001,7.288,1.774,0.443000000000001,0.274999999999999,0.750000000000001,7.835,1.785,6.794,4.026,5.453,0.318,0.312000000000001,-0.249000000000001,2.476,-0.0619999999999994,1.017,-0.302,1.36
"P Volatility",18.38,19.87,20.24,8.32,8.89,9.6,9.66,9.46,9.03,8.37,8.56,8.08,8.1,8.54,9.27,9.31,14.6,15.17,14.74,14.33,14.98,15.53,18.14,17.52,20.01,17.77,18.85,17.92,17.93,17.48,17.3,17.51,16.54,18.11,17.12,17.38,16.64,18.25,16.88,17.35,17.19,16.48,16.33,18.75,16.96,17.64
"B Volatility",8.13,8.77,8.86,9.85,9.77,9.89,10.08,9.9,9.9,9.9,9.93,9.93,10.05,10.07,10.15,10.54,14.95,15.84,15.95,15.94,15.94,16.15,16.15,16.28,17.18,17.4,17.02,17.05,17.26,17.05,17.09,17.33,17.09,17.05,16.5,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,16.46,16.47,16.47
"V DIFF(P-B)",10.25,11.1,11.38,-1.53,-0.879999999999999,-0.290000000000001,-0.42,-0.44,-0.870000000000001,-1.53,-1.37,-1.85,-1.95,-1.53,-0.880000000000001,-1.23,-0.35,-0.67,-1.21,-1.61,-0.959999999999999,-0.619999999999999,1.99,1.24,2.83,0.370000000000001,1.83,0.870000000000001,0.669999999999998,0.43,0.210000000000001,0.180000000000003,-0.550000000000001,1.06,0.620000000000001,0.640000000000001,0.460000000000001,2.53,1.32,1.77,1.44,0.84,0.609999999999998,2.29,0.490000000000002,1.17
"P Tracking Error",16.96,17.32,17.69,3.83,4.53,4.83,5.47,5.55,4.42,5.3,4.66,4.54,4.51,4.51,4.45,4.69,4.11,3.28,4.53,5.36,4.8,4.13,6.09,5.39,7.35,6.56,7.52,4.21,6.86,7.56,6.24,6.37,5.9,5.34,4.86,5.99,5.85,7.53,7.36,4.81,4.96,6.24,6.21,7.66,5.91,6.2
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
