"","3 Y 2018-05-29 to 2021-06-03","3 Y 2018-06-29 to 2021-07-04","3 Y 2018-07-30 to 2021-08-03","3 Y 2018-08-29 to 2021-09-03","3 Y 2018-10-01 to 2021-10-04","3 Y 2018-10-29 to 2021-11-03","3 Y 2018-11-29 to 2021-12-04","3 Y 2018-12-31 to 2022-01-03","3 Y 2019-01-29 to 2022-02-03","3 Y 2019-03-01 to 2022-03-06","3 Y 2019-03-29 to 2022-04-03","3 Y 2019-04-29 to 2022-05-04","3 Y 2019-05-29 to 2022-06-03","3 Y 2019-07-02 to 2022-07-04","3 Y 2019-07-29 to 2022-08-03","3 Y 2019-08-29 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",9.463,9.353,9.136,11.759,9.3,12.027,11.189,14.18,10.649,10.638,10.83,10.353,10.323,5.579,6.025,4.188
"B Annualized Returns",7.991,7.956,7.766,9.056,8.013,12.185,11.076,14.582,11.715,10.418,10.978,8.696,9.825,5.6,6.409,5.739
"AR DIFF(P-B)",1.472,1.397,1.37,2.703,1.287,-0.158000000000001,0.113,-0.402000000000001,-1.066,0.220000000000001,-0.148,1.657,0.498000000000001,-0.0209999999999999,-0.383999999999999,-1.551
"P Volatility",16.26,16.5,15.83,17.51,17.39,17.48,16.78,16.63,15.94,16.57,16.35,16.29,15.84,17.08,17.53,16.72
"B Volatility",17.09,17.33,17.11,17.05,16.63,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,15.95,16.47,16.47
"V DIFF(P-B)",-0.829999999999998,-0.829999999999998,-1.28,0.460000000000001,0.760000000000002,0.740000000000002,0.600000000000001,0.909999999999998,0.379999999999999,0.99,0.600000000000001,0.649999999999999,0.119999999999999,1.13,1.06,0.25
"P Tracking Error",7.13,7.47,5.96,10.35,8.96,8.86,8.22,5.28,5.78,7.65,6.34,5.08,5.63,4.93,4.96,6.69
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.21,0.19,0.23,0.26,0.14,-0.02,0.01,-0.08,-0.18,0.03,-0.02,0.33,0.09,0,-0.08,-0.23
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.25,0.34,0.18,0.37,0.19,0.04,0,-0.06,0.01,0.03,0.07,0.09,0.12,0.02,0,-0.06
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.87,0.86,0.87,0.84,0.9,0.91,0.91,1,0.96,0.94,0.96,0.99,0.94,1.03,1.02,0.93
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",82.24,81.09,87.5,66.4,73.52,74.39,76.09,89.61,86.63,78.28,84.67,90.01,87.3,91.48,91.8,83.97
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-29.0355,-29.3162,-30.4519,-30.2441,-29.8613,-30.2638,-29.5552,-31.5733,-31.4325,-30.0626,-30.9035,-31.1284,-29.7554,-31.5838,-32.0702,-30.4191
"B Max Drawdown",-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265
"MD DIFF(P-B)",6.691,6.4103,5.2746,5.4824,5.8652,5.4627,6.1713,4.1532,4.294,5.6639,4.823,4.5981,5.9711,4.1427,3.6563,5.3074
