"","3 Y 2017-05-30 to 2020-06-04","3 Y 2017-06-30 to 2020-07-05","3 Y 2017-07-31 to 2020-08-04","3 Y 2017-08-30 to 2020-09-04","3 Y 2017-10-02 to 2020-10-05","3 Y 2017-10-30 to 2020-11-04","3 Y 2017-11-30 to 2020-12-05","3 Y 2018-01-02 to 2021-01-04","3 Y 2018-01-30 to 2021-02-04","3 Y 2018-03-02 to 2021-03-07","3 Y 2018-04-02 to 2021-04-04","3 Y 2018-04-30 to 2021-05-05","3 Y 2018-05-30 to 2021-06-04","3 Y 2018-07-03 to 2021-07-05","3 Y 2018-07-30 to 2021-08-04","3 Y 2018-08-30 to 2021-09-04","3 Y 2018-10-01 to 2021-10-05","3 Y 2018-10-30 to 2021-11-04","3 Y 2018-11-30 to 2021-12-05","3 Y 2018-12-31 to 2022-01-04","3 Y 2019-01-30 to 2022-02-04","3 Y 2019-03-04 to 2022-03-07","3 Y 2019-04-01 to 2022-04-04","3 Y 2019-04-30 to 2022-05-05","3 Y 2019-05-30 to 2022-06-04","3 Y 2019-07-02 to 2022-07-05","3 Y 2019-07-30 to 2022-08-04","3 Y 2019-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",-5.232,-4.982,-0.621,1.145,-2.296,-1.937,-2.427,3.305,5.072,9.393,9.465,11.085,13.674,7.719,12.646,16.772,14.658,13.376,14.444,12.757,12.308,13.767,14.486,12.281,20.883,6.898,14.659,16.241
"B Annualized Returns",1.184,1.868,3.158,3.745,1.557,0.072,2.986,2.577,5.375,5.489,7.515,7.424,7.941,7.956,7.771,9.056,8.167,12.186,11.076,14.582,11.231,10.418,10.978,8.941,9.825,5.188,7.125,5.739
"AR DIFF(P-B)",-6.416,-6.85,-3.779,-2.6,-3.853,-2.009,-5.413,0.728,-0.303,3.904,1.95,3.661,5.733,-0.237,4.875,7.716,6.491,1.19,3.368,-1.825,1.077,3.349,3.508,3.34,11.058,1.71,7.534,10.502
"P Volatility",29.58,26.19,21.57,20.94,21.36,21.39,19.72,16.2,14.54,15.72,17.16,18.86,16.6,18.8,21.32,23.25,25.14,24.26,28.37,27.55,20.76,21.63,22.38,22.03,28.12,22.75,24.96,31.1
"B Volatility",15.95,15.94,15.94,16.15,16.15,16.28,17.18,17.4,17.02,17.05,17.26,17.05,17.09,17.33,17.09,17.05,16.5,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,16.46,16.47,16.47
"V DIFF(P-B)",13.63,10.25,5.63,4.79,5.21,5.11,2.54,-1.2,-2.48,-1.33,-0.100000000000001,1.81,-0.489999999999998,1.47,4.23,6.2,8.64,7.52,12.19,11.83,5.2,6.05,6.63,6.39,12.4,6.29,8.49,14.63
"P Tracking Error",17.29,14.16,9.93,10.02,10.02,10.16,8.72,8.61,8.74,11.06,8.31,16.58,13.51,16.53,20.67,22.26,24.14,21.15,22.24,15.68,10.95,11.84,12.06,16.82,19.07,11.54,14.08,19.14
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.37,-0.48,-0.38,-0.26,-0.38,-0.2,-0.62,0.08,-0.03,0.35,0.23,0.22,0.42,-0.01,0.24,0.35,0.27,0.06,0.15,-0.12,0.1,0.28,0.29,0.2,0.58,0.15,0.54,0.55
