"","1 Y 2018-05-29 to 2019-06-03","1 Y 2018-06-29 to 2019-07-04","1 Y 2018-07-30 to 2019-08-03","1 Y 2018-08-29 to 2019-09-03","1 Y 2018-10-01 to 2019-10-04","1 Y 2018-10-29 to 2019-11-03","1 Y 2018-11-29 to 2019-12-04","1 Y 2018-12-31 to 2020-01-03","1 Y 2019-01-29 to 2020-02-03","1 Y 2019-03-01 to 2020-03-06","1 Y 2019-03-29 to 2020-04-03","1 Y 2019-04-29 to 2020-05-04","1 Y 2019-05-29 to 2020-06-03","1 Y 2019-07-02 to 2020-07-04","1 Y 2019-07-29 to 2020-08-03","1 Y 2019-08-29 to 2020-09-03","1 Y 2019-09-30 to 2020-10-04","1 Y 2019-10-29 to 2020-11-03","1 Y 2019-11-29 to 2020-12-04","1 Y 2019-12-30 to 2021-01-03","1 Y 2020-01-29 to 2021-02-03","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-03","1 Y 2020-04-29 to 2021-05-04","1 Y 2020-05-29 to 2021-06-03","1 Y 2020-06-29 to 2021-07-04","1 Y 2020-07-29 to 2021-08-03","1 Y 2020-08-31 to 2021-09-03","1 Y 2020-09-29 to 2021-10-04","1 Y 2020-10-29 to 2021-11-03","1 Y 2020-11-30 to 2021-12-04","1 Y 2020-12-29 to 2022-01-03","1 Y 2021-01-29 to 2022-02-03","1 Y 2021-03-01 to 2022-03-06","1 Y 2021-03-29 to 2022-04-03","1 Y 2021-04-29 to 2022-05-04","1 Y 2021-05-31 to 2022-06-03","1 Y 2021-06-29 to 2022-07-04","1 Y 2021-07-29 to 2022-08-03","1 Y 2021-08-30 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",12.551,12.739,11.277,11.336,13.442,15.78,16.13,27.299,16.283,6.219,-15.61,4.665,4.016,2.651,11.026,1.959,3.79,0.893,10.171,4.305,9.956,25.502,78.152,47.339,45.986,39.075,28.408,31.386,35.732,43.376,23.256,27.035,25.644,26.785,26.185,23.053,12.576,0.425,1.391,3.127
"B Annualized Returns",1.744,3.113,0.222,0.613,2.667,10.195,9.931,18.428,12.697,2.8,-17.583,-9.981,-2.906,-5.199,-0.145,2.355,-0.6,-6.423,2.624,2.414,2.244,7.844,36.256,28.097,28.235,30.327,24.698,24.224,24.406,36.385,21.595,24.073,22.638,18.085,18.397,10.809,6.391,-4.142,-3.725,-6.522
"AR DIFF(P-B)",10.807,9.626,11.055,10.723,10.775,5.585,6.199,8.871,3.586,3.419,1.973,14.646,6.922,7.85,11.171,-0.396,4.39,7.316,7.547,1.891,7.712,17.658,41.896,19.242,17.751,8.748,3.71,7.162,11.326,6.991,1.661,2.962,3.006,8.7,7.788,12.244,6.185,4.567,5.116,9.649
"P Volatility",15.68,15.73,15.12,15.22,13.17,15.02,12.56,6.79,6.49,8.81,22.46,23.53,34.78,31.98,32.79,33.5,33.57,32.94,36.28,34.99,33.92,21.06,24.2,16.05,16.36,15.78,16.21,15.28,16.14,10.45,11.36,11.88,10.78,9.8,9.24,11.02,10.47,10.35,16.21,16.66
"B Volatility",15.59,15.85,15.83,15.83,13.41,13.41,10.7,6.92,6.92,8.86,20.42,21.46,23.32,23.32,23.32,24.01,24.12,23.95,26.16,26.16,25.51,14.1,14.1,12.19,12.09,12.09,11.57,10.62,10.62,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,10.03,13,12.83
"V DIFF(P-B)",0.0899999999999999,-0.119999999999999,-0.710000000000001,-0.609999999999999,-0.24,1.61,1.86,-0.13,-0.43,-0.0499999999999989,2.04,2.07,11.46,8.66,9.47,9.49,9.45,8.99,10.12,8.83,8.41,6.96,10.1,3.86,4.27,3.69,4.64,4.66,5.52,3.23,2.99,3.51,2.1,1.11,0.550000000000001,1.1,0.440000000000001,0.32,3.21,3.83
"P Tracking Error",5.96,2.98,4.51,3.56,6.06,5.8,5.84,7.56,7.03,6.54,7.06,9.04,16.35,14,14.43,12.48,12.1,11.88,12.71,11.01,10.58,9.66,12.79,7.12,7.6,6.25,7.49,7.67,8.3,8.39,8.03,8.22,8.23,7.49,6.29,5.67,5.41,5.35,6.79,7.28
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
