"","3 Y 2016-03-01 to 2019-03-06","3 Y 2016-04-01 to 2019-04-06","3 Y 2016-05-02 to 2019-05-06","3 Y 2016-06-01 to 2019-06-06","3 Y 2016-07-04 to 2019-07-06","3 Y 2016-08-02 to 2019-08-06","3 Y 2016-09-01 to 2019-09-06","3 Y 2016-10-03 to 2019-10-06","3 Y 2016-11-01 to 2019-11-06","3 Y 2016-12-01 to 2019-12-06","3 Y 2017-01-03 to 2020-01-06","3 Y 2017-02-01 to 2020-02-06","3 Y 2017-03-01 to 2020-03-06","3 Y 2017-04-03 to 2020-04-06","3 Y 2017-05-01 to 2020-05-06","3 Y 2017-06-01 to 2020-06-06","3 Y 2017-07-04 to 2020-07-06","3 Y 2017-08-01 to 2020-08-06","3 Y 2017-09-01 to 2020-09-06","3 Y 2017-10-02 to 2020-10-06","3 Y 2017-11-01 to 2020-11-06","3 Y 2017-12-01 to 2020-12-06","3 Y 2018-01-02 to 2021-01-06","3 Y 2018-02-01 to 2021-02-06","3 Y 2018-03-01 to 2021-03-06","3 Y 2018-04-02 to 2021-04-06","3 Y 2018-05-01 to 2021-05-06","3 Y 2018-06-01 to 2021-06-06","3 Y 2018-07-03 to 2021-07-06","3 Y 2018-08-01 to 2021-08-06","3 Y 2018-09-04 to 2021-09-06","3 Y 2018-10-01 to 2021-10-06","3 Y 2018-11-01 to 2021-11-06","3 Y 2018-12-03 to 2021-12-06","3 Y 2019-01-02 to 2022-01-06","3 Y 2019-02-01 to 2022-02-06","3 Y 2019-03-01 to 2022-03-06","3 Y 2019-04-01 to 2022-04-06","3 Y 2019-05-01 to 2022-05-06","3 Y 2019-06-03 to 2022-06-06","3 Y 2019-07-02 to 2022-07-06","3 Y 2019-08-01 to 2022-08-06","3 Y 2019-09-03 to 2022-09-06"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",13.061,26.225,25.337,7.507,30.531,4.567,1.593,4.265,11.661,9.577,7.326,8.039,6.716,3.896,11.506,3.628,3.05,9.377,1.709,4.889,8.653,3.433,4.611,8.219,9.602,12.172,11.347,15.903,10.041,13.397,20.301,16.038,15.351,14.219,15.202,14.188,14.389,15.006,16.706,19.223,7.529,14.909,17.187
"B Annualized Returns",7.667,7.601,6.765,5.31,6.192,5.153,4.776,4.534,5.232,4.21,3.913,4.93,2.211,-4.458,-0.449,1.003,1.868,3.155,3.745,1.867,0.663,2.986,2.48,5.642,5.489,7.731,7.218,7.941,8.083,8.095,9.056,8.385,12.383,11.076,13.746,11.231,10.418,10.932,8.125,9.825,4.934,7.2,5.739
"AR DIFF(P-B)",5.394,18.624,18.572,2.197,24.339,-0.585999999999999,-3.183,-0.269,6.429,5.367,3.413,3.109,4.505,8.354,11.955,2.625,1.182,6.222,-2.036,3.022,7.99,0.447,2.131,2.577,4.113,4.441,4.129,7.962,1.958,5.302,11.245,7.653,2.968,3.143,1.456,2.957,3.971,4.074,8.581,9.398,2.595,7.709,11.448
"P Volatility",20.64,18.37,15.47,12.04,15.75,14.11,13.34,11.9,9.54,9.53,10.4,11.7,12.15,16.68,24.34,25.74,22.73,25.5,33.85,21.92,25.78,17.49,14.37,13.89,17.14,15.02,16.29,18.81,13.87,18.02,23.63,24.6,22.94,24.3,24.21,27.7,27.4,30.21,25.99,34.18,36.39,34.51,35.47
"B Volatility",9.85,9.77,9.89,10.08,9.9,9.9,9.9,9.93,9.91,10.05,10.07,10.15,10.54,14.95,15.84,15.95,15.94,16.22,16.15,16.15,16.28,17.18,17.16,17.02,17.05,17.07,17.05,17.09,17.11,17.09,17.05,16.5,16.74,16.18,15.55,15.56,15.58,15.59,15.64,15.72,16.46,16.47,16.47
"V DIFF(P-B)",10.79,8.6,5.58,1.96,5.85,4.21,3.44,1.97,-0.370000000000001,-0.520000000000001,0.33,1.55,1.61,1.73,8.5,9.79,6.79,9.28,17.7,5.77,9.5,0.309999999999999,-2.79,-3.13,0.0899999999999999,-2.05,-0.760000000000002,1.72,-3.24,0.93,6.58,8.1,6.2,8.12,8.66,12.14,11.82,14.62,10.35,18.46,19.93,18.04,19
"P Tracking Error",16.91,14.35,11.01,6.58,11.98,8.49,8,6.67,7.27,9.85,10.19,12.26,11.67,15.54,19.78,17.66,13.42,17.13,23.48,14.34,18.37,11.98,9.98,13.79,17.26,11.01,14.72,19.93,9.96,16.26,24.57,23.35,17.92,15.31,12.44,15.27,16.22,18.2,14.93,22.81,24.35,22.8,23.76
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.32,1.3,1.69,0.33,2.03,-0.07,-0.4,-0.04,0.88,0.54,0.33,0.25,0.39,0.54,0.6,0.15,0.09,0.36,-0.09,0.21,0.43,0.04,0.21,0.19,0.24,0.4,0.28,0.4,0.2,0.33,0.46,0.33,0.17,0.21,0.12,0.19,0.24,0.22,0.57,0.41,0.11,0.34,0.48
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.66,1.04,1.3,0.31,1.7,-0.12,-0.28,-0.02,0.57,0.55,0.48,0.48,0.3,0.48,0.94,0.42,0.18,0.49,-0.11,0.5,0.73,0.11,0.2,0.53,0.43,0.47,0.56,0.97,0.48,0.83,1.4,0.82,0.51,0,-0.12,-0.17,0.05,0.07,0.46,0.42,0.45,0.81,0.76
