"","1 Y 2016-08-30 to 2017-09-04","1 Y 2016-09-30 to 2017-10-05","1 Y 2016-10-31 to 2017-11-04","1 Y 2016-11-30 to 2017-12-05","1 Y 2016-12-30 to 2018-01-04","1 Y 2017-01-30 to 2018-02-04","1 Y 2017-03-02 to 2018-03-07","1 Y 2017-03-30 to 2018-04-04","1 Y 2017-05-01 to 2018-05-05","1 Y 2017-05-30 to 2018-06-04","1 Y 2017-06-30 to 2018-07-05","1 Y 2017-07-31 to 2018-08-04","1 Y 2017-08-30 to 2018-09-04","1 Y 2017-10-02 to 2018-10-05","1 Y 2017-10-30 to 2018-11-04","1 Y 2017-11-30 to 2018-12-05","1 Y 2018-01-02 to 2019-01-04","1 Y 2018-01-30 to 2019-02-04","1 Y 2018-03-02 to 2019-03-07","1 Y 2018-04-02 to 2019-04-04","1 Y 2018-04-30 to 2019-05-05","1 Y 2018-05-30 to 2019-06-04","1 Y 2018-07-03 to 2019-07-05","1 Y 2018-07-30 to 2019-08-04","1 Y 2018-08-30 to 2019-09-04","1 Y 2018-10-01 to 2019-10-05","1 Y 2018-10-30 to 2019-11-04","1 Y 2018-11-30 to 2019-12-05","1 Y 2018-12-31 to 2020-01-04","1 Y 2019-01-30 to 2020-02-04","1 Y 2019-03-04 to 2020-03-07","1 Y 2019-04-01 to 2020-04-04","1 Y 2019-04-30 to 2020-05-05","1 Y 2019-05-30 to 2020-06-04","1 Y 2019-07-02 to 2020-07-05","1 Y 2019-07-30 to 2020-08-04","1 Y 2019-08-30 to 2020-09-04","1 Y 2019-09-30 to 2020-10-05","1 Y 2019-10-30 to 2020-11-04","1 Y 2019-12-02 to 2020-12-05","1 Y 2019-12-30 to 2021-01-04","1 Y 2020-01-30 to 2021-02-04","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-04","1 Y 2020-04-30 to 2021-05-05","1 Y 2020-06-01 to 2021-06-04","1 Y 2020-06-30 to 2021-07-05","1 Y 2020-07-30 to 2021-08-04","1 Y 2020-08-31 to 2021-09-04","1 Y 2020-09-30 to 2021-10-05","1 Y 2020-10-30 to 2021-11-04","1 Y 2020-11-30 to 2021-12-05","1 Y 2020-12-30 to 2022-01-04","1 Y 2021-02-01 to 2022-02-04","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-03-30 to 2022-04-04","1 Y 2021-04-30 to 2022-05-05","1 Y 2021-05-31 to 2022-06-04","1 Y 2021-06-30 to 2022-07-05","1 Y 2021-07-30 to 2022-08-04","1 Y 2021-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",17.481,16.515,11.528,10.594,18.378,9.94,12.815,9.574,17.863,25.915,31.545,23.082,35.605,20.947,11.925,6.843,-7.18,6.47,13.008,15.804,20.598,12.552,16.436,21.232,32.549,22.217,21.489,25.387,30.144,17.782,11.549,-14.002,-0.954,0.48,-7.357,-4.184,10.613,5.308,10.867,20.431,17.959,16.806,25.056,81.16,47.518,47.159,40.236,26.471,32.096,37.455,43.295,30.173,31.557,26.582,31.676,20.669,15.852,5.484,4.598,-6.313,-7.529
"B Annualized Returns",4.837,9.267,10.333,6.784,6.896,3.305,-0.576,-2.299,0.623,4.862,8.363,8.504,9.509,2.561,-4.796,-4.408,-12.237,-1.605,4.475,8.311,6.856,1.131,2.935,0.222,1.989,2.667,10.195,11.342,18.428,11.189,2.8,-17.583,-9.945,-2.763,-5.199,-0.145,0.595,-0.6,-4.948,2.624,2.414,1.49,7.844,36.256,28.093,26.722,28.898,24.729,24.224,22.484,34.803,21.595,24.073,20.919,18.085,18.397,12.025,6.391,-4.935,-3.383,-6.522
"AR DIFF(P-B)",12.644,7.248,1.195,3.81,11.482,6.635,13.391,11.873,17.24,21.053,23.182,14.578,26.096,18.386,16.721,11.251,5.057,8.075,8.533,7.493,13.742,11.421,13.501,21.01,30.56,19.55,11.294,14.045,11.716,6.593,8.749,3.581,8.991,3.243,-2.158,-4.039,10.018,5.908,15.815,17.807,15.545,15.316,17.212,44.904,19.425,20.437,11.338,1.742,7.872,14.971,8.492,8.578,7.484,5.663,13.591,2.272,3.827,-0.907,9.533,-2.93,-1.007
"P Volatility",9.81,9.07,7.55,6.38,9.72,9.09,8.86,9.39,9.29,9.75,10.65,12.62,11.16,12.98,14.1,12.23,12.43,11.78,15.99,16.49,17.09,16.8,16.6,16.05,13.37,14.43,14.7,13.88,9.24,7.48,9.46,22.09,32.45,33.86,34.77,39.03,41.32,33.2,39.94,35.03,34.04,36.58,23.92,27.87,16.65,16.46,16.45,18.09,16.25,14.84,11.13,12.96,13.11,13.07,9.51,11.4,11.36,12.02,16.03,18.64,18.4
"B Volatility",4.17,4.99,5.31,4.94,4.94,5.42,6.49,6.75,7.31,7.31,7.64,7.76,7.76,7.06,10.28,10.57,12.45,12.45,15.74,15.58,15.59,15.97,15.85,15.83,15.77,13.41,13.41,10.7,6.92,6.93,8.86,20.42,22.97,23.32,23.32,23.32,24.01,24.12,23.95,26.16,26.16,25.51,14.1,14.1,12.19,12.09,12.18,11.63,10.62,9.98,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,12.97,13,12.83
"V DIFF(P-B)",5.64,4.08,2.24,1.44,4.78,3.67,2.37,2.64,1.98,2.44,3.01,4.86,3.4,5.92,3.82,1.66,-0.0199999999999996,-0.67,0.25,0.909999999999998,1.5,0.83,0.750000000000002,0.220000000000001,-2.4,1.02,1.29,3.18,2.32,0.550000000000001,0.600000000000001,1.67,9.48,10.54,11.45,15.71,17.31,9.08,15.99,8.87,7.88,11.07,9.82,13.77,4.46,4.37,4.27,6.46,5.63,4.86,3.91,4.59,4.74,4.39,0.82,2.71,1.44,1.99,3.06,5.64,5.57
"P Tracking Error",9.75,9.13,6.92,7.34,8.93,8.37,7.66,8.28,8.57,9.06,8.68,12.4,10.35,12.83,11.55,10.27,9.29,8.97,8.45,7.84,8.23,8.32,4.29,4.71,9.1,12.9,9.75,10.99,6.67,6.88,5.33,5.07,13.68,13.63,13.68,18.11,22.78,13.71,20.98,17.12,15.46,17.36,14.83,16.5,6.98,7.48,6.98,9.3,9.42,8.8,8.8,8.88,9.53,10.26,6.41,8.79,5.37,4.83,7.39,8.85,8.89
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
