"","2 Y 2016-03-01 to 2018-03-06","2 Y 2016-04-01 to 2018-04-06","2 Y 2016-05-02 to 2018-05-06","2 Y 2016-06-01 to 2018-06-06","2 Y 2016-07-04 to 2018-07-06","2 Y 2016-08-02 to 2018-08-06","2 Y 2016-09-01 to 2018-09-06","2 Y 2016-10-03 to 2018-10-06","2 Y 2016-11-01 to 2018-11-06","2 Y 2016-12-01 to 2018-12-06","2 Y 2017-01-03 to 2019-01-06","2 Y 2017-02-01 to 2019-02-06","2 Y 2017-03-01 to 2019-03-06","2 Y 2017-04-03 to 2019-04-06","2 Y 2017-05-01 to 2019-05-06","2 Y 2017-06-01 to 2019-06-06","2 Y 2017-07-04 to 2019-07-06","2 Y 2017-08-01 to 2019-08-06","2 Y 2017-09-01 to 2019-09-06","2 Y 2017-10-02 to 2019-10-06","2 Y 2017-11-01 to 2019-11-06","2 Y 2017-12-01 to 2019-12-06","2 Y 2018-01-02 to 2020-01-06","2 Y 2018-02-01 to 2020-02-06","2 Y 2018-03-01 to 2020-03-06","2 Y 2018-04-02 to 2020-04-06","2 Y 2018-05-01 to 2020-05-06","2 Y 2018-06-01 to 2020-06-06","2 Y 2018-07-03 to 2020-07-06","2 Y 2018-08-01 to 2020-08-06","2 Y 2018-09-04 to 2020-09-06","2 Y 2018-10-01 to 2020-10-06","2 Y 2018-11-01 to 2020-11-06","2 Y 2018-12-03 to 2020-12-06","2 Y 2019-01-02 to 2021-01-06","2 Y 2019-02-01 to 2021-02-06","2 Y 2019-03-01 to 2021-03-06","2 Y 2019-04-01 to 2021-04-06","2 Y 2019-05-01 to 2021-05-06","2 Y 2019-06-03 to 2021-06-06","2 Y 2019-07-02 to 2021-07-06","2 Y 2019-08-01 to 2021-08-06","2 Y 2019-09-03 to 2021-09-06","2 Y 2019-10-01 to 2021-10-06","2 Y 2019-11-01 to 2021-11-06","2 Y 2019-12-02 to 2021-12-06","2 Y 2020-01-02 to 2022-01-06","2 Y 2020-02-03 to 2022-02-06","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-04-01 to 2022-04-06","2 Y 2020-05-01 to 2022-05-06","2 Y 2020-06-01 to 2022-06-06","2 Y 2020-07-02 to 2022-07-06","2 Y 2020-08-04 to 2022-08-06","2 Y 2020-09-01 to 2022-09-06"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",33.877,32.494,33.021,37.135,38.661,23.475,32.92,31.129,20.775,12.943,10.674,18.568,17.471,20.316,20.034,19.884,22.844,18.179,19.262,15.532,13.885,13.78,10.02,15.465,10.926,0.519,11.513,15.462,13.938,22.572,28.651,28.365,24.264,19.671,21.242,16.863,13.329,15.42,17.246,21.937,19.409,21.443,22.369,20.608,22.4,15.793,15.106,13.992,16.897,49.246,32.063,26.15,20.778,17.824,21.42
"B Annualized Returns",9.399,7.945,7.269,6.934,7.909,7.801,5.631,5.861,2.82,1.582,-3.142,1.458,1.845,2.701,3.49,3.429,5.614,4.499,5.84,2.701,2.506,3.102,2.707,7.739,3.634,-5.519,-2.048,-0.813,-1.131,1.006,1.396,1.683,3.185,6.894,9.901,6.764,6.101,7.972,7.794,11.005,10.616,12.824,12.761,11.121,13.469,11.653,12.019,10.779,14.648,26.498,18.203,16.804,10.369,9.869,7.673
"AR DIFF(P-B)",24.478,24.549,25.752,30.201,30.752,15.674,27.289,25.268,17.955,11.361,13.816,17.11,15.626,17.615,16.544,16.455,17.23,13.68,13.422,12.831,11.379,10.678,7.313,7.726,7.292,6.038,13.561,16.275,15.069,21.566,27.255,26.682,21.079,12.777,11.341,10.099,7.228,7.448,9.452,10.932,8.793,8.619,9.608,9.487,8.931,4.14,3.087,3.213,2.249,22.748,13.86,9.346,10.409,7.955,13.747
"P Volatility",17.26,14.25,12.58,16.8,14.58,16.03,17.47,15.65,13.68,10.47,13.08,18.19,17.33,18.4,18.78,22.11,21.21,19.22,20.66,17.52,17.06,15.48,14.04,13.02,13.64,19.57,23.76,23.69,22.87,23.45,24.29,24.96,24.19,25.06,24.4,27.63,25,26.25,23.98,28.82,29.22,27.24,27.37,25.25,26.02,26.97,23.65,26.71,18.81,14.35,13.41,13.69,21.46,17.61,19.52
"B Volatility",5.82,5.88,6.09,6.31,5.89,6,6.06,6.16,8.04,8.02,9.4,11.52,11.64,11.65,11.8,11.99,11.98,11.98,11.82,11.72,11.76,12.03,11.96,11.75,12.2,17.88,18.91,19.09,19.02,19.42,19.41,18.73,18.88,19.24,18.28,18.22,18.35,18.34,18.19,18.25,18.28,18.26,18.25,18.34,18.58,18.67,18.72,18.31,11.45,10.33,10.88,11.12,12.42,12.42,12.26
"V DIFF(P-B)",11.44,8.37,6.49,10.49,8.69,10.03,11.41,9.49,5.64,2.45,3.68,6.67,5.69,6.75,6.98,10.12,9.23,7.24,8.84,5.8,5.3,3.45,2.08,1.27,1.44,1.69,4.85,4.6,3.85,4.03,4.88,6.23,5.31,5.82,6.12,9.41,6.65,7.91,5.79,10.57,10.94,8.98,9.12,6.91,7.44,8.3,4.93,8.4,7.36,4.02,2.53,2.57,9.04,5.19,7.26
"P Tracking Error",15.76,13.81,12.59,15.57,14.13,15.4,17.73,16.06,12.62,8.38,10.08,11.76,10.66,12.29,12.4,14.64,13.51,12.06,13.27,11.82,11.55,9.84,8.18,8.49,8.69,7.58,11.48,12.9,9.27,11.44,15.09,15.94,13.11,12.48,10.56,12.39,9.58,10.09,11.05,16.15,16.15,14.23,14.73,10.74,13.03,13.8,12.11,14.09,11.69,8.49,7.77,7.74,12.81,9.36,11.49
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
