"","3 Y 2016-03-01 to 2019-03-06","3 Y 2016-04-01 to 2019-04-06","3 Y 2016-05-02 to 2019-05-06","3 Y 2016-06-01 to 2019-06-06","3 Y 2016-07-04 to 2019-07-06","3 Y 2016-08-02 to 2019-08-06","3 Y 2016-09-01 to 2019-09-06","3 Y 2016-10-03 to 2019-10-06","3 Y 2016-11-01 to 2019-11-06","3 Y 2016-12-01 to 2019-12-06","3 Y 2017-01-03 to 2020-01-06","3 Y 2017-02-01 to 2020-02-06","3 Y 2017-03-01 to 2020-03-06","3 Y 2017-04-03 to 2020-04-06","3 Y 2017-05-01 to 2020-05-06","3 Y 2017-06-01 to 2020-06-06","3 Y 2017-07-04 to 2020-07-06","3 Y 2017-08-01 to 2020-08-06","3 Y 2017-09-01 to 2020-09-06","3 Y 2017-10-02 to 2020-10-06","3 Y 2017-11-01 to 2020-11-06","3 Y 2017-12-01 to 2020-12-06","3 Y 2018-01-02 to 2021-01-06","3 Y 2018-02-01 to 2021-02-06","3 Y 2018-03-01 to 2021-03-06","3 Y 2018-04-02 to 2021-04-06","3 Y 2018-05-01 to 2021-05-06","3 Y 2018-06-01 to 2021-06-06","3 Y 2018-07-03 to 2021-07-06","3 Y 2018-08-01 to 2021-08-06","3 Y 2018-09-04 to 2021-09-06","3 Y 2018-10-01 to 2021-10-06","3 Y 2018-11-01 to 2021-11-06","3 Y 2018-12-03 to 2021-12-06","3 Y 2019-01-02 to 2022-01-06","3 Y 2019-02-01 to 2022-02-06","3 Y 2019-03-01 to 2022-03-06","3 Y 2019-04-01 to 2022-04-06","3 Y 2019-05-01 to 2022-05-06","3 Y 2019-06-03 to 2022-06-06","3 Y 2019-07-02 to 2022-07-06","3 Y 2019-08-01 to 2022-08-06","3 Y 2019-09-03 to 2022-09-06"
"P Alpha Stat",1.6,1.69,2.08,1.32,1.83,0.87,1.12,0.8,0.93,0.87,0.98,0.94,0.83,1.01,1.31,1.27,1.32,1.23,1.1,1.4,1.56,1.1,1.12,1.03,0.85,0.72,0.69,0.92,1,1.02,1.29,0.96,0.9,0.55,0.35,0.05,0.01,0.09,0.18,0.18,0.04,0.24,0.35
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.66,1.68,1.68,1.84,1.81,1.84,1.7,1.55,1.15,1.1,1.12,1.13,1.15,1.07,1.28,1.44,1.45,1.34,1.36,1.28,1.31,1.11,1.14,0.98,0.98,1.12,1.06,0.96,1.05,1,0.88,0.94,1,1.15,1.21,1.39,1.28,1.36,1.21,1.35,1.41,1.36,1.38
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",39.35,35.77,36.88,38.85,39.48,40.24,43.54,40.9,41.38,55.83,49.39,50.51,57.18,63.62,61.69,68.57,72.54,69.36,71.89,69.1,69.12,72.98,76.23,69.6,70.81,81.92,75.65,66.41,82.83,73.52,51.36,50.05,65.47,73.69,81.03,84,85.97,88.5,79.38,73.11,77.71,79.54,77.58
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-26.1617,-27.4866,-26.5632,-28.2617,-27.8024,-27.6185,-25.4254,-24.1271,-18.2705,-15.9261,-16.7837,-15.6134,-15.9939,-32.6915,-31.7663,-35.9756,-36.4497,-34.973,-34.9064,-31.6646,-32.4324,-32.0937,-33.4885,-29.8733,-30.6814,-33.8572,-33.1581,-29.8179,-32.2395,-30.3606,-28.0087,-26.5454,-29.2119,-32.6012,-34.1795,-38.1307,-35.3057,-36.2303,-33.3686,-36.6805,-37.9882,-37.1092,-37.5175
"B Max Drawdown",-13.4447,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265
"MD DIFF(P-B)",-12.717,-14.042,-13.1186,-14.8171,-14.3578,-14.1739,-11.9808,-10.6825,-4.8259,-2.4815,-3.3391,-2.1688,-2.5493,3.035,3.9602,-0.249099999999999,-0.723199999999999,0.753500000000003,0.820100000000004,4.0619,3.2941,3.6328,2.238,5.8532,5.0451,1.8693,2.5684,5.9086,3.487,5.3659,7.7178,9.1811,6.5146,3.1253,1.547,-2.4042,0.4208,-0.503799999999998,2.3579,-0.954000000000001,-2.2617,-1.3827,-1.791
