"","1 Y 2016-08-30 to 2017-09-04","1 Y 2016-09-30 to 2017-10-05","1 Y 2016-10-31 to 2017-11-04","1 Y 2016-11-30 to 2017-12-05","1 Y 2016-12-30 to 2018-01-04","1 Y 2017-01-30 to 2018-02-04","1 Y 2017-03-02 to 2018-03-07","1 Y 2017-03-30 to 2018-04-04","1 Y 2017-05-01 to 2018-05-05","1 Y 2017-05-30 to 2018-06-04","1 Y 2017-06-30 to 2018-07-05","1 Y 2017-07-31 to 2018-08-04","1 Y 2017-08-30 to 2018-09-04","1 Y 2017-10-02 to 2018-10-05","1 Y 2017-10-30 to 2018-11-04","1 Y 2017-11-30 to 2018-12-05","1 Y 2018-01-02 to 2019-01-04","1 Y 2018-01-30 to 2019-02-04","1 Y 2018-03-02 to 2019-03-07","1 Y 2018-04-02 to 2019-04-04","1 Y 2018-04-30 to 2019-05-05","1 Y 2018-05-30 to 2019-06-04","1 Y 2018-07-03 to 2019-07-05","1 Y 2018-07-30 to 2019-08-04","1 Y 2018-08-30 to 2019-09-04","1 Y 2018-10-01 to 2019-10-05","1 Y 2018-10-30 to 2019-11-04","1 Y 2018-11-30 to 2019-12-05","1 Y 2018-12-31 to 2020-01-04","1 Y 2019-01-30 to 2020-02-04","1 Y 2019-03-04 to 2020-03-07","1 Y 2019-04-01 to 2020-04-04","1 Y 2019-04-30 to 2020-05-05","1 Y 2019-05-30 to 2020-06-04","1 Y 2019-07-02 to 2020-07-05","1 Y 2019-07-30 to 2020-08-04","1 Y 2019-08-30 to 2020-09-04","1 Y 2019-09-30 to 2020-10-05","1 Y 2019-10-30 to 2020-11-04","1 Y 2019-12-02 to 2020-12-05","1 Y 2019-12-30 to 2021-01-04","1 Y 2020-01-30 to 2021-02-04","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-04","1 Y 2020-04-30 to 2021-05-05","1 Y 2020-06-01 to 2021-06-04","1 Y 2020-06-30 to 2021-07-05","1 Y 2020-07-30 to 2021-08-04","1 Y 2020-08-31 to 2021-09-04","1 Y 2020-09-30 to 2021-10-05","1 Y 2020-10-30 to 2021-11-04","1 Y 2020-11-30 to 2021-12-05","1 Y 2020-12-30 to 2022-01-04","1 Y 2021-02-01 to 2022-02-04","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-03-30 to 2022-04-04","1 Y 2021-04-30 to 2022-05-05","1 Y 2021-05-31 to 2022-06-04","1 Y 2021-06-30 to 2022-07-05","1 Y 2021-07-30 to 2022-08-04","1 Y 2021-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",5.396,14.43,17.716,13.897,13.694,8.375,4.009,0.821,2.724,3.679,7.398,8.975,4.483,2.014,-3.312,0.027,-5.162,4.664,9.505,14.18,7.831,4.479,4.95,1.401,3.912,8.666,12.623,8.866,19.668,15.151,3.404,-15.735,0.062,0.296,0.399,7.283,-8.626,0.392,-7.828,-1.955,-3.374,-3.668,8.159,43.928,33.666,30.102,35.161,30.204,33.261,31.626,38.928,15.857,20.433,21.997,17.654,18.076,7.355,9.174,-6.95,4.374,1.278
"B Annualized Returns",4.837,9.267,10.333,6.784,6.896,3.305,-0.576,-2.299,0.623,4.862,8.363,8.504,9.509,2.561,-4.796,-4.408,-12.237,-1.605,4.475,8.311,6.856,1.131,2.935,0.222,1.989,2.667,10.195,11.342,18.428,11.189,2.8,-17.583,-9.945,-2.763,-5.199,-0.145,0.595,-0.6,-4.948,2.624,2.414,1.49,7.844,36.256,28.093,26.722,28.898,24.729,24.224,22.484,34.803,21.595,24.073,20.919,18.085,18.397,12.025,6.391,-4.935,-3.383,-6.522
"AR DIFF(P-B)",0.559,5.163,7.383,7.113,6.798,5.07,4.585,3.12,2.101,-1.183,-0.965,0.471,-5.026,-0.547,1.484,4.435,7.075,6.269,5.03,5.869,0.975000000000001,3.348,2.015,1.179,1.923,5.999,2.428,-2.476,1.24,3.962,0.604,1.848,10.007,3.059,5.598,7.428,-9.221,0.992,-2.88,-4.579,-5.788,-5.158,0.315,7.672,5.573,3.38,6.263,5.475,9.037,9.142,4.125,-5.738,-3.64,1.078,-0.431000000000001,-0.320999999999998,-4.67,2.783,-2.015,7.757,7.8
"P Volatility",5.16,5.54,5.04,6.39,5.94,6.17,6.6,6.28,6.75,6.87,6.71,6.32,6.74,5.83,6.93,7.96,9.11,9.45,12.37,11.85,11.21,11.09,11.04,10.65,11.95,10.79,10.15,7.88,4.8,4.78,8.44,20.35,24.84,24.76,24.21,22.09,22.93,26.94,23.48,29.16,28.63,26.05,15.1,14.96,13.38,13.77,14.64,13.88,13.76,14.95,10.67,9.68,9.65,10.63,9.29,9.14,9.94,9.37,12.92,13.1,12.83
"B Volatility",4.17,4.99,5.31,4.94,4.94,5.42,6.49,6.75,7.31,7.31,7.64,7.76,7.76,7.06,10.28,10.57,12.45,12.45,15.74,15.58,15.59,15.97,15.85,15.83,15.77,13.41,13.41,10.7,6.92,6.93,8.86,20.42,22.97,23.32,23.32,23.32,24.01,24.12,23.95,26.16,26.16,25.51,14.1,14.1,12.19,12.09,12.18,11.63,10.62,9.98,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,12.97,13,12.83
"V DIFF(P-B)",0.99,0.55,-0.27,1.45,1,0.75,0.109999999999999,-0.47,-0.56,-0.44,-0.93,-1.44,-1.02,-1.23,-3.35,-2.61,-3.34,-3,-3.37,-3.73,-4.38,-4.88,-4.81,-5.18,-3.82,-2.62,-3.26,-2.82,-2.12,-2.15,-0.42,-0.0700000000000003,1.87,1.44,0.890000000000001,-1.23,-1.08,2.82,-0.469999999999999,3,2.47,0.539999999999999,1,0.860000000000001,1.19,1.68,2.46,2.25,3.14,4.97,3.45,1.31,1.28,1.95,0.6,0.450000000000001,0.0199999999999996,-0.66,-0.0500000000000007,0.0999999999999996,0
"P Tracking Error",5.58,5.44,5.08,5.38,5.93,3.87,3.68,3.27,3.22,3.32,4.28,3.02,4.09,3.11,4.16,5.16,5.34,5.07,4.98,4.79,6.09,6.65,6.73,5.91,5.14,4.1,4.45,3.31,6.14,5.28,5.98,5.92,7.3,8.15,8.54,7.68,4.08,5.56,4.05,4.85,4.42,3.71,3.89,3.94,6.74,6.87,6.39,6.64,7.28,7.75,8.81,6.86,6.77,7.92,7.08,6.7,6.36,5.13,4.51,6.95,6.43
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
