"","3 Y 2018-05-29 to 2021-06-03","3 Y 2018-06-29 to 2021-07-04","3 Y 2018-07-30 to 2021-08-03","3 Y 2018-08-29 to 2021-09-03","3 Y 2018-10-01 to 2021-10-04","3 Y 2018-10-29 to 2021-11-03","3 Y 2018-11-29 to 2021-12-04","3 Y 2018-12-31 to 2022-01-03","3 Y 2019-01-29 to 2022-02-03","3 Y 2019-03-01 to 2022-03-06","3 Y 2019-03-29 to 2022-04-03","3 Y 2019-04-29 to 2022-05-04","3 Y 2019-05-29 to 2022-06-03","3 Y 2019-07-02 to 2022-07-04","3 Y 2019-07-29 to 2022-08-03","3 Y 2019-08-29 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",9.62,6.025,8.092,10.108,10.89,12.816,10.17,13.399,10.139,13.119,14.431,15.473,16.624,9.996,13.763,20.051
"B Annualized Returns",7.991,7.956,7.766,9.056,8.013,12.185,11.076,14.582,11.715,10.418,10.978,8.696,9.825,5.6,6.409,5.739
"AR DIFF(P-B)",1.629,-1.931,0.326000000000001,1.052,2.877,0.631,-0.906000000000001,-1.183,-1.576,2.701,3.453,6.777,6.799,4.396,7.354,14.312
"P Volatility",20.08,22.21,21.95,18.94,17.88,20.46,20.37,19.57,20.02,18.57,21.82,25,27.05,24.02,26.79,30.65
"B Volatility",17.09,17.33,17.11,17.05,16.63,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,15.95,16.47,16.47
"V DIFF(P-B)",2.99,4.88,4.84,1.89,1.25,3.72,4.19,3.85,4.46,2.99,6.07,9.36,11.33,8.07,10.32,14.18
"P Tracking Error",8.8,9.83,9.98,9.27,8.46,9.5,9.89,9.13,9.87,11.35,14.83,19.09,18.05,16.71,18,19.19
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.19,-0.2,0.03,0.11,0.34,0.07,-0.09,-0.13,-0.16,0.24,0.23,0.36,0.38,0.26,0.41,0.75
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.12,0.01,0.03,0.05,0.08,-0.09,-0.13,-0.14,-0.07,0.19,0.31,0.56,0.36,0.56,0.63,0.93
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.06,1.16,1.15,0.97,0.95,1.09,1.11,1.11,1.13,0.94,1.02,1.03,1.32,1.08,1.23,1.55
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",80.47,81.42,80.13,75.41,77.17,78.32,76.46,78.29,75.96,61.73,52.39,39.95,57.76,50.41,55.52,68.7
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-39.5945,-42.9431,-40.3225,-36.6401,-34.1255,-38.9947,-40.4934,-39.7243,-38.2353,-34.5981,-34.5506,-34.1262,-41.6682,-36.7241,-38.6211,-45.2837
"B Max Drawdown",-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265
"MD DIFF(P-B)",-3.86799999999999,-7.2166,-4.596,-0.913599999999995,1.601,-3.2682,-4.7669,-3.9978,-2.5088,1.1284,1.1759,1.6003,-5.9417,-0.997599999999998,-2.8946,-9.5572
