"","3 Y 2015-11-30 to 2018-12-05","3 Y 2015-12-30 to 2019-01-04","3 Y 2016-02-01 to 2019-02-04","3 Y 2016-03-01 to 2019-03-06","3 Y 2016-03-30 to 2019-04-04","3 Y 2016-05-02 to 2019-05-05","3 Y 2016-05-30 to 2019-06-04","3 Y 2016-06-30 to 2019-07-05","3 Y 2016-08-02 to 2019-08-04","3 Y 2016-08-30 to 2019-09-04","3 Y 2016-09-30 to 2019-10-05","3 Y 2016-10-31 to 2019-11-04","3 Y 2016-11-30 to 2019-12-05","3 Y 2016-12-30 to 2020-01-04","3 Y 2017-01-30 to 2020-02-04","3 Y 2017-03-02 to 2020-03-07","3 Y 2017-03-30 to 2020-04-04","3 Y 2017-05-01 to 2020-05-05","3 Y 2017-05-30 to 2020-06-04","3 Y 2017-06-30 to 2020-07-05","3 Y 2017-07-31 to 2020-08-04","3 Y 2017-08-30 to 2020-09-04","3 Y 2017-10-02 to 2020-10-05","3 Y 2017-10-30 to 2020-11-04","3 Y 2017-11-30 to 2020-12-05","3 Y 2018-01-02 to 2021-01-04","3 Y 2018-01-30 to 2021-02-04","3 Y 2018-03-02 to 2021-03-07","3 Y 2018-04-02 to 2021-04-04","3 Y 2018-04-30 to 2021-05-05","3 Y 2018-05-30 to 2021-06-04","3 Y 2018-07-03 to 2021-07-05","3 Y 2018-07-30 to 2021-08-04","3 Y 2018-08-30 to 2021-09-04","3 Y 2018-10-01 to 2021-10-05","3 Y 2018-10-30 to 2021-11-04","3 Y 2018-11-30 to 2021-12-05","3 Y 2018-12-31 to 2022-01-04","3 Y 2019-01-30 to 2022-02-04","3 Y 2019-03-04 to 2022-03-07","3 Y 2019-04-01 to 2022-04-04","3 Y 2019-04-30 to 2022-05-05","3 Y 2019-05-30 to 2022-06-04","3 Y 2019-07-02 to 2022-07-05","3 Y 2019-07-30 to 2022-08-04","3 Y 2019-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",17.702,24.68,37.829,23.139,22.544,7.866,7.429,12.484,6.994,5.182,4.502,6.005,8.66,11.589,11.872,10.18,3.97,8.153,0.58,-0.968,8.667,4.652,8.118,5.653,9.043,6.401,5.867,10.597,7.347,10.927,16.421,10.141,12.229,18.036,14.453,15.526,15.212,14.605,13.745,7.865,10.464,8.066,16.219,8,12.87,14.57
"B Annualized Returns",4.921,3.935,7.619,7.667,7.542,6.765,5.122,6.192,5.153,4.589,4.534,4.337,4.356,3.913,4.47,2.211,-4.458,-0.594,1.184,1.868,3.158,3.745,1.557,0.072,2.986,2.577,5.375,5.489,7.515,7.424,7.941,7.956,7.771,9.056,8.167,12.186,11.076,14.582,11.231,10.418,10.978,8.941,9.825,5.188,7.125,5.739
"AR DIFF(P-B)",12.781,20.745,30.21,15.472,15.002,1.101,2.307,6.292,1.841,0.593,-0.032,1.668,4.304,7.676,7.402,7.969,8.428,8.747,-0.604,-2.836,5.509,0.907,6.561,5.581,6.057,3.824,0.492,5.108,-0.167999999999999,3.503,8.48,2.185,4.458,8.98,6.286,3.34,4.136,0.0229999999999997,2.514,-2.553,-0.513999999999999,-0.875,6.394,2.812,5.745,8.831
"P Volatility",23.96,24.39,23.5,18.2,16.68,12.06,11.52,12.42,9.64,10.39,9.56,9.91,11.7,13.02,12.95,13.18,15.74,25.97,39.12,35.91,31.32,34.74,16.7,15.55,16.86,11.56,12.2,18.74,19.02,14.25,16.56,17.64,18.77,26.44,26.85,30.25,29.29,33.46,29.43,24.26,30.4,20.04,27.89,23.21,31.43,32.33
"B Volatility",8.13,8.77,8.86,9.85,9.77,9.89,10.08,9.9,9.9,9.9,9.93,9.93,10.05,10.07,10.15,10.54,14.95,15.84,15.95,15.94,15.94,16.15,16.15,16.28,17.18,17.4,17.02,17.05,17.26,17.05,17.09,17.33,17.09,17.05,16.5,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,16.46,16.47,16.47
"V DIFF(P-B)",15.83,15.62,14.64,8.35,6.91,2.17,1.44,2.52,-0.26,0.49,-0.369999999999999,-0.0199999999999996,1.65,2.95,2.8,2.64,0.790000000000001,10.13,23.17,19.97,15.38,18.59,0.550000000000001,-0.73,-0.32,-5.84,-4.82,1.69,1.76,-2.8,-0.530000000000001,0.310000000000002,1.68,9.39,10.35,13.51,13.11,17.74,13.87,8.68,14.65,4.4,12.17,6.75,14.96,15.86
"P Tracking Error",22.89,23.15,21.38,13.21,12.83,6.83,6.71,7.78,6.44,6.34,6.89,9.19,14.06,15.59,15.12,13.88,13.81,19.35,28.61,25.32,22.55,24.35,12.15,12.62,17.81,13.39,11.85,20.37,10.03,12.36,14.58,8.81,14.12,25.61,25.15,22.32,20.28,21.55,17.61,12.84,19.01,9.97,18.21,12.53,19.92,20.96
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.56,0.9,1.41,1.17,1.17,0.16,0.34,0.81,0.29,0.09,0,0.18,0.31,0.49,0.49,0.57,0.61,0.45,-0.02,-0.11,0.24,0.04,0.54,0.44,0.34,0.29,0.04,0.25,-0.02,0.28,0.58,0.25,0.32,0.35,0.25,0.15,0.2,0,0.14,-0.2,-0.03,-0.09,0.35,0.22,0.29,0.42
