"","2 Y 2016-11-29 to 2018-12-04","2 Y 2016-12-29 to 2019-01-03","2 Y 2017-01-30 to 2019-02-03","2 Y 2017-03-01 to 2019-03-06","2 Y 2017-03-29 to 2019-04-03","2 Y 2017-05-01 to 2019-05-04","2 Y 2017-05-29 to 2019-06-03","2 Y 2017-06-29 to 2019-07-04","2 Y 2017-07-31 to 2019-08-03","2 Y 2017-08-29 to 2019-09-03","2 Y 2017-09-29 to 2019-10-04","2 Y 2017-10-30 to 2019-11-03","2 Y 2017-11-29 to 2019-12-04","2 Y 2017-12-29 to 2020-01-03","2 Y 2018-01-29 to 2020-02-03","2 Y 2018-03-01 to 2020-03-06","2 Y 2018-03-29 to 2020-04-03","2 Y 2018-04-30 to 2020-05-04","2 Y 2018-05-29 to 2020-06-03","2 Y 2018-06-29 to 2020-07-04","2 Y 2018-07-30 to 2020-08-03","2 Y 2018-08-29 to 2020-09-03","2 Y 2018-10-01 to 2020-10-04","2 Y 2018-10-29 to 2020-11-03","2 Y 2018-11-29 to 2020-12-04","2 Y 2018-12-31 to 2021-01-03","2 Y 2019-01-29 to 2021-02-03","2 Y 2019-03-01 to 2021-03-06","2 Y 2019-03-29 to 2021-04-03","2 Y 2019-04-29 to 2021-05-04","2 Y 2019-05-29 to 2021-06-03","2 Y 2019-07-02 to 2021-07-04","2 Y 2019-07-29 to 2021-08-03","2 Y 2019-08-29 to 2021-09-03","2 Y 2019-09-30 to 2021-10-04","2 Y 2019-10-29 to 2021-11-03","2 Y 2019-11-29 to 2021-12-04","2 Y 2019-12-30 to 2022-01-03","2 Y 2020-01-29 to 2022-02-03","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-03","2 Y 2020-04-29 to 2022-05-04","2 Y 2020-05-29 to 2022-06-03","2 Y 2020-06-29 to 2022-07-04","2 Y 2020-07-29 to 2022-08-03","2 Y 2020-08-31 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",23.139,20.868,20.313,27.723,25.91,32.763,30.998,37.047,30.956,24.446,19.187,16.526,18.759,14.672,14.716,7.344,-1.82,12.929,12.676,21.889,24.879,22.609,21.269,24.249,30.993,37.123,30.161,26.224,26.781,22.624,21.233,20.805,27.463,22.676,22.027,22.847,23.408,18.771,6.277,6.349,17.323,0.586,1.524,-2.751,-5.376,-5.055
"B Annualized Returns",1.873,-2.671,1.097,1.845,2.808,3.49,3.151,5.602,4.499,5.085,2.701,2.046,3.169,2.707,5.111,3.634,-5.519,-1.692,-0.911,-1.131,-0.055,2.172,1.018,1.773,6.894,10.099,6.617,6.101,7.445,7.657,11.583,10.85,11.372,12.761,10.527,13.001,11.653,12.71,11.978,14.648,27.013,19.128,16.804,11.772,9.582,7.673
"AR DIFF(P-B)",21.266,23.539,19.216,25.878,23.102,29.273,27.847,31.445,26.457,19.361,16.486,14.48,15.59,11.965,9.605,3.71,3.699,14.621,13.587,23.02,24.934,20.437,20.251,22.476,24.099,27.024,23.544,20.123,19.336,14.967,9.65,9.955,16.091,9.915,11.5,9.846,11.755,6.061,-5.701,-8.299,-9.69,-18.542,-15.28,-14.523,-14.958,-12.728
"P Volatility",17.22,18.89,19.25,23.82,25.54,28.14,30.29,30.02,28.72,30.99,30.39,24.86,25.22,22,20.99,21.54,25.25,26.58,32.64,33.02,32.83,30.76,30.37,30.94,30.04,27.42,28.71,27.91,28.65,27.82,24.96,26.17,24.71,26.06,17.77,26.31,20.37,25.07,23.89,26.36,21.14,16.98,17.41,17.59,14.86,15.56
"B Volatility",8.02,9.4,9.4,11.64,11.65,11.8,11.8,11.98,11.98,11.98,11.72,11.72,12.03,11.96,11.96,12.2,17.88,18.1,19.09,19.02,19.02,19.41,18.73,18.88,19.24,18.69,18.22,18.35,18.68,18.19,18.25,18.67,18.28,18.25,18.6,18.58,18.67,18.67,18.31,11.45,11.45,10.88,11.12,11.12,12.42,12.26
"V DIFF(P-B)",9.2,9.49,9.85,12.18,13.89,16.34,18.49,18.04,16.74,19.01,18.67,13.14,13.19,10.04,9.03,9.34,7.37,8.48,13.55,14,13.81,11.35,11.64,12.06,10.8,8.73,10.49,9.56,9.97,9.63,6.71,7.5,6.43,7.81,-0.830000000000002,7.73,1.7,6.4,5.58,14.91,9.69,6.1,6.29,6.47,2.44,3.3
"P Tracking Error",16.48,17.2,17.95,18.92,20.17,22.97,24.98,24.31,22.74,24.39,23.76,18.59,18.28,14.91,13.68,13.15,12.34,12.89,17.68,17.81,17.6,15.56,15.22,15.84,15.18,14.28,15.07,14.03,15.92,14.7,11.71,12.22,12.75,16.8,10.64,12.69,11.64,18.14,15.46,21.16,16.89,13.81,14.22,12.97,13.08,12.9
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
