"","2 Y 2016-03-01 to 2018-03-06","2 Y 2016-04-01 to 2018-04-06","2 Y 2016-05-02 to 2018-05-06","2 Y 2016-06-01 to 2018-06-06","2 Y 2016-07-04 to 2018-07-06","2 Y 2016-08-02 to 2018-08-06","2 Y 2016-09-01 to 2018-09-06","2 Y 2016-10-03 to 2018-10-06","2 Y 2016-11-01 to 2018-11-06","2 Y 2016-12-01 to 2018-12-06","2 Y 2017-01-03 to 2019-01-06","2 Y 2017-02-01 to 2019-02-06","2 Y 2017-03-01 to 2019-03-06","2 Y 2017-04-03 to 2019-04-06","2 Y 2017-05-01 to 2019-05-06","2 Y 2017-06-01 to 2019-06-06","2 Y 2017-07-04 to 2019-07-06","2 Y 2017-08-01 to 2019-08-06","2 Y 2017-09-01 to 2019-09-06","2 Y 2017-10-02 to 2019-10-06","2 Y 2017-11-01 to 2019-11-06","2 Y 2017-12-01 to 2019-12-06","2 Y 2018-01-02 to 2020-01-06","2 Y 2018-02-01 to 2020-02-06","2 Y 2018-03-01 to 2020-03-06","2 Y 2018-04-02 to 2020-04-06","2 Y 2018-05-01 to 2020-05-06","2 Y 2018-06-01 to 2020-06-06","2 Y 2018-07-03 to 2020-07-06","2 Y 2018-08-01 to 2020-08-06","2 Y 2018-09-04 to 2020-09-06","2 Y 2018-10-01 to 2020-10-06","2 Y 2018-11-01 to 2020-11-06","2 Y 2018-12-03 to 2020-12-06","2 Y 2019-01-02 to 2021-01-06","2 Y 2019-02-01 to 2021-02-06","2 Y 2019-03-01 to 2021-03-06","2 Y 2019-04-01 to 2021-04-06","2 Y 2019-05-01 to 2021-05-06","2 Y 2019-06-03 to 2021-06-06","2 Y 2019-07-02 to 2021-07-06","2 Y 2019-08-01 to 2021-08-06","2 Y 2019-09-03 to 2021-09-06","2 Y 2019-10-01 to 2021-10-06","2 Y 2019-11-01 to 2021-11-06","2 Y 2019-12-02 to 2021-12-06","2 Y 2020-01-02 to 2022-01-06","2 Y 2020-02-03 to 2022-02-06","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-04-01 to 2022-04-06","2 Y 2020-05-01 to 2022-05-06","2 Y 2020-06-01 to 2022-06-06","2 Y 2020-07-02 to 2022-07-06","2 Y 2020-08-04 to 2022-08-06","2 Y 2020-09-01 to 2022-09-06"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",43.038,38.224,44.867,56.826,49.327,35.812,56.465,53.224,28.716,18.427,18.098,30.676,28.727,31.805,36.397,36.395,37.359,29.974,21.136,24.817,19.877,20.988,14.374,16.635,5.093,-6.967,6.883,10.062,22.475,25.585,21.095,23.346,27.033,25.21,27.128,26.435,20.356,23.477,19.142,26.056,26.653,23.807,20.849,21.587,25.961,19.268,14.97,6.634,5.532,16.431,1.529,4.268,0.566,-5.432,-0.254
"B Annualized Returns",9.399,7.945,7.269,6.934,7.909,7.801,5.631,5.861,2.82,1.582,-3.142,1.458,1.845,2.701,3.49,3.429,5.614,4.499,5.84,2.701,2.506,3.102,2.707,7.739,3.634,-5.519,-2.048,-0.813,-1.131,1.006,1.396,1.683,3.185,6.894,9.901,6.764,6.101,7.972,7.794,11.005,10.616,12.824,12.761,11.121,13.469,11.653,12.019,10.779,14.648,26.498,18.203,16.804,10.369,9.869,7.673
"AR DIFF(P-B)",33.639,30.279,37.598,49.892,41.418,28.011,50.834,47.363,25.896,16.845,21.24,29.218,26.882,29.104,32.907,32.966,31.745,25.475,15.296,22.116,17.371,17.886,11.667,8.896,1.459,-1.448,8.931,10.875,23.606,24.579,19.699,21.663,23.848,18.316,17.227,19.671,14.255,15.505,11.348,15.051,16.037,10.983,8.088,10.466,12.492,7.615,2.951,-4.145,-9.116,-10.067,-16.674,-12.536,-9.803,-15.301,-7.927
"P Volatility",19.76,22.36,25.63,27.43,28.3,27.02,28.71,26.42,23.2,17.57,20.3,27.58,26.13,28.14,29.51,33.96,32.05,29.26,11.61,26.02,24.04,23.77,22.13,22.29,23.18,27.31,34.36,35.27,33.26,31.7,30.42,28.26,25.68,24.79,23.28,25.92,22.98,22.98,22.07,29.62,29.54,26.03,25.3,23.72,26.23,28.77,25.35,28.04,24.66,16.17,16.35,16.35,21.86,16.17,20.57
"B Volatility",5.82,5.88,6.09,6.31,5.89,6,6.06,6.16,8.04,8.02,9.4,11.52,11.64,11.65,11.8,11.99,11.98,11.98,11.82,11.72,11.76,12.03,11.96,11.75,12.2,17.88,18.91,19.09,19.02,19.42,19.41,18.73,18.88,19.24,18.28,18.22,18.35,18.34,18.19,18.25,18.28,18.26,18.25,18.34,18.58,18.67,18.72,18.31,11.45,10.33,10.88,11.12,12.42,12.42,12.26
"V DIFF(P-B)",13.94,16.48,19.54,21.12,22.41,21.02,22.65,20.26,15.16,9.55,10.9,16.06,14.49,16.49,17.71,21.97,20.07,17.28,-0.210000000000001,14.3,12.28,11.74,10.17,10.54,10.98,9.43,15.45,16.18,14.24,12.28,11.01,9.53,6.8,5.55,5,7.7,4.63,4.64,3.88,11.37,11.26,7.77,7.05,5.38,7.65,10.1,6.63,9.73,13.21,5.84,5.47,5.23,9.44,3.75,8.31
"P Tracking Error",18.59,21.68,25.4,26.51,27.6,26.88,29.51,27.28,22.13,15.45,17.13,20.84,19.05,21.38,22.68,26.71,25.01,22.37,10.8,20.19,17.6,17.26,15.4,15.5,15.14,13.78,20.28,19.95,19.08,17.65,15.07,14.35,12.95,12.15,12.22,13.59,11.1,11.46,12.79,24.51,23.59,19.53,20.49,13.95,20.65,21.48,20.51,21.63,18.94,14.33,13.47,10.88,14.02,13.63,14.91
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
