"","2 Y 2015-08-28 to 2017-09-02","2 Y 2015-09-28 to 2017-10-03","2 Y 2015-10-28 to 2017-11-02","2 Y 2015-11-30 to 2017-12-03","2 Y 2015-12-29 to 2018-01-02","2 Y 2016-01-28 to 2018-02-02","2 Y 2016-02-29 to 2018-03-05","2 Y 2016-03-28 to 2018-04-02","2 Y 2016-04-28 to 2018-05-03","2 Y 2016-05-30 to 2018-06-02","2 Y 2016-06-28 to 2018-07-03","2 Y 2016-07-28 to 2018-08-02","2 Y 2016-08-29 to 2018-09-02","2 Y 2016-09-28 to 2018-10-03","2 Y 2016-10-28 to 2018-11-02","2 Y 2016-11-28 to 2018-12-03","2 Y 2016-12-28 to 2019-01-02","2 Y 2017-01-30 to 2019-02-02","2 Y 2017-02-28 to 2019-03-05","2 Y 2017-03-28 to 2019-04-02","2 Y 2017-04-28 to 2019-05-03","2 Y 2017-05-29 to 2019-06-02","2 Y 2017-06-28 to 2019-07-03","2 Y 2017-07-28 to 2019-08-02","2 Y 2017-08-28 to 2019-09-02","2 Y 2017-09-28 to 2019-10-03","2 Y 2017-10-30 to 2019-11-02","2 Y 2017-11-28 to 2019-12-03","2 Y 2017-12-28 to 2020-01-02","2 Y 2018-01-29 to 2020-02-02","2 Y 2018-02-28 to 2020-03-04","2 Y 2018-03-28 to 2020-04-02","2 Y 2018-04-30 to 2020-05-03","2 Y 2018-05-28 to 2020-06-02","2 Y 2018-06-28 to 2020-07-03","2 Y 2018-07-30 to 2020-08-02","2 Y 2018-08-28 to 2020-09-02","2 Y 2018-09-28 to 2020-10-03","2 Y 2018-10-29 to 2020-11-02","2 Y 2018-11-28 to 2020-12-03","2 Y 2018-12-28 to 2021-01-02","2 Y 2019-01-28 to 2021-02-02","2 Y 2019-02-28 to 2021-03-05","2 Y 2019-03-28 to 2021-04-02","2 Y 2019-04-29 to 2021-05-03","2 Y 2019-05-28 to 2021-06-02","2 Y 2019-06-28 to 2021-07-03","2 Y 2019-07-29 to 2021-08-02","2 Y 2019-08-28 to 2021-09-02","2 Y 2019-09-30 to 2021-10-03","2 Y 2019-10-28 to 2021-11-02","2 Y 2019-11-28 to 2021-12-03","2 Y 2019-12-30 to 2022-01-02","2 Y 2020-01-28 to 2022-02-02","2 Y 2020-02-28 to 2022-03-05","2 Y 2020-03-30 to 2022-04-02","2 Y 2020-04-28 to 2022-05-03","2 Y 2020-05-28 to 2022-06-02","2 Y 2020-06-29 to 2022-07-03","2 Y 2020-07-28 to 2022-08-02","2 Y 2020-08-28 to 2022-09-02"
"P Information Ratio",2.02,1.2,1.87,2.06,1.84,1.54,2.16,1.75,1.91,2.47,0.77,1.1,2.19,1.74,1.33,0.87,0.95,1.78,1.42,1.47,1.59,1.08,1.36,1.22,1.16,0.92,1.12,0.68,1.24,1,1.27,1.5,1.2,0.56,1.23,1.51,1.31,1.72,1.33,1.14,0.31,0.75,0.85,0.7,0.8,0.67,0.55,0.47,0.46,0.34,-0.05,0.3,0.58,0.53,0.55,2.49,2.16,1.36,1.31,0.92,0.07
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.94,1.4,1.89,1.76,1.56,1.79,1.85,1.53,1.89,2.04,0.6,1.23,1.36,2.09,1.36,0.72,0.77,0.82,0.62,0.94,1.17,1.09,1.04,0.62,0.88,0.63,0.72,0.45,0.72,0.56,0.49,0.62,0.24,0.42,1.08,1.24,1.31,1.73,1.29,0.72,0.18,0.55,0.74,0.63,0.78,0.41,0.58,0.35,0.41,0.2,-0.16,0.02,0.25,0.38,0.14,0.96,0.91,0.64,1.13,0.44,-0.13
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.07,0.92,1.02,0.98,0.82,0.79,0.84,1.12,0.53,0.63,0.74,0.81,0.64,0.23,0.77,0.7,0.72,0.86,0.9,1.2,1.29,1.27,1.29,0.86,1.22,1.14,1,0.95,0.85,0.81,0.82,1.02,1.02,1.05,1.16,1.15,0.96,1.03,1.09,1.09,1.1,1.18,1.14,1.21,1.06,1.29,1.14,1.26,1.19,1.05,1.15,1.26,1.1,1.16,1.26,1.34,1,1.06,0.92,1.17,1.11
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",24.41,15.2,18.39,19.03,14.87,3.31,14.16,16.2,3.68,5.35,34.22,8.53,7.18,-3.63,20.59,31.7,27.33,48.72,81.43,73.59,66.49,60.42,65.47,77.99,72.09,61.76,62.8,64.74,65.14,70.19,66.38,88.24,89.64,82.56,89.06,83.5,69,66.22,74.45,84.17,80.37,72.97,75.18,85.16,74.96,84.69,81.89,77.52,79.67,82.16,91.6,84.09,88.85,89.55,73.38,68.43,68.44,70.51,60.87,82.3,85.42
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-12.3429,-14.6567,-9.4634,-10.2508,-7.7475,-7.6386,-12.9432,-15.1004,-14.2241,-15.3248,-8.7212,-16.2203,-13.223,-12.7208,-13.9561,-11.7032,-15.2441,-16.6583,-15.1411,-17.7774,-18.5651,-18.7935,-18.8226,-15.9543,-17.3309,-17.1734,-12.984,-14.6307,-13.4163,-13.2155,-13.0017,-32.5066,-35.3686,-32.2509,-33.9811,-33.7002,-29.0206,-28.1356,-32.3598,-32.0184,-33.1377,-32.8591,-32.4817,-34.8514,-30.7497,-36.8336,-32.8026,-35.8206,-34.9581,-32.0346,-34.6672,-36.7106,-32.7906,-34.1668,-28.6856,-7.5475,-8.0198,-10.8509,-15.9959,-17.6943,-19.9628
"B Max Drawdown",-15.2268,-15.2268,-13.6512,-13.4415,-10.873,-6.3052,-8.6427,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4447,-13.4446,-13.4446,-13.4446,-13.4447,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",2.8839,0.5701,4.1878,3.1907,3.1255,-1.3334,-4.3005,-6.4576,-5.5813,-6.682,-0.0784000000000002,-7.5775,-4.5802,-4.078,-3.0932,-0.840300000000001,-1.7995,-3.2137,-1.6965,-4.3328,-5.1205,-5.3489,-5.3779,-2.5097,-3.8863,-3.7288,0.460699999999999,-1.1861,0.0282999999999998,0.229099999999999,0.4429,3.2199,0.357900000000001,3.4756,1.7454,2.0263,6.7059,7.5909,3.3667,3.7081,2.5888,2.8674,3.24480000000001,0.875100000000003,4.9768,-1.1071,2.9239,-0.0940999999999974,0.7684,3.6919,1.0593,-0.984099999999998,2.9359,1.5597,2.667,0.2203,-0.252,-0.582799999999999,-1.2012,-0.910399999999999,-3.1789
