"","1 Y 2016-08-30 to 2017-09-04","1 Y 2016-09-30 to 2017-10-05","1 Y 2016-10-31 to 2017-11-04","1 Y 2016-11-30 to 2017-12-05","1 Y 2016-12-30 to 2018-01-04","1 Y 2017-01-30 to 2018-02-04","1 Y 2017-03-02 to 2018-03-07","1 Y 2017-03-30 to 2018-04-04","1 Y 2017-05-01 to 2018-05-05","1 Y 2017-05-30 to 2018-06-04","1 Y 2017-06-30 to 2018-07-05","1 Y 2017-07-31 to 2018-08-04","1 Y 2017-08-30 to 2018-09-04","1 Y 2017-10-02 to 2018-10-05","1 Y 2017-10-30 to 2018-11-04","1 Y 2017-11-30 to 2018-12-05","1 Y 2018-01-02 to 2019-01-04","1 Y 2018-01-30 to 2019-02-04","1 Y 2018-03-02 to 2019-03-07","1 Y 2018-04-02 to 2019-04-04","1 Y 2018-04-30 to 2019-05-05","1 Y 2018-05-30 to 2019-06-04","1 Y 2018-07-03 to 2019-07-05","1 Y 2018-07-30 to 2019-08-04","1 Y 2018-08-30 to 2019-09-04","1 Y 2018-10-01 to 2019-10-05","1 Y 2018-10-30 to 2019-11-04","1 Y 2018-11-30 to 2019-12-05","1 Y 2018-12-31 to 2020-01-04","1 Y 2019-01-30 to 2020-02-04","1 Y 2019-03-04 to 2020-03-07","1 Y 2019-04-01 to 2020-04-04","1 Y 2019-04-30 to 2020-05-05","1 Y 2019-05-30 to 2020-06-04","1 Y 2019-07-02 to 2020-07-05","1 Y 2019-07-30 to 2020-08-04","1 Y 2019-08-30 to 2020-09-04","1 Y 2019-09-30 to 2020-10-05","1 Y 2019-10-30 to 2020-11-04","1 Y 2019-12-02 to 2020-12-05","1 Y 2019-12-30 to 2021-01-04","1 Y 2020-01-30 to 2021-02-04","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-04","1 Y 2020-04-30 to 2021-05-05","1 Y 2020-06-01 to 2021-06-04","1 Y 2020-06-30 to 2021-07-05","1 Y 2020-07-30 to 2021-08-04","1 Y 2020-08-31 to 2021-09-04","1 Y 2020-09-30 to 2021-10-05","1 Y 2020-10-30 to 2021-11-04","1 Y 2020-11-30 to 2021-12-05","1 Y 2020-12-30 to 2022-01-04","1 Y 2021-02-01 to 2022-02-04","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-03-30 to 2022-04-04","1 Y 2021-04-30 to 2022-05-05","1 Y 2021-05-31 to 2022-06-04","1 Y 2021-06-30 to 2022-07-05","1 Y 2021-07-30 to 2022-08-04","1 Y 2021-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",3.316,6.713,7.388,6.819,6.131,-1.535,-3.133,-0.26,1.818,2.368,8.307,4.922,8.495,-1.611,4.549,0.866,-7.93,1.557,13.825,14.285,14.465,17.6,17.529,23.752,52.138,39.541,24.859,24.513,22.974,12.838,4.864,-18.802,-11.249,-3.913,-21.443,-16.683,-12.456,-20.534,-23.379,6.45,4.371,14.906,42.761,124.151,91.897,76.284,71.674,49.671,49.745,81.003,81.59,43.861,48.966,53.262,51.543,41.378,31.367,15.415,5.949,-13.15,-12.245
"B Annualized Returns",4.837,9.267,10.333,6.784,6.896,3.305,-0.576,-2.299,0.623,4.862,8.363,8.504,9.509,2.561,-4.796,-4.408,-12.237,-1.605,4.475,8.311,6.856,1.131,2.935,0.222,1.989,2.667,10.195,11.342,18.428,11.189,2.8,-17.583,-9.945,-2.763,-5.199,-0.145,0.595,-0.6,-4.948,2.624,2.414,1.49,7.844,36.256,28.093,26.722,28.898,24.729,24.224,22.484,34.803,21.595,24.073,20.919,18.085,18.397,12.025,6.391,-4.935,-3.383,-6.522
"AR DIFF(P-B)",-1.521,-2.554,-2.945,0.0350000000000001,-0.765,-4.84,-2.557,2.039,1.195,-2.494,-0.0559999999999992,-3.582,-1.014,-4.172,9.345,5.274,4.307,3.162,9.35,5.974,7.609,16.469,14.594,23.53,50.149,36.874,14.664,13.171,4.546,1.649,2.064,-1.219,-1.304,-1.15,-16.244,-16.538,-13.051,-19.934,-18.431,3.826,1.957,13.416,34.917,87.895,63.804,49.562,42.776,24.942,25.521,58.519,46.787,22.266,24.893,32.343,33.458,22.981,19.342,9.024,10.884,-9.767,-5.723
"P Volatility",9.73,9.16,5.27,7.51,9.11,10.72,10.7,12.48,14.73,13.76,13.4,18.13,15.88,18.33,18.19,14.94,16.23,16.13,12.38,11.17,10.72,9.61,8.97,7.62,11.04,14.09,11.77,13.36,11.92,7.38,10.08,24.39,33.36,38.87,37.02,44.35,51.92,50.26,50.7,47.29,46.12,44.97,25.84,39.26,31.28,33.47,33.64,36.52,30.38,31.13,16.78,15.16,14.63,18.22,9.75,17.63,11.15,10.13,12.43,17.38,15.93
"B Volatility",4.17,4.99,5.31,4.94,4.94,5.42,6.49,6.75,7.31,7.31,7.64,7.76,7.76,7.06,10.28,10.57,12.45,12.45,15.74,15.58,15.59,15.97,15.85,15.83,15.77,13.41,13.41,10.7,6.92,6.93,8.86,20.42,22.97,23.32,23.32,23.32,24.01,24.12,23.95,26.16,26.16,25.51,14.1,14.1,12.19,12.09,12.18,11.63,10.62,9.98,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,12.97,13,12.83
"V DIFF(P-B)",5.56,4.17,-0.04,2.57,4.17,5.3,4.21,5.73,7.42,6.45,5.76,10.37,8.12,11.27,7.91,4.37,3.78,3.68,-3.36,-4.41,-4.87,-6.36,-6.88,-8.21,-4.73,0.68,-1.64,2.66,5,0.45,1.22,3.97,10.39,15.55,13.7,21.03,27.91,26.14,26.75,21.13,19.96,19.46,11.74,25.16,19.09,21.38,21.46,24.89,19.76,21.15,9.56,6.79,6.26,9.54,1.06,8.94,1.23,0.100000000000001,-0.540000000000001,4.38,3.1
"P Tracking Error",8.48,7.46,5.61,8.28,9.52,9.49,7.73,10.77,11.66,10.51,9.73,16.91,13.16,16.62,18.29,15.52,18.13,17.06,15.63,12.83,14.51,11.33,10.3,13.25,20.16,20.94,15.7,14.88,8.42,6.79,5.79,8.88,15.54,20.44,17.5,25.23,33.16,30.97,32.51,27.46,25.88,23.8,17.89,29.09,24.4,26.36,24.39,27.44,23.22,24.62,16.99,13.96,13.48,18.51,10.66,18.24,10.5,8.15,9.57,9.7,8.65
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",-0.18,-0.34,-0.52,0,-0.08,-0.51,-0.33,0.19,0.1,-0.24,-0.01,-0.21,-0.08,-0.25,0.51,0.34,0.24,0.19,0.6,0.47,0.52,1.45,1.42,1.78,2.49,1.76,0.93,0.89,0.54,0.24,0.36,-0.14,-0.08,-0.06,-0.93,-0.66,-0.39,-0.64,-0.57,0.14,0.08,0.56,1.95,3.02,2.61,1.88,1.75,0.91,1.1,2.38,2.75,1.59,1.85,1.75,3.14,1.26,1.84,1.11,1.14,-1.01,-0.66
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
