"","2 Y 2015-11-30 to 2017-12-05","2 Y 2015-12-30 to 2018-01-04","2 Y 2016-02-01 to 2018-02-04","2 Y 2016-03-01 to 2018-03-06","2 Y 2016-03-30 to 2018-04-04","2 Y 2016-05-02 to 2018-05-05","2 Y 2016-05-30 to 2018-06-04","2 Y 2016-06-30 to 2018-07-05","2 Y 2016-08-02 to 2018-08-04","2 Y 2016-08-30 to 2018-09-04","2 Y 2016-09-30 to 2018-10-05","2 Y 2016-10-31 to 2018-11-04","2 Y 2016-11-30 to 2018-12-05","2 Y 2016-12-30 to 2019-01-04","2 Y 2017-01-30 to 2019-02-04","2 Y 2017-03-02 to 2019-03-07","2 Y 2017-03-30 to 2019-04-04","2 Y 2017-05-01 to 2019-05-05","2 Y 2017-05-30 to 2019-06-04","2 Y 2017-06-30 to 2019-07-05","2 Y 2017-07-31 to 2019-08-04","2 Y 2017-08-30 to 2019-09-04","2 Y 2017-10-02 to 2019-10-05","2 Y 2017-10-30 to 2019-11-04","2 Y 2017-11-30 to 2019-12-05","2 Y 2018-01-02 to 2020-01-04","2 Y 2018-01-30 to 2020-02-04","2 Y 2018-03-02 to 2020-03-07","2 Y 2018-04-02 to 2020-04-04","2 Y 2018-04-30 to 2020-05-05","2 Y 2018-05-30 to 2020-06-04","2 Y 2018-07-03 to 2020-07-05","2 Y 2018-07-30 to 2020-08-04","2 Y 2018-08-30 to 2020-09-04","2 Y 2018-10-01 to 2020-10-05","2 Y 2018-10-30 to 2020-11-04","2 Y 2018-11-30 to 2020-12-05","2 Y 2018-12-31 to 2021-01-04","2 Y 2019-01-30 to 2021-02-04","2 Y 2019-03-04 to 2021-03-07","2 Y 2019-04-01 to 2021-04-04","2 Y 2019-04-30 to 2021-05-05","2 Y 2019-05-30 to 2021-06-04","2 Y 2019-07-02 to 2021-07-05","2 Y 2019-07-30 to 2021-08-04","2 Y 2019-08-30 to 2021-09-04","2 Y 2019-09-30 to 2021-10-05","2 Y 2019-10-30 to 2021-11-04","2 Y 2019-12-02 to 2021-12-05","2 Y 2019-12-30 to 2022-01-04","2 Y 2020-01-30 to 2022-02-04","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-04","2 Y 2020-04-30 to 2022-05-05","2 Y 2020-06-01 to 2022-06-04","2 Y 2020-06-30 to 2022-07-05","2 Y 2020-07-30 to 2022-08-04","2 Y 2020-08-31 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",22.445,31.438,35.066,31.751,29.908,26.544,30.609,29.016,23.203,30.052,26.704,16.69,12.624,9.325,14.658,14.807,15.712,17.769,16.519,20.292,18.433,17.638,10.016,11.235,7.51,7.832,12.855,12.908,-1.426,10.016,11.266,11.293,17,12.539,19.7,10.28,12.336,11.179,14.158,13.856,13.686,12.69,20.346,15.085,18.773,18.743,16.039,18.424,11.835,15.812,15.741,18.91,54.169,32.08,31.514,19.666,15.859,16.739
"B Annualized Returns",9.908,13.106,13.295,9.399,7.159,7.269,7.591,7.859,7.801,6.55,5.861,1.943,1.026,-3.142,1.097,1.918,2.869,3.49,2.513,5.614,4.499,5.253,2.701,2.046,3.167,2.707,5.013,3.634,-5.519,-1.601,-0.379,-1.131,-0.055,1.396,1.018,2.33,6.894,10.099,6.683,6.101,7.445,7.429,11.005,10.85,12.816,12.761,10.906,13.196,11.653,12.71,10.779,14.648,27.013,19.79,16.804,10.798,9.758,7.673
"AR DIFF(P-B)",12.537,18.332,21.771,22.352,22.749,19.275,23.018,21.157,15.402,23.502,20.843,14.747,11.598,12.467,13.561,12.889,12.843,14.279,14.006,14.678,13.934,12.385,7.315,9.189,4.343,5.125,7.842,9.274,4.093,11.617,11.645,12.424,17.055,11.143,18.682,7.95,5.442,1.08,7.475,7.755,6.241,5.261,9.341,4.235,5.957,5.982,5.133,5.228,0.182,3.102,4.962,4.262,27.156,12.29,14.71,8.868,6.101,9.066
"P Volatility",12.3,12.1,12.97,11.44,12.14,12.4,12.91,13.34,12.16,11.17,13.79,12.42,9.36,11.64,11.05,14.78,15.67,16.96,19.98,18.83,18.13,18.75,10.84,14.69,12.89,12.63,11.24,12.83,18.87,22.12,21.99,21.63,22.97,23.41,24.33,24.16,24.43,21.99,22.9,22.57,23.55,23.36,24.38,22.75,24.32,24.74,20.83,25.44,23.22,23.86,24.26,15.62,20.05,13.45,14.68,16.33,16.33,17.63
"B Volatility",6.65,5.43,5.77,5.82,5.88,6.09,6.09,5.89,6,6,6.16,8.04,8.02,9.4,9.4,11.64,11.65,11.8,11.99,11.98,11.98,11.82,11.72,11.72,12.03,11.96,11.75,12.2,17.88,18.91,19.09,19.02,19.02,19.41,18.73,18.88,19.24,18.69,18.22,18.35,18.68,18.19,18.25,18.67,18.26,18.25,18.34,18.58,18.67,18.67,18.31,11.45,11.45,10.88,11.12,12.42,12.42,12.26
"V DIFF(P-B)",5.65,6.67,7.2,5.62,6.26,6.31,6.82,7.45,6.16,5.17,7.63,4.38,1.34,2.24,1.65,3.14,4.02,5.16,7.99,6.85,6.15,6.93,-0.880000000000001,2.97,0.860000000000001,0.67,-0.51,0.630000000000001,0.990000000000002,3.21,2.9,2.61,3.95,4,5.6,5.28,5.19,3.3,4.68,4.22,4.87,5.17,6.13,4.08,6.06,6.49,2.49,6.86,4.55,5.19,5.95,4.17,8.6,2.57,3.56,3.91,3.91,5.37
"P Tracking Error",11.22,11.34,12.33,10.41,11.66,11.84,12.41,12.37,12.12,11.01,14.28,10.95,8.09,9.26,8.82,8.52,9.1,10.23,12.45,11.1,11.09,11.7,7.73,8.79,7.25,6.66,5.78,8.44,5.94,8.4,9.34,7.96,10.33,13.13,14.55,10.87,11.04,6.88,8.68,12.08,11.75,9.71,11.14,7.11,11.13,11.43,8.93,11.74,10.29,10.32,8.69,6.58,12.39,7.14,8.3,7.62,7.65,8.63
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
