"","3 Y 2018-05-29 to 2021-06-03","3 Y 2018-06-29 to 2021-07-04","3 Y 2018-07-30 to 2021-08-03","3 Y 2018-08-29 to 2021-09-03","3 Y 2018-10-01 to 2021-10-04","3 Y 2018-10-29 to 2021-11-03","3 Y 2018-11-29 to 2021-12-04","3 Y 2018-12-31 to 2022-01-03","3 Y 2019-01-29 to 2022-02-03","3 Y 2019-03-01 to 2022-03-06","3 Y 2019-03-29 to 2022-04-03","3 Y 2019-04-29 to 2022-05-04","3 Y 2019-05-29 to 2022-06-03","3 Y 2019-07-02 to 2022-07-04","3 Y 2019-07-29 to 2022-08-03","3 Y 2019-08-29 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",22.311,26.557,28.319,28.951,25.933,31.729,27.87,32.207,20.266,16.238,15.785,7.372,5.716,2.859,4.926,2.328
"B Annualized Returns",7.991,7.956,7.766,9.056,8.013,12.185,11.076,14.582,11.715,10.418,10.978,8.696,9.825,5.6,6.409,5.739
"AR DIFF(P-B)",14.32,18.601,20.553,19.895,17.92,19.544,16.794,17.625,8.551,5.82,4.807,-1.324,-4.109,-2.741,-1.483,-3.411
"P Volatility",27.46,26.7,28.24,27.25,26.1,26.51,26.8,28.75,27.99,26.46,26.39,25.87,24.66,23.92,24.65,24.98
"B Volatility",17.09,17.33,17.11,17.05,16.63,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,15.95,16.47,16.47
"V DIFF(P-B)",10.37,9.37,11.13,10.2,9.47,9.77,10.62,13.03,12.43,10.88,10.64,10.23,8.94,7.97,8.18,8.51
"P Tracking Error",16.63,15.59,18.89,15.18,15.29,15.56,16.09,21.44,20.27,15.84,15.79,15.68,14.02,13.31,14.57,13.4
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.86,1.19,1.09,1.31,1.17,1.26,1.04,0.82,0.42,0.37,0.3,-0.08,-0.29,-0.21,-0.1,-0.25
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",1.16,1.39,1.51,1.41,1.27,1.19,0.96,1.06,0.79,0.2,0.13,-0.39,-0.46,-0.36,-0.19,-0.14
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.32,1.28,1.25,1.38,1.31,1.32,1.38,1.24,1.27,1.43,1.4,1.37,1.33,1.28,1.23,1.32
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",66.23,68.3,56.34,73.88,68.61,68.81,68.22,44.46,48.24,69.54,69.03,67.18,71.31,71.54,66.39,74.91
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-32.2754,-31.1209,-30.7545,-32.9176,-33.501,-31.9237,-33.2864,-31.3542,-31.203,-35.0122,-33.9547,-32.3135,-32.434,-32.2881,-35.3487,-34.147
"B Max Drawdown",-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265
"MD DIFF(P-B)",3.4511,4.6056,4.972,2.8089,2.2255,3.8028,2.4401,4.3723,4.5235,0.714300000000001,1.7718,3.413,3.2925,3.4384,0.377800000000001,1.5795
