"","3 Y 2016-08-30 to 2019-09-04","3 Y 2016-09-30 to 2019-10-05","3 Y 2016-10-31 to 2019-11-04","3 Y 2016-11-30 to 2019-12-05","3 Y 2016-12-30 to 2020-01-04","3 Y 2017-01-30 to 2020-02-04","3 Y 2017-03-02 to 2020-03-07","3 Y 2017-03-30 to 2020-04-04","3 Y 2017-05-01 to 2020-05-05","3 Y 2017-05-30 to 2020-06-04","3 Y 2017-06-30 to 2020-07-05","3 Y 2017-07-31 to 2020-08-04","3 Y 2017-08-30 to 2020-09-04","3 Y 2017-10-02 to 2020-10-05","3 Y 2017-10-30 to 2020-11-04","3 Y 2017-11-30 to 2020-12-05","3 Y 2018-01-02 to 2021-01-04","3 Y 2018-01-30 to 2021-02-04","3 Y 2018-03-02 to 2021-03-07","3 Y 2018-04-02 to 2021-04-04","3 Y 2018-04-30 to 2021-05-05","3 Y 2018-05-30 to 2021-06-04","3 Y 2018-07-03 to 2021-07-05","3 Y 2018-07-30 to 2021-08-04","3 Y 2018-08-30 to 2021-09-04","3 Y 2018-10-01 to 2021-10-05","3 Y 2018-10-30 to 2021-11-04","3 Y 2018-11-30 to 2021-12-05","3 Y 2018-12-31 to 2022-01-04","3 Y 2019-01-30 to 2022-02-04","3 Y 2019-03-04 to 2022-03-07","3 Y 2019-04-01 to 2022-04-04","3 Y 2019-04-30 to 2022-05-05","3 Y 2019-05-30 to 2022-06-04","3 Y 2019-07-02 to 2022-07-05","3 Y 2019-07-30 to 2022-08-04","3 Y 2019-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",8.418,14.129,12.831,10.473,13.71,10.281,7.26,-1.047,1.468,3.647,5.44,3.114,6.371,1.662,-0.266,3.698,4.939,6.858,7.038,9.223,8.951,10.018,8.956,8.088,9.226,9.59,12.212,8.475,13.328,11.531,12.247,10.479,9.189,10.163,6.996,6.751,4.771
"B Annualized Returns",4.589,4.534,4.337,4.356,3.913,4.47,2.211,-4.458,-0.594,1.184,1.868,3.158,3.745,1.557,0.072,2.986,2.577,5.375,5.489,7.515,7.424,7.941,7.956,7.771,9.056,8.167,12.186,11.076,14.582,11.231,10.418,10.978,8.941,9.825,5.188,7.125,5.739
"AR DIFF(P-B)",3.829,9.595,8.494,6.117,9.797,5.811,5.049,3.411,2.062,2.463,3.572,-0.044,2.626,0.105,-0.338,0.712,2.362,1.483,1.549,1.708,1.527,2.077,0.999999999999999,0.316999999999999,0.170000000000002,1.423,0.0259999999999998,-2.601,-1.254,0.300000000000001,1.829,-0.499000000000001,0.247999999999999,0.338000000000001,1.808,-0.374,-0.968
"P Volatility",8.21,9.72,9.67,9.13,9.92,8.8,9.46,14.27,15.6,14.69,16.08,15.31,17.31,15.17,15.81,17.54,16.8,16.23,17.16,17.02,16.27,17.2,17.77,18.06,18.56,17.68,17.95,16.42,15.97,15.69,16.43,17.08,16.36,16.47,17.12,16.18,16.96
"B Volatility",9.9,9.93,9.93,10.05,10.07,10.15,10.54,14.95,15.84,15.95,15.94,15.94,16.15,16.15,16.28,17.18,17.4,17.02,17.05,17.26,17.05,17.09,17.33,17.09,17.05,16.5,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,16.46,16.47,16.47
"V DIFF(P-B)",-1.69,-0.209999999999999,-0.26,-0.92,-0.15,-1.35,-1.08,-0.68,-0.24,-1.26,0.139999999999999,-0.629999999999999,1.16,-0.979999999999999,-0.470000000000001,0.359999999999999,-0.599999999999998,-0.789999999999999,0.109999999999999,-0.240000000000002,-0.780000000000001,0.109999999999999,0.440000000000001,0.969999999999999,1.51,1.18,1.21,0.240000000000002,0.25,0.129999999999999,0.85,1.33,0.719999999999999,0.749999999999998,0.66,-0.289999999999999,0.490000000000002
"P Tracking Error",4.59,6.27,5.75,4.86,6.03,4.24,4.32,4.12,3.85,4.15,6.43,3.48,6.58,4.04,3.77,4.94,4.93,5.64,6.08,5.43,6.12,6.92,7.09,7.43,6.08,5.52,5.79,5.16,8.48,7.18,7.28,7.43,7.75,8.21,8.6,8.22,6.3
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
