"","2 Y 2015-08-28 to 2017-09-02","2 Y 2015-09-28 to 2017-10-03","2 Y 2015-10-28 to 2017-11-02","2 Y 2015-11-30 to 2017-12-03","2 Y 2015-12-29 to 2018-01-02","2 Y 2016-01-28 to 2018-02-02","2 Y 2016-02-29 to 2018-03-05","2 Y 2016-03-28 to 2018-04-02","2 Y 2016-04-28 to 2018-05-03","2 Y 2016-05-30 to 2018-06-02","2 Y 2016-06-28 to 2018-07-03","2 Y 2016-07-28 to 2018-08-02","2 Y 2016-08-29 to 2018-09-02","2 Y 2016-09-28 to 2018-10-03","2 Y 2016-10-28 to 2018-11-02","2 Y 2016-11-28 to 2018-12-03","2 Y 2016-12-28 to 2019-01-02","2 Y 2017-01-30 to 2019-02-02","2 Y 2017-02-28 to 2019-03-05","2 Y 2017-03-28 to 2019-04-02","2 Y 2017-04-28 to 2019-05-03","2 Y 2017-05-29 to 2019-06-02","2 Y 2017-06-28 to 2019-07-03","2 Y 2017-07-28 to 2019-08-02","2 Y 2017-08-28 to 2019-09-02","2 Y 2017-09-28 to 2019-10-03","2 Y 2017-10-30 to 2019-11-02","2 Y 2017-11-28 to 2019-12-03","2 Y 2017-12-28 to 2020-01-02","2 Y 2018-01-29 to 2020-02-02","2 Y 2018-02-28 to 2020-03-04","2 Y 2018-03-28 to 2020-04-02","2 Y 2018-04-30 to 2020-05-03","2 Y 2018-05-28 to 2020-06-02","2 Y 2018-06-28 to 2020-07-03","2 Y 2018-07-30 to 2020-08-02","2 Y 2018-08-28 to 2020-09-02","2 Y 2018-09-28 to 2020-10-03","2 Y 2018-10-29 to 2020-11-02","2 Y 2018-11-28 to 2020-12-03","2 Y 2018-12-28 to 2021-01-02","2 Y 2019-01-28 to 2021-02-02","2 Y 2019-02-28 to 2021-03-05","2 Y 2019-03-28 to 2021-04-02","2 Y 2019-04-29 to 2021-05-03","2 Y 2019-05-28 to 2021-06-02","2 Y 2019-06-28 to 2021-07-03","2 Y 2019-07-29 to 2021-08-02","2 Y 2019-08-28 to 2021-09-02","2 Y 2019-09-30 to 2021-10-03","2 Y 2019-10-28 to 2021-11-02","2 Y 2019-11-28 to 2021-12-03","2 Y 2019-12-30 to 2022-01-02","2 Y 2020-01-28 to 2022-02-02","2 Y 2020-02-28 to 2022-03-05","2 Y 2020-03-30 to 2022-04-02","2 Y 2020-04-28 to 2022-05-03","2 Y 2020-05-28 to 2022-06-02","2 Y 2020-06-29 to 2022-07-03","2 Y 2020-07-28 to 2022-08-02","2 Y 2020-08-28 to 2022-09-02"
"P Alpha Stat",2.27,1.53,2.25,1.97,1.67,2,2.15,1.74,2.25,2.42,0.26,1.37,1.61,2.49,1.63,0.78,0.81,0.94,0.61,1.08,1.42,1.3,1.22,0.64,1.01,0.72,0.84,0.46,0.84,0.59,0.56,0.79,0.23,0.33,1.23,1.44,1.5,2.15,1.55,0.85,0.06,0.67,0.96,0.8,0.95,0.49,0.76,0.49,0.54,0.24,-0.22,0.05,0.39,0.49,0.15,1.19,1.14,0.72,1.45,0.49,-0.38
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.21,0.98,1.1,1.08,0.84,0.73,0.88,1.27,0.5,0.65,0.75,0.92,0.66,0.13,0.79,0.72,0.72,0.88,0.88,1.32,1.41,1.38,1.41,0.8,1.33,1.25,1.06,1.01,0.89,0.84,0.82,1.06,1.07,1.07,1.23,1.22,0.94,1.03,1.1,1.1,1.1,1.23,1.18,1.28,1.06,1.38,1.16,1.34,1.21,1.01,1.18,1.34,1.1,1.19,1.33,1.4,0.98,1.08,0.89,1.21,1.12
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",21.41,11.38,14.09,16.57,10.56,0.03,10.24,13.07,0.56,3,27.77,6.72,4.44,-4.52,14.6,23.13,18.7,40.43,76.76,69.79,62.03,54.74,60.72,65.93,67.85,56.31,56.91,57.58,58.4,64.38,59.03,86.26,88.13,78.85,88.42,80.92,60.44,57.61,67.78,80.87,73.41,65.77,68.45,81.45,68.45,81.15,76.66,70.54,72.03,75.45,90.3,79.65,86.11,86.63,67.45,62.96,60.1,64.15,48.79,79.06,82.14
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-13.1272,-16.4541,-9.705,-12.3422,-7.953,-8.4575,-14.029,-17.2088,-15.5628,-16.8363,-9.2066,-18.8289,-14.4795,-13.9648,-15.2522,-12.896,-16.416,-18.3493,-16.3261,-19.9487,-20.4998,-20.6589,-20.7722,-17.6676,-19.1365,-19.304,-13.2621,-15.7642,-14.1516,-14.0425,-13.5334,-32.8365,-37.443,-32.849,-35.3158,-34.8823,-28.21,-27.0423,-32.7629,-32.0095,-33.688,-33.2204,-32.8131,-36.2632,-30.5159,-38.9368,-32.8881,-37.121,-35.4011,-31.3818,-35.3865,-38.4087,-32.7895,-34.6797,-28.4215,-8.5659,-9.3706,-10.9351,-16.4437,-18.5173,-22.0226
"B Max Drawdown",-15.2268,-15.2268,-13.6512,-13.4415,-10.873,-6.3052,-8.6427,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-8.6428,-10.8629,-10.8629,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4447,-13.4446,-13.4446,-13.4446,-13.4447,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-31.3526,-7.7678,-7.7678,-10.2681,-14.7947,-16.7839,-16.7839
"MD DIFF(P-B)",2.0996,-1.2273,3.9462,1.0993,2.92,-2.1523,-5.3863,-8.566,-6.92,-8.1935,-0.563800000000001,-10.1861,-5.8367,-5.322,-4.3893,-2.0331,-2.9714,-4.9047,-2.8815,-6.5041,-7.0552,-7.2143,-7.3275,-4.223,-5.6919,-5.8594,0.182599999999999,-2.3196,-0.707000000000001,-0.597900000000001,-0.0888000000000009,2.89,-1.7165,2.8775,0.410699999999999,0.844200000000001,7.5165,8.6842,2.9636,3.717,2.0385,2.5061,2.9134,-0.536699999999996,5.2106,-3.2103,2.8384,-1.3945,0.325400000000002,4.3447,0.340000000000003,-2.6822,2.937,1.0468,2.9311,-0.798099999999999,-1.6028,-0.667,-1.649,-1.7334,-5.2387
