"","2 Y 2016-08-30 to 2018-09-04","2 Y 2016-09-30 to 2018-10-05","2 Y 2016-10-31 to 2018-11-04","2 Y 2016-11-30 to 2018-12-05","2 Y 2016-12-30 to 2019-01-04","2 Y 2017-01-30 to 2019-02-04","2 Y 2017-03-02 to 2019-03-07","2 Y 2017-03-30 to 2019-04-04","2 Y 2017-05-01 to 2019-05-05","2 Y 2017-05-30 to 2019-06-04","2 Y 2017-06-30 to 2019-07-05","2 Y 2017-07-31 to 2019-08-04","2 Y 2017-08-30 to 2019-09-04","2 Y 2017-10-02 to 2019-10-05","2 Y 2017-10-30 to 2019-11-04","2 Y 2017-11-30 to 2019-12-05","2 Y 2018-01-02 to 2020-01-04","2 Y 2018-01-30 to 2020-02-04","2 Y 2018-03-02 to 2020-03-07","2 Y 2018-04-02 to 2020-04-04","2 Y 2018-04-30 to 2020-05-05","2 Y 2018-05-30 to 2020-06-04","2 Y 2018-07-03 to 2020-07-05","2 Y 2018-07-30 to 2020-08-04","2 Y 2018-08-30 to 2020-09-04","2 Y 2018-10-01 to 2020-10-05","2 Y 2018-10-30 to 2020-11-04","2 Y 2018-11-30 to 2020-12-05","2 Y 2018-12-31 to 2021-01-04","2 Y 2019-01-30 to 2021-02-04","2 Y 2019-03-04 to 2021-03-07","2 Y 2019-04-01 to 2021-04-04","2 Y 2019-04-30 to 2021-05-05","2 Y 2019-05-30 to 2021-06-04","2 Y 2019-07-02 to 2021-07-05","2 Y 2019-07-30 to 2021-08-04","2 Y 2019-08-30 to 2021-09-04","2 Y 2019-09-30 to 2021-10-05","2 Y 2019-10-30 to 2021-11-04","2 Y 2019-12-02 to 2021-12-05","2 Y 2019-12-30 to 2022-01-04","2 Y 2020-01-30 to 2022-02-04","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-04","2 Y 2020-04-30 to 2022-05-05","2 Y 2020-06-01 to 2022-06-04","2 Y 2020-06-30 to 2022-07-05","2 Y 2020-07-30 to 2022-08-04","2 Y 2020-08-31 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",29.93,25.69,13.565,9.596,6.094,14.702,14.129,15.784,18.359,17.577,19.394,18.738,15.958,13.352,13.052,12.793,9.337,14.069,9.456,0.957,10.989,8.973,11.295,16.88,22.877,21.632,20.486,22.482,21.215,16.101,15.441,17.109,17.651,20.089,15.691,17.783,18.976,17.419,20.09,16.527,16.351,13.691,19.648,53.118,31.815,30.331,18.807,15.651,16.749
"B Annualized Returns",6.55,5.861,1.943,1.026,-3.142,1.097,1.918,2.869,3.49,2.513,5.614,4.499,5.253,2.701,2.046,3.167,2.707,5.013,3.634,-5.519,-1.601,-0.379,-1.131,-0.055,1.396,1.018,2.33,6.894,10.099,6.683,6.101,7.445,7.429,11.005,10.85,12.816,12.761,10.906,13.196,11.653,12.71,10.779,14.648,27.013,19.79,16.804,10.798,9.758,7.673
"AR DIFF(P-B)",23.38,19.829,11.622,8.57,9.236,13.605,12.211,12.915,14.869,15.064,13.78,14.239,10.705,10.651,11.006,9.626,6.63,9.056,5.822,6.476,12.59,9.352,12.426,16.935,21.481,20.614,18.156,15.588,11.116,9.418,9.34,9.664,10.222,9.084,4.841,4.967,6.215,6.513,6.894,4.874,3.641,2.912,5,26.105,12.025,13.527,8.009,5.893,9.076
"P Volatility",11.34,13.97,12.12,9.26,11.32,11.62,14.72,15.73,17.01,18.74,18.63,16.63,18.17,16.41,14.78,14.17,12.74,12.44,12.15,17.83,23.83,22.12,21.7,21.59,23.17,23.44,24,25.03,25.42,24.12,22.67,22.65,23.26,24.19,25.26,26.8,26.59,23.54,26.05,23.71,23.1,24.26,17.06,19.25,14.08,14.01,17.19,16.76,17.13
"B Volatility",6,6.16,8.04,8.02,9.4,9.4,11.64,11.65,11.8,11.99,11.98,11.98,11.82,11.72,11.72,12.03,11.96,11.75,12.2,17.88,18.91,19.09,19.02,19.02,19.41,18.73,18.88,19.24,18.69,18.22,18.35,18.68,18.19,18.25,18.67,18.26,18.25,18.34,18.58,18.67,18.67,18.31,11.45,11.45,10.88,11.12,12.42,12.42,12.26
"V DIFF(P-B)",5.34,7.81,4.08,1.24,1.92,2.22,3.08,4.08,5.21,6.75,6.65,4.65,6.35,4.69,3.06,2.14,0.779999999999999,0.69,-0.0499999999999989,-0.0500000000000007,4.92,3.03,2.68,2.57,3.76,4.71,5.12,5.79,6.73,5.9,4.32,3.97,5.07,5.94,6.59,8.54,8.34,5.2,7.47,5.04,4.43,5.95,5.61,7.8,3.2,2.89,4.77,4.34,4.87
"P Tracking Error",11.16,14.08,10.13,7.63,8.39,8.63,8.4,9.27,10.38,11.57,10.81,10.06,10.74,10.52,9.28,8.42,7.6,7.33,6.33,6.32,10.42,8.86,7.34,8.3,13.16,13.37,11.93,13.14,9.37,9.5,7.77,7.6,8.91,9.08,9.02,11.28,13.17,8.73,12.13,10.51,9.71,10.49,9.54,11.34,6.71,7.28,8.43,8.43,8.84
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
