"","3 Y 2017-05-30 to 2020-06-04","3 Y 2017-06-30 to 2020-07-05","3 Y 2017-07-31 to 2020-08-04","3 Y 2017-08-30 to 2020-09-04","3 Y 2017-10-02 to 2020-10-05","3 Y 2017-10-30 to 2020-11-04","3 Y 2017-11-30 to 2020-12-05","3 Y 2018-01-02 to 2021-01-04","3 Y 2018-01-30 to 2021-02-04","3 Y 2018-03-02 to 2021-03-07","3 Y 2018-04-02 to 2021-04-04","3 Y 2018-04-30 to 2021-05-05","3 Y 2018-05-30 to 2021-06-04","3 Y 2018-07-03 to 2021-07-05","3 Y 2018-07-30 to 2021-08-04","3 Y 2018-08-30 to 2021-09-04","3 Y 2018-10-01 to 2021-10-05","3 Y 2018-10-30 to 2021-11-04","3 Y 2018-11-30 to 2021-12-05","3 Y 2018-12-31 to 2022-01-04","3 Y 2019-01-30 to 2022-02-04","3 Y 2019-03-04 to 2022-03-07","3 Y 2019-04-01 to 2022-04-04","3 Y 2019-04-30 to 2022-05-05","3 Y 2019-05-30 to 2022-06-04","3 Y 2019-07-02 to 2022-07-05","3 Y 2019-07-30 to 2022-08-04","3 Y 2019-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",24.276,33.272,38.155,29.663,26.302,27.312,31.055,29.999,31.616,23.698,27.161,25.626,22.419,25.456,27.796,27.816,25.128,32.773,27.349,30.147,16.874,11.353,11.658,2.999,3.917,0.256,4.063,-0.072
"B Annualized Returns",1.184,1.868,3.158,3.745,1.557,0.072,2.986,2.577,5.375,5.489,7.515,7.424,7.941,7.956,7.771,9.056,8.167,12.186,11.076,14.582,11.231,10.418,10.978,8.941,9.825,5.188,7.125,5.739
"AR DIFF(P-B)",23.092,31.404,34.997,25.918,24.745,27.24,28.069,27.422,26.241,18.209,19.646,18.202,14.478,17.5,20.025,18.76,16.961,20.587,16.273,15.565,5.643,0.935,0.68,-5.942,-5.908,-4.932,-3.062,-5.811
"P Volatility",34.1,33.53,32.12,33.54,31.93,31.13,30.1,29.46,27.86,29.16,30.17,29.3,28.59,29.19,29.45,28.95,26.52,23.19,25.06,24.56,25.3,25.44,27.24,27.38,25.09,25.48,24.9,24.24
"B Volatility",15.95,15.94,15.94,16.15,16.15,16.28,17.18,17.4,17.02,17.05,17.26,17.05,17.09,17.33,17.09,17.05,16.5,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,16.46,16.47,16.47
"V DIFF(P-B)",18.15,17.59,16.18,17.39,15.78,14.85,12.92,12.06,10.84,12.11,12.91,12.25,11.5,11.86,12.36,11.9,10.02,6.45,8.88,8.84,9.74,9.86,11.49,11.74,9.37,9.02,8.43,7.77
"P Tracking Error",25.75,25.19,25.05,25.35,22.73,22.29,21.81,22.97,18.17,16.49,17.29,17.14,16.4,16.16,16.37,16.24,14.15,12.79,13.44,13.59,15.51,15.98,16.71,16.52,14.78,13.94,15.2,13.81
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.9,1.25,1.4,1.02,1.09,1.22,1.29,1.19,1.44,1.1,1.14,1.06,0.88,1.08,1.22,1.16,1.2,1.61,1.21,1.15,0.36,0.06,0.04,-0.36,-0.4,-0.35,-0.2,-0.42
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",2.29,2.43,2.59,2.4,2.1,2.25,2.03,2.29,1.7,1.36,1.66,1.17,1.16,1.21,1.11,1.26,1.09,1.29,0.97,0.75,0.36,-0.03,-0.12,-0.61,-0.58,-0.52,-0.28,-0.28
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",1.48,1.46,1.3,1.42,1.46,1.39,1.23,1.06,1.27,1.49,1.53,1.47,1.44,1.48,1.53,1.49,1.42,1.17,1.35,1.35,1.33,1.31,1.43,1.47,1.33,1.34,1.22,1.23
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",46.49,46.8,39.55,45.45,53.45,51.49,47.67,37.48,58.98,75.67,75.44,72.47,73.18,76.94,77.76,76.04,77.85,70.15,75.77,73.52,65.44,62.98,67.66,70.06,68.71,74.11,63.74,69.08
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-32.828,-31.4759,-27.4845,-30.1814,-33.3218,-31.1467,-28.9321,-26.2433,-30.2041,-34.8646,-35.5792,-34.9648,-34.4726,-35.3625,-35.8662,-34.4012,-33.6137,-27.597,-31.8476,-33.1395,-32.8492,-31.309,-34.304,-36.7727,-37.2265,-38.1764,-39.447,-38.2218
"B Max Drawdown",-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265
"MD DIFF(P-B)",2.8985,4.2506,8.242,5.5451,2.4047,4.5798,6.7944,9.4832,5.5224,0.861899999999999,0.147300000000001,0.761700000000005,1.2539,0.364000000000004,-0.139699999999998,1.3253,2.1128,8.1295,3.8789,2.587,2.8773,4.4175,1.4225,-1.0462,-1.5,-2.4499,-3.7205,-2.4953
