"","3 Y 2016-03-01 to 2019-03-06","3 Y 2016-04-01 to 2019-04-06","3 Y 2016-05-02 to 2019-05-06","3 Y 2016-06-01 to 2019-06-06","3 Y 2016-07-04 to 2019-07-06","3 Y 2016-08-02 to 2019-08-06","3 Y 2016-09-01 to 2019-09-06","3 Y 2016-10-03 to 2019-10-06","3 Y 2016-11-01 to 2019-11-06","3 Y 2016-12-01 to 2019-12-06","3 Y 2017-01-03 to 2020-01-06","3 Y 2017-02-01 to 2020-02-06","3 Y 2017-03-01 to 2020-03-06","3 Y 2017-04-03 to 2020-04-06","3 Y 2017-05-01 to 2020-05-06","3 Y 2017-06-01 to 2020-06-06","3 Y 2017-07-04 to 2020-07-06","3 Y 2017-08-01 to 2020-08-06","3 Y 2017-09-01 to 2020-09-06","3 Y 2017-10-02 to 2020-10-06","3 Y 2017-11-01 to 2020-11-06","3 Y 2017-12-01 to 2020-12-06","3 Y 2018-01-02 to 2021-01-06","3 Y 2018-02-01 to 2021-02-06","3 Y 2018-03-01 to 2021-03-06","3 Y 2018-04-02 to 2021-04-06","3 Y 2018-05-01 to 2021-05-06","3 Y 2018-06-01 to 2021-06-06","3 Y 2018-07-03 to 2021-07-06","3 Y 2018-08-01 to 2021-08-06","3 Y 2018-09-04 to 2021-09-06","3 Y 2018-10-01 to 2021-10-06","3 Y 2018-11-01 to 2021-11-06","3 Y 2018-12-03 to 2021-12-06","3 Y 2019-01-02 to 2022-01-06","3 Y 2019-02-01 to 2022-02-06","3 Y 2019-03-01 to 2022-03-06","3 Y 2019-04-01 to 2022-04-06","3 Y 2019-05-01 to 2022-05-06","3 Y 2019-06-03 to 2022-06-06","3 Y 2019-07-02 to 2022-07-06","3 Y 2019-08-01 to 2022-08-06","3 Y 2019-09-03 to 2022-09-06"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",27.039,31.696,33.156,24.153,29.631,16.978,18.824,17.356,14.525,14.544,14.901,16.463,11.968,5.131,13.937,12.172,15.462,17.194,13.935,14.92,17.118,15.058,14.86,17.338,14.547,16.867,14.995,16.764,17.459,19.22,21.625,18.588,21.432,18.556,18.37,14.192,12.761,13.674,11.507,13.494,6.185,9.345,9.153
"B Annualized Returns",7.667,7.601,6.765,5.31,6.192,5.153,4.776,4.534,5.232,4.21,3.913,4.93,2.211,-4.458,-0.449,1.003,1.868,3.155,3.745,1.867,0.663,2.986,2.48,5.642,5.489,7.731,7.218,7.941,8.083,8.095,9.056,8.385,12.383,11.076,13.746,11.231,10.418,10.932,8.125,9.825,4.934,7.2,5.739
"AR DIFF(P-B)",19.372,24.095,26.391,18.843,23.439,11.825,14.048,12.822,9.293,10.334,10.988,11.533,9.757,9.589,14.386,11.169,13.594,14.039,10.19,13.053,16.455,12.072,12.38,11.696,9.058,9.136,7.777,8.823,9.376,11.125,12.569,10.203,9.049,7.48,4.624,2.961,2.343,2.742,3.382,3.669,1.251,2.145,3.414
"P Volatility",22.19,23.64,23.76,25.44,24.6,24.11,21.82,20.55,15.35,13.08,14.06,14.15,14.13,18.49,23.4,24.91,24.47,23.63,23.63,22.62,23.3,21.08,20.89,19.09,19.03,20.05,19.7,19.21,19.02,19.11,19.51,20.15,19.67,20.24,19.65,21.48,19.93,20.77,20.09,22.4,23.64,23.03,23.52
"B Volatility",9.85,9.77,9.89,10.08,9.9,9.9,9.9,9.93,9.91,10.05,10.07,10.15,10.54,14.95,15.84,15.95,15.94,16.22,16.15,16.15,16.28,17.18,17.16,17.02,17.05,17.07,17.05,17.09,17.11,17.09,17.05,16.5,16.74,16.18,15.55,15.56,15.58,15.59,15.64,15.72,16.46,16.47,16.47
"V DIFF(P-B)",12.34,13.87,13.87,15.36,14.7,14.21,11.92,10.62,5.44,3.03,3.99,4,3.59,3.54,7.56,8.96,8.53,7.41,7.48,6.47,7.02,3.9,3.73,2.07,1.98,2.98,2.65,2.12,1.91,2.02,2.46,3.65,2.93,4.06,4.1,5.92,4.35,5.18,4.45,6.68,7.18,6.56,7.05
"P Tracking Error",17.16,18.88,18.84,20.15,19.37,18.8,16.43,15.52,10.9,8.1,9.28,9.17,8.52,9.81,13.5,13.81,12.97,12.5,12.18,11.77,12.33,9.85,9.32,9.17,9.04,7.81,8.69,9.82,7.16,8.78,12.19,12.61,10.13,9.43,8.04,9.04,7.42,7.68,8.7,11.02,10.99,10.25,10.78
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
