"","3 Y 2016-03-01 to 2019-03-06","3 Y 2016-04-01 to 2019-04-06","3 Y 2016-05-02 to 2019-05-06","3 Y 2016-06-01 to 2019-06-06","3 Y 2016-07-04 to 2019-07-06","3 Y 2016-08-02 to 2019-08-06","3 Y 2016-09-01 to 2019-09-06","3 Y 2016-10-03 to 2019-10-06","3 Y 2016-11-01 to 2019-11-06","3 Y 2016-12-01 to 2019-12-06","3 Y 2017-01-03 to 2020-01-06","3 Y 2017-02-01 to 2020-02-06","3 Y 2017-03-01 to 2020-03-06","3 Y 2017-04-03 to 2020-04-06","3 Y 2017-05-01 to 2020-05-06","3 Y 2017-06-01 to 2020-06-06","3 Y 2017-07-04 to 2020-07-06","3 Y 2017-08-01 to 2020-08-06","3 Y 2017-09-01 to 2020-09-06","3 Y 2017-10-02 to 2020-10-06","3 Y 2017-11-01 to 2020-11-06","3 Y 2017-12-01 to 2020-12-06","3 Y 2018-01-02 to 2021-01-06","3 Y 2018-02-01 to 2021-02-06","3 Y 2018-03-01 to 2021-03-06","3 Y 2018-04-02 to 2021-04-06","3 Y 2018-05-01 to 2021-05-06","3 Y 2018-06-01 to 2021-06-06","3 Y 2018-07-03 to 2021-07-06","3 Y 2018-08-01 to 2021-08-06","3 Y 2018-09-04 to 2021-09-06","3 Y 2018-10-01 to 2021-10-06","3 Y 2018-11-01 to 2021-11-06","3 Y 2018-12-03 to 2021-12-06","3 Y 2019-01-02 to 2022-01-06","3 Y 2019-02-01 to 2022-02-06","3 Y 2019-03-01 to 2022-03-06","3 Y 2019-04-01 to 2022-04-06","3 Y 2019-05-01 to 2022-05-06","3 Y 2019-06-03 to 2022-06-06","3 Y 2019-07-02 to 2022-07-06","3 Y 2019-08-01 to 2022-08-06","3 Y 2019-09-03 to 2022-09-06"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",14.199,10.156,9.615,15.074,9.577,15.329,9.231,9.064,8.838,9.79,7.665,9.481,6.221,-2.796,-0.257,2.722,3.557,5.151,5.109,1.882,-0.098,5.348,5.02,7.173,7.742,10.776,9.759,8.325,7.698,8.861,8.862,8.216,11.386,10.445,13.998,11.633,11.879,10.564,8.749,7.791,5.5,6.048,5.6
"B Annualized Returns",7.667,7.601,6.765,5.31,6.192,5.153,4.776,4.534,5.232,4.21,3.913,4.93,2.211,-4.458,-0.449,1.003,1.868,3.155,3.745,1.867,0.663,2.986,2.48,5.642,5.489,7.731,7.218,7.941,8.083,8.095,9.056,8.385,12.383,11.076,13.746,11.231,10.418,10.932,8.125,9.825,4.934,7.2,5.739
"AR DIFF(P-B)",6.532,2.555,2.85,9.764,3.385,10.176,4.455,4.53,3.606,5.58,3.752,4.551,4.01,1.662,0.192,1.719,1.689,1.996,1.364,0.0149999999999999,-0.761,2.362,2.54,1.531,2.253,3.045,2.541,0.383999999999999,-0.385,0.766,-0.193999999999999,-0.169,-0.997,-0.631,0.251999999999999,0.401999999999999,1.461,-0.368,0.624000000000001,-2.034,0.566,-1.152,-0.139
"P Volatility",9.14,8.2,8.83,9.64,8.45,9.44,8.31,8.27,8.94,8.3,8.53,8.55,8.59,14.37,15.92,14.75,14.64,15.49,15.64,15.32,14.62,17.52,16.52,18.06,17.96,17.47,17.37,17.56,17.33,17.59,18.13,17.86,17.97,16.92,16.85,15.17,16.73,16.22,16.61,15.7,15.65,16.62,17.51
"B Volatility",9.85,9.77,9.89,10.08,9.9,9.9,9.9,9.93,9.91,10.05,10.07,10.15,10.54,14.95,15.84,15.95,15.94,16.22,16.15,16.15,16.28,17.18,17.16,17.02,17.05,17.07,17.05,17.09,17.11,17.09,17.05,16.5,16.74,16.18,15.55,15.56,15.58,15.59,15.64,15.72,16.46,16.47,16.47
"V DIFF(P-B)",-0.709999999999999,-1.57,-1.06,-0.44,-1.45,-0.460000000000001,-1.59,-1.66,-0.970000000000001,-1.75,-1.54,-1.6,-1.95,-0.58,0.0800000000000001,-1.2,-1.3,-0.729999999999999,-0.509999999999998,-0.829999999999998,-1.66,0.34,-0.640000000000001,1.04,0.91,0.399999999999999,0.32,0.469999999999999,0.219999999999999,0.5,1.08,1.36,1.23,0.740000000000002,1.3,-0.390000000000001,1.15,0.629999999999999,0.969999999999999,-0.0200000000000014,-0.81,0.150000000000002,1.04
"P Tracking Error",5.46,4.08,3.58,5.61,4.53,5.97,5,4.99,3.99,5.59,5.27,4.89,4.76,3.67,3.41,4.54,5.45,4.1,4.34,3.99,4.11,5.48,5.86,5.67,5.49,7.41,6.33,5.3,6.91,6.19,5.53,5.63,6.15,6.61,6.77,7.45,8.8,8.6,5.98,4.97,5.52,5.66,6.16
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.2,0.63,0.8,1.74,0.75,1.7,0.89,0.91,0.9,1,0.71,0.93,0.84,0.45,0.06,0.38,0.31,0.49,0.31,0,-0.19,0.43,0.43,0.27,0.41,0.41,0.4,0.07,-0.06,0.12,-0.04,-0.03,-0.16,-0.1,0.04,0.05,0.17,-0.04,0.1,-0.41,0.1,-0.2,-0.02
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.59,0.37,0.24,0.83,0.36,0.87,0.5,0.45,0.38,0.53,0.4,0.36,0.29,-0.02,0.04,0.09,0.18,0.13,0.22,0.05,-0.07,0.2,0.2,0.09,0.03,0.29,0.24,0.08,0.06,0.14,0.02,-0.08,-0.15,-0.09,0.05,0.19,0.12,0.18,-0.01,-0.07,0.04,-0.01,0
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.78,0.76,0.83,0.8,0.76,0.77,0.72,0.72,0.83,0.69,0.72,0.74,0.73,0.93,0.98,0.89,0.86,0.92,0.93,0.92,0.87,0.97,0.91,1.01,1,0.93,0.95,0.98,0.93,0.96,1.01,1.03,1.01,0.96,0.99,0.86,0.92,0.89,0.99,0.95,0.9,0.95,1
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",69.18,82.59,86.68,69.52,78.53,64.69,73.72,74.07,83.3,68.1,71.76,76.2,79.68,93.79,95.31,91.78,88.02,93.44,92.57,93.74,93.96,90.01,88.05,89.84,90.36,81.93,86.57,90.67,84.08,87.37,90.44,89.83,87.95,84.38,83.37,77.24,72.09,72.21,86.64,89.93,88.43,88.29,87.24
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-13.9767,-11.4638,-12.4345,-11.819,-11.331,-11.6621,-10.8514,-10.7978,-12.9284,-12.3916,-12.5637,-13.6781,-12.517,-31.6818,-33.0362,-30.6945,-29.6903,-30.9308,-31.4353,-32.9594,-31.585,-31.8404,-30.3302,-32.9101,-32.2691,-30.6139,-30.6259,-31.9636,-30.4426,-31.8206,-34.5148,-34.8274,-33.2328,-31.5492,-31.4186,-28.3591,-30.0395,-29.5004,-31.4277,-30.903,-29.8747,-30.8714,-31.8067
"B Max Drawdown",-13.4447,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-13.4446,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265
"MD DIFF(P-B)",-0.532,1.9808,1.0101,1.6256,2.1136,1.7825,2.5932,2.6468,0.5162,1.053,0.880899999999999,-0.233500000000001,0.9276,4.0447,2.6903,5.032,6.0362,4.7957,4.2912,2.7671,4.1415,3.8861,5.3963,2.8164,3.4574,5.1126,5.1006,3.7629,5.2839,3.9059,1.2117,0.899100000000004,2.4937,4.1773,4.3079,7.3674,5.687,6.2261,4.2988,4.8235,5.8518,4.8551,3.9198
