"","1 Y 2016-05-30 to 2017-06-04","1 Y 2016-06-30 to 2017-07-05","1 Y 2016-08-02 to 2017-08-04","1 Y 2016-08-30 to 2017-09-04","1 Y 2016-09-30 to 2017-10-05","1 Y 2016-10-31 to 2017-11-04","1 Y 2016-11-30 to 2017-12-05","1 Y 2016-12-30 to 2018-01-04","1 Y 2017-01-30 to 2018-02-04","1 Y 2017-03-02 to 2018-03-07","1 Y 2017-03-30 to 2018-04-04","1 Y 2017-05-01 to 2018-05-05","1 Y 2017-05-30 to 2018-06-04","1 Y 2017-06-30 to 2018-07-05","1 Y 2017-07-31 to 2018-08-04","1 Y 2017-08-30 to 2018-09-04","1 Y 2017-10-02 to 2018-10-05","1 Y 2017-10-30 to 2018-11-04","1 Y 2017-11-30 to 2018-12-05","1 Y 2018-01-02 to 2019-01-04","1 Y 2018-01-30 to 2019-02-04","1 Y 2018-03-02 to 2019-03-07","1 Y 2018-04-02 to 2019-04-04","1 Y 2018-04-30 to 2019-05-05","1 Y 2018-05-30 to 2019-06-04","1 Y 2018-07-03 to 2019-07-05","1 Y 2018-07-30 to 2019-08-04","1 Y 2018-08-30 to 2019-09-04","1 Y 2018-10-01 to 2019-10-05","1 Y 2018-10-30 to 2019-11-04","1 Y 2018-11-30 to 2019-12-05","1 Y 2018-12-31 to 2020-01-04","1 Y 2019-01-30 to 2020-02-04","1 Y 2019-03-04 to 2020-03-07","1 Y 2019-04-01 to 2020-04-04","1 Y 2019-04-30 to 2020-05-05","1 Y 2019-05-30 to 2020-06-04","1 Y 2019-07-02 to 2020-07-05","1 Y 2019-07-30 to 2020-08-04","1 Y 2019-08-30 to 2020-09-04","1 Y 2019-09-30 to 2020-10-05","1 Y 2019-10-30 to 2020-11-04","1 Y 2019-12-02 to 2020-12-05","1 Y 2019-12-30 to 2021-01-04","1 Y 2020-01-30 to 2021-02-04","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-04","1 Y 2020-04-30 to 2021-05-05","1 Y 2020-06-01 to 2021-06-04","1 Y 2020-06-30 to 2021-07-05","1 Y 2020-07-30 to 2021-08-04","1 Y 2020-08-31 to 2021-09-04","1 Y 2020-09-30 to 2021-10-05","1 Y 2020-10-30 to 2021-11-04","1 Y 2020-11-30 to 2021-12-05","1 Y 2020-12-30 to 2022-01-04","1 Y 2021-02-01 to 2022-02-04","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-03-30 to 2022-04-04","1 Y 2021-04-30 to 2022-05-05","1 Y 2021-05-31 to 2022-06-04","1 Y 2021-06-30 to 2022-07-05","1 Y 2021-07-30 to 2022-08-04","1 Y 2021-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",17.847,17.605,8.713,5.733,17.596,18.741,10.77,8.913,8.098,2.543,1.058,1.637,0.287,6.95,8.684,5.417,3.058,-4.203,0.33,-6.861,0.668,7.614,10.275,8.044,5.042,6.478,2.046,1.768,7.316,11.299,10.958,22.253,15.793,8.552,-13.034,1.974,6.1,1.191,-0.967,-7.845,-7.15,-7.094,-2.05,0.209,-4.006,7.062,44.149,33.287,36.367,35.961,29.787,29.258,30.325,37.041,20.075,21.903,21.299,25.875,11.462,7.806,-1.552,-6.756,-0.037,-3.099
"B Annualized Returns",11.206,7.356,6.331,4.837,9.267,10.333,6.784,6.896,3.305,-0.576,-2.299,0.623,4.862,8.363,8.504,9.509,2.561,-4.796,-4.408,-12.237,-1.605,4.475,8.311,6.856,1.131,2.935,0.222,1.989,2.667,10.195,11.342,18.428,11.189,2.8,-17.583,-9.945,-2.763,-5.199,-0.145,0.595,-0.6,-4.948,2.624,2.414,1.49,7.844,36.256,28.093,26.722,28.898,24.729,24.224,22.484,34.803,21.595,24.073,20.919,18.085,18.397,12.025,6.391,-4.935,-3.383,-6.522
"AR DIFF(P-B)",6.641,10.249,2.382,0.896,8.329,8.408,3.986,2.017,4.793,3.119,3.357,1.014,-4.575,-1.413,0.18,-4.092,0.497,0.593,4.738,5.376,2.273,3.139,1.964,1.188,3.911,3.543,1.824,-0.221,4.649,1.104,-0.384,3.825,4.604,5.752,4.549,11.919,8.863,6.39,-0.822,-8.44,-6.55,-2.146,-4.674,-2.205,-5.496,-0.782,7.893,5.194,9.645,7.063,5.058,5.034,7.841,2.238,-1.52,-2.17,0.379999999999999,7.79,-6.935,-4.219,-7.943,-1.821,3.346,3.423
"P Volatility",4.66,5.32,4.37,5.16,6.72,6.35,6.29,5.82,6.67,7.4,6.78,6.28,7.29,5.37,6.73,6.51,5.88,6.62,7.95,8.78,8.58,12.12,10.61,11.46,11.2,11.65,10.65,12.44,10.77,10.73,7.69,5.55,4.82,8.37,20.23,22.86,23.54,22.84,22.29,25.31,27.45,25.66,27.99,28.31,26.06,14.43,15.16,15.1,13.63,14.93,14.05,14.01,13.54,9.8,11,10.71,11.35,8.69,9.64,9.77,11.34,12.1,12.67,12.58
"B Volatility",4.75,4.03,4.17,4.17,4.99,5.31,4.94,4.94,5.42,6.49,6.75,7.31,7.31,7.64,7.76,7.76,7.06,10.28,10.57,12.45,12.45,15.74,15.58,15.59,15.97,15.85,15.83,15.77,13.41,13.41,10.7,6.92,6.93,8.86,20.42,22.97,23.32,23.32,23.32,24.01,24.12,23.95,26.16,26.16,25.51,14.1,14.1,12.19,12.09,12.18,11.63,10.62,9.98,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,12.97,13,12.83
"V DIFF(P-B)",-0.0899999999999999,1.29,0.2,0.99,1.73,1.04,1.35,0.88,1.25,0.91,0.0300000000000002,-1.03,-0.0199999999999996,-2.27,-1.03,-1.25,-1.18,-3.66,-2.62,-3.67,-3.87,-3.62,-4.97,-4.13,-4.77,-4.2,-5.18,-3.33,-2.64,-2.68,-3.01,-1.37,-2.11,-0.49,-0.190000000000001,-0.109999999999999,0.219999999999999,-0.48,-1.03,1.3,3.33,1.71,1.83,2.15,0.549999999999997,0.33,1.06,2.91,1.54,2.75,2.42,3.39,3.56,2.58,2.63,2.34,2.67,0,0.950000000000001,-0.15,1.31,-0.870000000000001,-0.33,-0.25
"P Tracking Error",5.55,6.05,4.26,5.74,6.85,5.96,4.77,4.56,4,4.62,4.14,3.2,3.92,3.57,3.34,3.9,3.5,5.23,5.46,5.05,5.33,5.06,6.29,5.65,5.98,6.48,5.74,4.57,3.41,3.65,4.36,5.76,5.87,5.84,5.72,7.29,9.65,9.05,4.46,3.34,4.87,4.01,4.41,4.4,3.69,3.27,3.92,7.37,5.83,5.49,6.57,8.05,6.63,8.36,7.96,8.43,8.48,6.69,5.81,5.77,4.85,5.71,6.27,6.93
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
