"","1 Y 2016-05-30 to 2017-06-04","1 Y 2016-06-30 to 2017-07-05","1 Y 2016-08-02 to 2017-08-04","1 Y 2016-08-30 to 2017-09-04","1 Y 2016-09-30 to 2017-10-05","1 Y 2016-10-31 to 2017-11-04","1 Y 2016-11-30 to 2017-12-05","1 Y 2016-12-30 to 2018-01-04","1 Y 2017-01-30 to 2018-02-04","1 Y 2017-03-02 to 2018-03-07","1 Y 2017-03-30 to 2018-04-04","1 Y 2017-05-01 to 2018-05-05","1 Y 2017-05-30 to 2018-06-04","1 Y 2017-06-30 to 2018-07-05","1 Y 2017-07-31 to 2018-08-04","1 Y 2017-08-30 to 2018-09-04","1 Y 2017-10-02 to 2018-10-05","1 Y 2017-10-30 to 2018-11-04","1 Y 2017-11-30 to 2018-12-05","1 Y 2018-01-02 to 2019-01-04","1 Y 2018-01-30 to 2019-02-04","1 Y 2018-03-02 to 2019-03-07","1 Y 2018-04-02 to 2019-04-04","1 Y 2018-04-30 to 2019-05-05","1 Y 2018-05-30 to 2019-06-04","1 Y 2018-07-03 to 2019-07-05","1 Y 2018-07-30 to 2019-08-04","1 Y 2018-08-30 to 2019-09-04","1 Y 2018-10-01 to 2019-10-05","1 Y 2018-10-30 to 2019-11-04","1 Y 2018-11-30 to 2019-12-05","1 Y 2018-12-31 to 2020-01-04","1 Y 2019-01-30 to 2020-02-04","1 Y 2019-03-04 to 2020-03-07","1 Y 2019-04-01 to 2020-04-04","1 Y 2019-04-30 to 2020-05-05","1 Y 2019-05-30 to 2020-06-04","1 Y 2019-07-02 to 2020-07-05","1 Y 2019-07-30 to 2020-08-04","1 Y 2019-08-30 to 2020-09-04","1 Y 2019-09-30 to 2020-10-05","1 Y 2019-10-30 to 2020-11-04","1 Y 2019-12-02 to 2020-12-05","1 Y 2019-12-30 to 2021-01-04","1 Y 2020-01-30 to 2021-02-04","1 Y 2020-03-02 to 2021-03-06","1 Y 2020-03-30 to 2021-04-04","1 Y 2020-04-30 to 2021-05-05","1 Y 2020-06-01 to 2021-06-04","1 Y 2020-06-30 to 2021-07-05","1 Y 2020-07-30 to 2021-08-04","1 Y 2020-08-31 to 2021-09-04","1 Y 2020-09-30 to 2021-10-05","1 Y 2020-10-30 to 2021-11-04","1 Y 2020-11-30 to 2021-12-05","1 Y 2020-12-30 to 2022-01-04","1 Y 2021-02-01 to 2022-02-04","1 Y 2021-03-02 to 2022-03-07","1 Y 2021-03-30 to 2022-04-04","1 Y 2021-04-30 to 2022-05-05","1 Y 2021-05-31 to 2022-06-04","1 Y 2021-06-30 to 2022-07-05","1 Y 2021-07-30 to 2022-08-04","1 Y 2021-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",33.904,18.062,7.967,32.236,21.6,12.128,17.067,39.634,19.956,36.857,23.252,32.972,56.319,52.475,43.62,62.242,40.772,18.101,13.219,-3.002,23.336,17.01,29.11,22.929,2.591,6.435,18.688,18.958,11.975,20.05,23.961,30.64,26.383,12.683,-12.689,2.48,1.288,9.29,32.002,28.188,49.76,45.059,35.194,25.939,20.276,11.167,35.631,4.02,13.457,7.383,3.496,23.533,-0.045,7.175,5.437,10.596,2.683,4.831,36.173,17.339,32.264,10.601,16.864,8.12
"B Annualized Returns",11.206,7.356,6.331,4.837,9.267,10.333,6.784,6.896,3.305,-0.576,-2.299,0.623,4.862,8.363,8.504,9.509,2.561,-4.796,-4.408,-12.237,-1.605,4.475,8.311,6.856,1.131,2.935,0.222,1.989,2.667,10.195,11.342,18.428,11.189,2.8,-17.583,-9.945,-2.763,-5.199,-0.145,0.595,-0.6,-4.948,2.624,2.414,1.49,7.844,36.256,28.093,26.722,28.898,24.729,24.224,22.484,34.803,21.595,24.073,20.919,18.085,18.397,12.025,6.391,-4.935,-3.383,-6.522
"AR DIFF(P-B)",22.698,10.706,1.636,27.399,12.333,1.795,10.283,32.738,16.651,37.433,25.551,32.349,51.457,44.112,35.116,52.733,38.211,22.897,17.627,9.235,24.941,12.535,20.799,16.073,1.46,3.5,18.466,16.969,9.308,9.855,12.619,12.212,15.194,9.883,4.894,12.425,4.051,14.489,32.147,27.593,50.36,50.007,32.57,23.525,18.786,3.323,-0.625,-24.073,-13.265,-21.515,-21.233,-0.690999999999999,-22.529,-27.628,-16.158,-13.477,-18.236,-13.254,17.776,5.314,25.873,15.536,20.247,14.642
"P Volatility",14.21,17.03,16.65,18.11,17.72,17.94,14.36,15.84,14.31,10.57,13.26,13.77,16.42,17.26,17.78,18.21,20.2,21.36,17.83,17.62,19.76,28.64,30.33,29.65,28.76,27.95,28.19,24.07,20.12,21.68,18.77,8.81,10.66,12.32,22.31,36.95,31.89,32.02,38.26,33.82,29.1,36.31,38.42,35.9,37.68,29.99,26.48,15.96,17.05,11.96,12.42,13.52,14.34,15.44,14.72,13.66,15.44,12.48,14.09,11.6,14.76,22.14,23.27,23.61
"B Volatility",4.75,4.03,4.17,4.17,4.99,5.31,4.94,4.94,5.42,6.49,6.75,7.31,7.31,7.64,7.76,7.76,7.06,10.28,10.57,12.45,12.45,15.74,15.58,15.59,15.97,15.85,15.83,15.77,13.41,13.41,10.7,6.92,6.93,8.86,20.42,22.97,23.32,23.32,23.32,24.01,24.12,23.95,26.16,26.16,25.51,14.1,14.1,12.19,12.09,12.18,11.63,10.62,9.98,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,12.97,13,12.83
"V DIFF(P-B)",9.46,13,12.48,13.94,12.73,12.63,9.42,10.9,8.89,4.08,6.51,6.46,9.11,9.62,10.02,10.45,13.14,11.08,7.26,5.17,7.31,12.9,14.75,14.06,12.79,12.1,12.36,8.3,6.71,8.27,8.07,1.89,3.73,3.46,1.89,13.98,8.57,8.7,14.94,9.81,4.98,12.36,12.26,9.74,12.17,15.89,12.38,3.77,4.96,-0.219999999999999,0.789999999999999,2.9,4.36,8.22,6.35,5.29,6.76,3.79,5.4,1.68,4.73,9.17,10.27,10.78
"P Tracking Error",14.21,16.71,16.47,18.25,18.6,17.53,15.09,15.61,14.29,10.66,12.77,14.32,17.15,16.26,18.64,18.94,21.32,18.43,15.88,13.13,14.76,17.72,18.65,18.28,16.72,15.43,13.82,9.57,11.53,12.43,12.37,8.35,10.12,10,9.9,17.8,13.4,13.94,23.82,22.9,22.07,22.84,27.21,23.51,27.72,23.36,20.67,17,17.23,16.7,15.46,12.62,15.14,10.43,9.92,8.58,10.27,5.57,13.4,6.2,14.19,14.9,15.73,15.21
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
