"","1 Y 2015-08-28 to 2016-09-02","1 Y 2015-09-28 to 2016-10-03","1 Y 2015-10-28 to 2016-11-02","1 Y 2015-11-30 to 2016-12-03","1 Y 2015-12-29 to 2017-01-02","1 Y 2016-01-28 to 2017-02-02","1 Y 2016-02-29 to 2017-03-05","1 Y 2016-03-28 to 2017-04-02","1 Y 2016-04-28 to 2017-05-03","1 Y 2016-05-30 to 2017-06-02","1 Y 2016-06-28 to 2017-07-03","1 Y 2016-07-28 to 2017-08-02","1 Y 2016-08-29 to 2017-09-02","1 Y 2016-09-28 to 2017-10-03","1 Y 2016-10-28 to 2017-11-02","1 Y 2016-11-28 to 2017-12-03","1 Y 2016-12-28 to 2018-01-02","1 Y 2017-01-30 to 2018-02-02","1 Y 2017-02-28 to 2018-03-05","1 Y 2017-03-28 to 2018-04-02","1 Y 2017-04-28 to 2018-05-03","1 Y 2017-05-29 to 2018-06-02","1 Y 2017-06-28 to 2018-07-03","1 Y 2017-07-28 to 2018-08-02","1 Y 2017-08-28 to 2018-09-02","1 Y 2017-09-28 to 2018-10-03","1 Y 2017-10-30 to 2018-11-02","1 Y 2017-11-28 to 2018-12-03","1 Y 2017-12-28 to 2019-01-02","1 Y 2018-01-29 to 2019-02-02","1 Y 2018-02-28 to 2019-03-05","1 Y 2018-03-28 to 2019-04-02","1 Y 2018-04-30 to 2019-05-03","1 Y 2018-05-28 to 2019-06-02","1 Y 2018-06-28 to 2019-07-03","1 Y 2018-07-30 to 2019-08-02","1 Y 2018-08-28 to 2019-09-02","1 Y 2018-09-28 to 2019-10-03","1 Y 2018-10-29 to 2019-11-02","1 Y 2018-11-28 to 2019-12-03","1 Y 2018-12-28 to 2020-01-02","1 Y 2019-01-28 to 2020-02-02","1 Y 2019-02-28 to 2020-03-04","1 Y 2019-03-28 to 2020-04-02","1 Y 2019-04-29 to 2020-05-03","1 Y 2019-05-28 to 2020-06-02","1 Y 2019-06-28 to 2020-07-03","1 Y 2019-07-29 to 2020-08-02","1 Y 2019-08-28 to 2020-09-02","1 Y 2019-09-30 to 2020-10-03","1 Y 2019-10-28 to 2020-11-02","1 Y 2019-11-28 to 2020-12-03","1 Y 2019-12-30 to 2021-01-02","1 Y 2020-01-28 to 2021-02-02","1 Y 2020-02-28 to 2021-03-05","1 Y 2020-03-30 to 2021-04-02","1 Y 2020-04-28 to 2021-05-03","1 Y 2020-05-28 to 2021-06-02","1 Y 2020-06-29 to 2021-07-03","1 Y 2020-07-28 to 2021-08-02","1 Y 2020-08-28 to 2021-09-02","1 Y 2020-09-28 to 2021-10-03","1 Y 2020-10-28 to 2021-11-02","1 Y 2020-11-30 to 2021-12-03","1 Y 2020-12-29 to 2022-01-02","1 Y 2021-01-28 to 2022-02-02","1 Y 2021-03-01 to 2022-03-05","1 Y 2021-03-29 to 2022-04-02","1 Y 2021-04-28 to 2022-05-03","1 Y 2021-05-28 to 2022-06-02","1 Y 2021-06-28 to 2022-07-03","1 Y 2021-07-28 to 2022-08-02","1 Y 2021-08-30 to 2022-09-02"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",47.851,43.059,43.11,56.5,44.31,67.438,37.807,32.837,26.6,26.687,9.211,10.443,15.268,18.342,14.076,12.141,17.511,11.061,6.988,9.6,18.043,22.121,29.131,12.03,27,22.219,8.985,4.492,-2.879,7.932,10.979,21.548,14.712,4.238,11.913,14.008,17.462,19.628,15.399,14.858,23.091,18.109,10.341,-17.929,9.611,1.323,4.386,11.869,11.094,3.911,-1.578,15.047,11.56,7.533,23.551,71.825,37.701,38.344,36.228,30.682,27.61,37.704,49.539,18.469,25.937,28.258,25,19.864,15.634,1.689,-6.658,-9.058,-6.756
"B Annualized Returns",7.33,9.628,8.352,11.521,17.484,24.252,20.245,15.865,13.629,11.206,9.71,6.477,4.837,8.114,9.158,7.177,5.936,3.305,-0.839,-2.523,0.231,4.862,6.03,8.959,9.509,2.642,-4.796,-3.461,-11.26,-1.605,3.983,7.655,6.856,1.744,2.391,0.222,0.613,2.663,10.195,10.635,18.456,12.697,2.419,-18.804,-9.981,-4.161,-5.199,-0.145,1.964,-0.6,-5.489,2.524,2.414,0.84,7.844,36.256,24.739,30.083,30.327,24.698,24.023,24.406,36.985,21.595,24.073,23.933,18.085,18.397,9.748,4.796,-4.142,-3.167,-6.522
"AR DIFF(P-B)",40.521,33.431,34.758,44.979,26.826,43.186,17.562,16.972,12.971,15.481,-0.499000000000001,3.966,10.431,10.228,4.918,4.964,11.575,7.756,7.827,12.123,17.812,17.259,23.101,3.071,17.491,19.577,13.781,7.953,8.381,9.537,6.996,13.893,7.856,2.494,9.522,13.786,16.849,16.965,5.204,4.223,4.635,5.412,7.922,0.875,19.592,5.484,9.585,12.014,9.13,4.511,3.911,12.523,9.146,6.693,15.707,35.569,12.962,8.261,5.901,5.984,3.587,13.298,12.554,-3.126,1.864,4.325,6.915,1.467,5.886,-3.107,-2.516,-5.891,-0.234
"P Volatility",18.26,19.12,17.65,12.82,14.26,20.24,12.04,13.71,8.97,10.78,7,9.19,9.03,6.69,6.14,5.68,6.15,7.11,4.69,7.83,7.97,8.88,9.64,7.97,9.26,10.79,12.01,11.4,9.01,10.01,14.28,15.94,13.75,13.32,14.83,15.17,11.44,12.83,12.29,12.37,7.24,6.94,9.98,22.89,21.5,33.62,30.61,35.35,32.94,28.44,30.08,36.42,30.28,30.74,20.38,24.32,15.65,17.6,14.23,14.74,11.65,16.36,12.24,12.58,12.07,12.3,10.49,9.15,10.55,10.35,11.19,15.75,15.35
"B Volatility",10.16,10.16,8.81,8.1,8.1,5.5,4.59,4.59,4.61,4.75,4.75,4.17,4.17,4.99,5.31,5.31,4.94,5.42,6.49,6.49,7.31,7.31,7.74,7.76,7.76,7.06,10.28,10.28,10.57,12.45,15.74,15.58,15.59,15.59,15.85,15.83,15.83,13.41,13.41,10.7,7.06,6.92,8.86,20.42,21.46,23.32,23.32,23.32,24.01,24.12,24.12,26.16,26.16,25.51,14.1,14.1,12.27,12.09,12.09,11.57,10.62,10.62,7.22,8.37,8.37,8.68,8.69,8.69,9.92,10.03,10.03,12.97,12.83
"V DIFF(P-B)",8.1,8.96,8.84,4.72,6.16,14.74,7.45,9.12,4.36,6.03,2.25,5.02,4.86,1.7,0.83,0.37,1.21,1.69,-1.8,1.34,0.66,1.57,1.9,0.21,1.5,3.73,1.73,1.12,-1.56,-2.44,-1.46,0.359999999999999,-1.84,-2.27,-1.02,-0.66,-4.39,-0.58,-1.12,1.67,0.180000000000001,0.0200000000000005,1.12,2.47,0.0399999999999991,10.3,7.29,12.03,8.93,4.32,5.96,10.26,4.12,5.23,6.28,10.22,3.38,5.51,2.14,3.17,1.03,5.74,5.02,4.21,3.7,3.62,1.8,0.460000000000001,0.630000000000001,0.32,1.16,2.78,2.52
"P Tracking Error",14.25,15.18,14.53,10.18,11.57,19.63,11.52,12.67,9.02,10.18,6.37,8.87,8.59,7.67,6.86,6.48,6.34,5.83,4.49,4.35,6.69,7.23,7.06,6.27,7.93,10.16,8.93,8.21,7.17,6.16,6.67,6.14,5.37,6.77,3.26,4.09,7.62,10.57,7.92,5.99,5.95,7.73,7.37,6.48,7.76,14.45,13.33,17.79,14.55,10.44,8.66,14.92,8.95,8.37,11.05,13.42,6.09,8.06,6.75,6.75,5.89,9.46,9.43,8.36,8.76,9.7,8.17,7.04,7.42,3.96,4.83,5.23,5.07
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
