"","2 Y 2016-11-29 to 2018-12-04","2 Y 2016-12-29 to 2019-01-03","2 Y 2017-01-30 to 2019-02-03","2 Y 2017-03-01 to 2019-03-06","2 Y 2017-03-29 to 2019-04-03","2 Y 2017-05-01 to 2019-05-04","2 Y 2017-05-29 to 2019-06-03","2 Y 2017-06-29 to 2019-07-04","2 Y 2017-07-31 to 2019-08-03","2 Y 2017-08-29 to 2019-09-03","2 Y 2017-09-29 to 2019-10-04","2 Y 2017-10-30 to 2019-11-03","2 Y 2017-11-29 to 2019-12-04","2 Y 2017-12-29 to 2020-01-03","2 Y 2018-01-29 to 2020-02-03","2 Y 2018-03-01 to 2020-03-06","2 Y 2018-03-29 to 2020-04-03","2 Y 2018-04-30 to 2020-05-04","2 Y 2018-05-29 to 2020-06-03","2 Y 2018-06-29 to 2020-07-04","2 Y 2018-07-30 to 2020-08-03","2 Y 2018-08-29 to 2020-09-03","2 Y 2018-10-01 to 2020-10-04","2 Y 2018-10-29 to 2020-11-03","2 Y 2018-11-29 to 2020-12-04","2 Y 2018-12-31 to 2021-01-03","2 Y 2019-01-29 to 2021-02-03","2 Y 2019-03-01 to 2021-03-06","2 Y 2019-03-29 to 2021-04-03","2 Y 2019-04-29 to 2021-05-04","2 Y 2019-05-29 to 2021-06-03","2 Y 2019-07-02 to 2021-07-04","2 Y 2019-07-29 to 2021-08-03","2 Y 2019-08-29 to 2021-09-03","2 Y 2019-09-30 to 2021-10-04","2 Y 2019-10-29 to 2021-11-03","2 Y 2019-11-29 to 2021-12-04","2 Y 2019-12-30 to 2022-01-03","2 Y 2020-01-29 to 2022-02-03","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-03-30 to 2022-04-03","2 Y 2020-04-29 to 2022-05-04","2 Y 2020-05-29 to 2022-06-03","2 Y 2020-06-29 to 2022-07-04","2 Y 2020-07-29 to 2022-08-03","2 Y 2020-08-31 to 2022-09-03"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",5.651,0.2,8.306,6.269,5.291,6.042,5.443,7.257,6.859,9.069,6.745,4.132,5.505,5.615,8.682,7.692,-1.205,-0.011,1.385,0.889,2.539,0.496,1.018,3.015,4.867,10.935,5.717,5.658,6.332,7.337,8.857,8.821,8.638,9.351,9.617,12.365,6.562,10.385,7.527,12.103,27.127,21.421,13.439,13.734,12.446,11.471
"B Annualized Returns",1.873,-2.671,1.097,1.845,2.808,3.49,3.151,5.602,4.499,5.085,2.701,2.046,3.169,2.707,5.111,3.634,-5.519,-1.692,-0.911,-1.131,-0.055,2.172,1.018,1.773,6.894,10.099,6.617,6.101,7.445,7.657,11.583,10.85,11.372,12.761,10.527,13.001,11.653,12.71,11.978,14.648,27.013,19.128,16.804,11.772,9.582,7.673
"AR DIFF(P-B)",3.778,2.871,7.209,4.424,2.483,2.552,2.292,1.655,2.36,3.984,4.044,2.086,2.336,2.908,3.571,4.058,4.314,1.681,2.296,2.02,2.594,-1.676,0,1.242,-2.027,0.836,-0.9,-0.443,-1.113,-0.32,-2.726,-2.029,-2.734,-3.41,-0.909999999999998,-0.635999999999999,-5.091,-2.325,-4.451,-2.545,0.113999999999997,2.293,-3.365,1.962,2.864,3.798
"P Volatility",6.62,8.04,8.5,10.05,9.7,10.11,10.07,9.38,9.8,9.3,8.33,9.12,8.61,9.21,9.13,9.88,16.26,15.84,19.82,18.18,18.1,18.81,18.09,18.21,18.82,20.81,19.01,19.19,19.09,18.75,19.22,19.47,19.07,19.03,22.34,18.3,19.83,19.76,17.89,12,13.71,12.94,12.7,12.64,14.52,14.29
"B Volatility",8.02,9.4,9.4,11.64,11.65,11.8,11.8,11.98,11.98,11.98,11.72,11.72,12.03,11.96,11.96,12.2,17.88,18.1,19.09,19.02,19.02,19.41,18.73,18.88,19.24,18.69,18.22,18.35,18.68,18.19,18.25,18.67,18.28,18.25,18.6,18.58,18.67,18.67,18.31,11.45,11.45,10.88,11.12,11.12,12.42,12.26
"V DIFF(P-B)",-1.4,-1.36,-0.9,-1.59,-1.95,-1.69,-1.73,-2.6,-2.18,-2.68,-3.39,-2.6,-3.42,-2.75,-2.83,-2.32,-1.62,-2.26,0.73,-0.84,-0.919999999999998,-0.600000000000001,-0.640000000000001,-0.669999999999998,-0.419999999999998,2.12,0.790000000000003,0.84,0.41,0.559999999999999,0.969999999999999,0.799999999999997,0.789999999999999,0.780000000000001,3.74,-0.279999999999998,1.16,1.09,-0.419999999999998,0.550000000000001,2.26,2.06,1.58,1.52,2.1,2.03
"P Tracking Error",4.38,4.26,4.79,4.06,4.26,4.04,3.99,4.75,3.91,4.88,6.29,4.2,5.4,4.41,4.86,4.93,5.31,4.52,7.46,6.5,5.44,4.18,3.85,3.98,3.32,6.49,5.22,4.06,3.59,4.67,7.52,9.92,8.58,5.94,8.45,7.63,7.99,5.8,6.75,6.06,6.24,5.86,6.64,6.29,6.14,6.21
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
