"","2 Y 2016-03-01 to 2018-03-06","2 Y 2016-04-01 to 2018-04-06","2 Y 2016-05-02 to 2018-05-06","2 Y 2016-06-01 to 2018-06-06","2 Y 2016-07-04 to 2018-07-06","2 Y 2016-08-02 to 2018-08-06","2 Y 2016-09-01 to 2018-09-06","2 Y 2016-10-03 to 2018-10-06","2 Y 2016-11-01 to 2018-11-06","2 Y 2016-12-01 to 2018-12-06","2 Y 2017-01-03 to 2019-01-06","2 Y 2017-02-01 to 2019-02-06","2 Y 2017-03-01 to 2019-03-06","2 Y 2017-04-03 to 2019-04-06","2 Y 2017-05-01 to 2019-05-06","2 Y 2017-06-01 to 2019-06-06","2 Y 2017-07-04 to 2019-07-06","2 Y 2017-08-01 to 2019-08-06","2 Y 2017-09-01 to 2019-09-06","2 Y 2017-10-02 to 2019-10-06","2 Y 2017-11-01 to 2019-11-06","2 Y 2017-12-01 to 2019-12-06","2 Y 2018-01-02 to 2020-01-06","2 Y 2018-02-01 to 2020-02-06","2 Y 2018-03-01 to 2020-03-06","2 Y 2018-04-02 to 2020-04-06","2 Y 2018-05-01 to 2020-05-06","2 Y 2018-06-01 to 2020-06-06","2 Y 2018-07-03 to 2020-07-06","2 Y 2018-08-01 to 2020-08-06","2 Y 2018-09-04 to 2020-09-06","2 Y 2018-10-01 to 2020-10-06","2 Y 2018-11-01 to 2020-11-06","2 Y 2018-12-03 to 2020-12-06","2 Y 2019-01-02 to 2021-01-06","2 Y 2019-02-01 to 2021-02-06","2 Y 2019-03-01 to 2021-03-06","2 Y 2019-04-01 to 2021-04-06","2 Y 2019-05-01 to 2021-05-06","2 Y 2019-06-03 to 2021-06-06","2 Y 2019-07-02 to 2021-07-06","2 Y 2019-08-01 to 2021-08-06","2 Y 2019-09-03 to 2021-09-06","2 Y 2019-10-01 to 2021-10-06","2 Y 2019-11-01 to 2021-11-06","2 Y 2019-12-02 to 2021-12-06","2 Y 2020-01-02 to 2022-01-06","2 Y 2020-02-03 to 2022-02-06","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-04-01 to 2022-04-06","2 Y 2020-05-01 to 2022-05-06","2 Y 2020-06-01 to 2022-06-06","2 Y 2020-07-02 to 2022-07-06","2 Y 2020-08-04 to 2022-08-06","2 Y 2020-09-01 to 2022-09-06"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",24.793,26.534,20.371,12.366,26.822,9.932,3.031,5.497,12.242,7.188,2.571,5.027,4.901,7.57,1.185,0.947,6.129,5.161,17.379,5.396,7.711,6.185,5.419,14.276,16.501,7.44,16.081,20.813,4.67,19.435,35.772,33.102,21.274,14.006,15.076,6.42,5.809,6.886,15.254,17.614,11.691,18.879,23.871,19.584,18.871,12.205,15.244,20.647,27.697,74.625,57.63,43.615,38.745,36.669,39.748
"B Annualized Returns",9.399,7.945,7.269,6.934,7.909,7.801,5.631,5.861,2.82,1.582,-3.142,1.458,1.845,2.701,3.49,3.429,5.614,4.499,5.84,2.701,2.506,3.102,2.707,7.739,3.634,-5.519,-2.048,-0.813,-1.131,1.006,1.396,1.683,3.185,6.894,9.901,6.764,6.101,7.972,7.794,11.005,10.616,12.824,12.761,11.121,13.469,11.653,12.019,10.779,14.648,26.498,18.203,16.804,10.369,9.869,7.673
"AR DIFF(P-B)",15.394,18.589,13.102,5.432,18.913,2.131,-2.6,-0.364,9.422,5.606,5.713,3.569,3.056,4.869,-2.305,-2.482,0.515,0.662,11.539,2.695,5.205,3.083,2.712,6.537,12.867,12.959,18.129,21.626,5.801,18.429,34.376,31.419,18.089,7.112,5.175,-0.344,-0.292,-1.086,7.46,6.609,1.075,6.055,11.11,8.463,5.402,0.552,3.225,9.868,13.049,48.127,39.427,26.811,28.376,26.8,32.075
"P Volatility",20.42,14.79,10.35,9.05,11.58,10.72,10.96,9.34,7.3,9.6,10.96,13.04,12.32,14.35,13.62,12.88,13.53,14.03,33.29,13.64,16.19,10.72,10.05,8.98,11.09,14.6,17.97,19.05,14.87,18.81,23.99,25.98,26.18,27.97,27.9,32.19,32.06,35.63,29.15,40.28,40.92,38.38,39.1,33.79,36.45,33.88,29.8,33.57,20.15,26.56,23.35,21.58,29.08,28.84,27.5
"B Volatility",5.82,5.88,6.09,6.31,5.89,6,6.06,6.16,8.04,8.02,9.4,11.52,11.64,11.65,11.8,11.99,11.98,11.98,11.82,11.72,11.76,12.03,11.96,11.75,12.2,17.88,18.91,19.09,19.02,19.42,19.41,18.73,18.88,19.24,18.28,18.22,18.35,18.34,18.19,18.25,18.28,18.26,18.25,18.34,18.58,18.67,18.72,18.31,11.45,10.33,10.88,11.12,12.42,12.42,12.26
"V DIFF(P-B)",14.6,8.91,4.26,2.74,5.69,4.72,4.9,3.18,-0.739999999999999,1.58,1.56,1.52,0.68,2.7,1.82,0.890000000000001,1.55,2.05,21.47,1.92,4.43,-1.31,-1.91,-2.77,-1.11,-3.28,-0.940000000000001,-0.0399999999999991,-4.15,-0.610000000000003,4.58,7.25,7.3,8.73,9.62,13.97,13.71,17.29,10.96,22.03,22.64,20.12,20.85,15.45,17.87,15.21,11.08,15.26,8.7,16.23,12.47,10.46,16.66,16.42,15.24
"P Tracking Error",19.08,14.89,10.69,6.71,11.98,8.49,8.21,6.96,7.41,9.9,11.14,13.03,12.16,15.09,14.62,11.75,10.77,12.9,26.32,12.29,15.31,11.05,9.88,11.88,14.21,9.74,13.27,18.83,9.16,14.1,22.59,22.33,18.53,17.05,13.63,16.61,17.96,20.54,15.17,25.76,26.8,25.47,26.29,21.14,23.02,20.29,15.6,20.14,14.56,22.18,19.24,18.08,22.32,21.69,20.66
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
