"","2 Y 2016-03-01 to 2018-03-06","2 Y 2016-04-01 to 2018-04-06","2 Y 2016-05-02 to 2018-05-06","2 Y 2016-06-01 to 2018-06-06","2 Y 2016-07-04 to 2018-07-06","2 Y 2016-08-02 to 2018-08-06","2 Y 2016-09-01 to 2018-09-06","2 Y 2016-10-03 to 2018-10-06","2 Y 2016-11-01 to 2018-11-06","2 Y 2016-12-01 to 2018-12-06","2 Y 2017-01-03 to 2019-01-06","2 Y 2017-02-01 to 2019-02-06","2 Y 2017-03-01 to 2019-03-06","2 Y 2017-04-03 to 2019-04-06","2 Y 2017-05-01 to 2019-05-06","2 Y 2017-06-01 to 2019-06-06","2 Y 2017-07-04 to 2019-07-06","2 Y 2017-08-01 to 2019-08-06","2 Y 2017-09-01 to 2019-09-06","2 Y 2017-10-02 to 2019-10-06","2 Y 2017-11-01 to 2019-11-06","2 Y 2017-12-01 to 2019-12-06","2 Y 2018-01-02 to 2020-01-06","2 Y 2018-02-01 to 2020-02-06","2 Y 2018-03-01 to 2020-03-06","2 Y 2018-04-02 to 2020-04-06","2 Y 2018-05-01 to 2020-05-06","2 Y 2018-06-01 to 2020-06-06","2 Y 2018-07-03 to 2020-07-06","2 Y 2018-08-01 to 2020-08-06","2 Y 2018-09-04 to 2020-09-06","2 Y 2018-10-01 to 2020-10-06","2 Y 2018-11-01 to 2020-11-06","2 Y 2018-12-03 to 2020-12-06","2 Y 2019-01-02 to 2021-01-06","2 Y 2019-02-01 to 2021-02-06","2 Y 2019-03-01 to 2021-03-06","2 Y 2019-04-01 to 2021-04-06","2 Y 2019-05-01 to 2021-05-06","2 Y 2019-06-03 to 2021-06-06","2 Y 2019-07-02 to 2021-07-06","2 Y 2019-08-01 to 2021-08-06","2 Y 2019-09-03 to 2021-09-06","2 Y 2019-10-01 to 2021-10-06","2 Y 2019-11-01 to 2021-11-06","2 Y 2019-12-02 to 2021-12-06","2 Y 2020-01-02 to 2022-01-06","2 Y 2020-02-03 to 2022-02-06","2 Y 2020-03-02 to 2022-03-06","2 Y 2020-04-01 to 2022-04-06","2 Y 2020-05-01 to 2022-05-06","2 Y 2020-06-01 to 2022-06-06","2 Y 2020-07-02 to 2022-07-06","2 Y 2020-08-04 to 2022-08-06","2 Y 2020-09-01 to 2022-09-06"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",15.504,9.099,10.203,12.39,10.245,12.715,8.647,7.274,5.806,5.117,0.861,4.781,5.287,5.048,6.417,5.759,7.121,7.012,9.086,5.29,3.354,6.249,6.195,13.02,7.906,-1.267,2.587,-0.591,0.092,3.083,-2.749,-1.273,3.081,8.251,12.713,8.609,9.355,9.307,9.855,9.623,8.604,9.171,9.739,8.351,10.406,9.977,10.677,10.168,15.571,23.397,19.845,18.682,11.959,13.033,8.615
"B Annualized Returns",9.399,7.945,7.269,6.934,7.909,7.801,5.631,5.861,2.82,1.582,-3.142,1.458,1.845,2.701,3.49,3.429,5.614,4.499,5.84,2.701,2.506,3.102,2.707,7.739,3.634,-5.519,-2.048,-0.813,-1.131,1.006,1.396,1.683,3.185,6.894,9.901,6.764,6.101,7.972,7.794,11.005,10.616,12.824,12.761,11.121,13.469,11.653,12.019,10.779,14.648,26.498,18.203,16.804,10.369,9.869,7.673
"AR DIFF(P-B)",6.105,1.154,2.934,5.456,2.336,4.914,3.016,1.413,2.986,3.535,4.003,3.323,3.442,2.347,2.927,2.33,1.507,2.513,3.246,2.589,0.848,3.147,3.488,5.281,4.272,4.252,4.635,0.222,1.223,2.077,-4.145,-2.956,-0.104,1.357,2.812,1.845,3.254,1.335,2.061,-1.382,-2.012,-3.653,-3.022,-2.77,-3.063,-1.676,-1.342,-0.611000000000001,0.923,-3.101,1.642,1.878,1.59,3.164,0.942
"P Volatility",5.28,5.75,5.75,6.04,5.76,5.68,5.54,5.72,6.86,6.53,7.84,9.41,9.19,9.55,9.81,8.81,8.65,9.21,8.98,9.32,8.58,9.23,8.33,8.93,9.85,16.46,19.26,18.79,18.98,19.86,19.58,19.09,19.93,19.66,19.25,16.78,18.99,18.83,19.29,18.09,17.46,18.83,19.8,20.06,20.06,19.8,21.58,19.54,12.52,12.01,13.08,12.67,12.29,14.41,13.66
"B Volatility",5.82,5.88,6.09,6.31,5.89,6,6.06,6.16,8.04,8.02,9.4,11.52,11.64,11.65,11.8,11.99,11.98,11.98,11.82,11.72,11.76,12.03,11.96,11.75,12.2,17.88,18.91,19.09,19.02,19.42,19.41,18.73,18.88,19.24,18.28,18.22,18.35,18.34,18.19,18.25,18.28,18.26,18.25,18.34,18.58,18.67,18.72,18.31,11.45,10.33,10.88,11.12,12.42,12.42,12.26
"V DIFF(P-B)",-0.54,-0.13,-0.34,-0.27,-0.13,-0.32,-0.52,-0.44,-1.18,-1.49,-1.56,-2.11,-2.45,-2.1,-1.99,-3.18,-3.33,-2.77,-2.84,-2.4,-3.18,-2.8,-3.63,-2.82,-2.35,-1.42,0.350000000000001,-0.300000000000001,-0.0399999999999991,0.439999999999998,0.169999999999998,0.359999999999999,1.05,0.420000000000002,0.969999999999999,-1.44,0.639999999999997,0.489999999999998,1.1,-0.16,-0.82,0.569999999999997,1.55,1.72,1.48,1.13,2.86,1.23,1.07,1.68,2.2,1.55,-0.130000000000001,1.99,1.4
"P Tracking Error",5.6,3.98,3.7,5.34,4.31,5.71,5.1,4.79,4.32,5.58,5.24,5,5.01,3.94,3.58,5.2,5.61,4.44,4.39,3.91,4.59,5.18,5.69,5.06,4.75,6.11,5.86,4.36,5.79,5.56,4.57,4.47,4.51,5.36,5.98,6.51,8.84,9.21,6.37,4.97,5.75,5.57,5.63,6.3,5.88,5.96,6.14,6.24,5.23,5.89,5.68,5.55,7.07,5.95,7.58
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",1.09,0.29,0.79,1.02,0.54,0.86,0.59,0.29,0.69,0.63,0.76,0.66,0.69,0.6,0.82,0.45,0.27,0.57,0.74,0.66,0.18,0.61,0.61,1.04,0.9,0.7,0.79,0.05,0.21,0.37,-0.91,-0.66,-0.02,0.25,0.47,0.28,0.37,0.14,0.32,-0.28,-0.35,-0.66,-0.54,-0.44,-0.52,-0.28,-0.22,-0.1,0.18,-0.53,0.29,0.34,0.22,0.53,0.12
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
