"","3 Y 2017-05-30 to 2020-06-04","3 Y 2017-06-30 to 2020-07-05","3 Y 2017-07-31 to 2020-08-04","3 Y 2017-08-30 to 2020-09-04","3 Y 2017-10-02 to 2020-10-05","3 Y 2017-10-30 to 2020-11-04","3 Y 2017-11-30 to 2020-12-05","3 Y 2018-01-02 to 2021-01-04","3 Y 2018-01-30 to 2021-02-04","3 Y 2018-03-02 to 2021-03-07","3 Y 2018-04-02 to 2021-04-04","3 Y 2018-04-30 to 2021-05-05","3 Y 2018-05-30 to 2021-06-04","3 Y 2018-07-03 to 2021-07-05","3 Y 2018-07-30 to 2021-08-04","3 Y 2018-08-30 to 2021-09-04","3 Y 2018-10-01 to 2021-10-05","3 Y 2018-10-30 to 2021-11-04","3 Y 2018-11-30 to 2021-12-05","3 Y 2018-12-31 to 2022-01-04","3 Y 2019-01-30 to 2022-02-04","3 Y 2019-03-04 to 2022-03-07","3 Y 2019-04-01 to 2022-04-04","3 Y 2019-04-30 to 2022-05-05","3 Y 2019-05-30 to 2022-06-04","3 Y 2019-07-02 to 2022-07-05","3 Y 2019-07-30 to 2022-08-04","3 Y 2019-08-30 to 2022-09-04"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Annualized Returns",4.049,3.769,2.31,4.169,5.191,2.977,5.653,2.759,6.497,7.008,9.751,8.179,8.684,9.278,8.372,10.332,8.77,11.418,10.041,15.141,11.779,12.164,12.202,11.614,9.225,7.659,6.24,6.34
"B Annualized Returns",1.184,1.868,3.158,3.745,1.557,0.072,2.986,2.577,5.375,5.489,7.515,7.424,7.941,7.956,7.771,9.056,8.167,12.186,11.076,14.582,11.231,10.418,10.978,8.941,9.825,5.188,7.125,5.739
"AR DIFF(P-B)",2.865,1.901,-0.848,0.423999999999999,3.634,2.905,2.667,0.182,1.122,1.519,2.236,0.755,0.742999999999999,1.322,0.601,1.276,0.603,-0.768000000000001,-1.035,0.558999999999999,0.548,1.746,1.224,2.673,-0.6,2.471,-0.885,0.601
"P Volatility",14.23,14.84,16.28,16.36,15.27,15.66,16.91,18.75,17.57,16.93,16.58,17.09,17.34,17.21,17.14,16.8,17.33,18.42,15.71,15.99,16.47,16.32,15.69,16.4,15.5,17.34,17.98,16.84
"B Volatility",15.95,15.94,15.94,16.15,16.15,16.28,17.18,17.4,17.02,17.05,17.26,17.05,17.09,17.33,17.09,17.05,16.5,16.74,16.18,15.72,15.56,15.58,15.75,15.64,15.72,16.46,16.47,16.47
"V DIFF(P-B)",-1.72,-1.1,0.340000000000002,0.210000000000001,-0.879999999999999,-0.620000000000001,-0.27,1.35,0.550000000000001,-0.120000000000001,-0.680000000000003,0.0399999999999991,0.25,-0.119999999999997,0.0500000000000007,-0.25,0.829999999999998,1.68,-0.469999999999999,0.27,0.909999999999998,0.74,-0.0600000000000005,0.759999999999998,-0.220000000000001,0.879999999999999,1.51,0.370000000000001
"P Tracking Error",4.86,4.44,3.55,4.15,4.56,4.08,4.06,4.75,5.73,6.77,7.76,5.92,6.78,5.78,5.87,5.87,5.41,5.49,5.61,9.09,7.93,7.74,7.73,5.36,5.63,6.52,7.16,6.59
"B Tracking Error",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Information Ratio",0.59,0.43,-0.24,0.1,0.8,0.71,0.66,0.04,0.2,0.22,0.29,0.13,0.11,0.23,0.1,0.22,0.11,-0.14,-0.18,0.06,0.07,0.23,0.16,0.5,-0.11,0.38,-0.12,0.09
"B Information Ratio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Alpha Stat",0.26,0.22,0.01,0.1,0.29,0.21,0.23,0.06,0.07,0.02,0.08,0.09,0.12,0.24,0.13,0.19,-0.04,-0.14,-0.05,0.16,0.15,0.15,0.21,0.22,0.06,0.17,0,0.11
"B Alpha Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Beta Stat",0.85,0.89,1,0.98,0.91,0.93,0.96,1.04,0.98,0.91,0.86,0.94,0.94,0.94,0.94,0.93,1,1.05,0.91,0.85,0.93,0.93,0.88,0.99,0.92,0.98,1,0.94
"B Beta Stat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P R-Squared",90.85,92.1,95.11,93.42,91.82,93.54,94.26,93.54,89.1,84.31,79.61,87.99,84.64,88.79,88.23,87.98,89.98,91.09,87.74,68.92,76.56,77.36,76.57,88.98,87.06,85.49,83.66,84.56
"B R-Squared",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P Max Drawdown",-28.883,-30.5775,-33.219,-32.9312,-30.464,-31.0335,-31.6712,-34.8503,-33.1998,-31.7507,-30.4292,-31.2532,-30.8811,-30.937,-31.6994,-31.7646,-33.5675,-34.0544,-31.1066,-28.1287,-29.634,-29.4737,-28.7988,-31.046,-30.3579,-30.7622,-31.6338,-30.0191
"B Max Drawdown",-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265,-35.7265
